Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_1/G23_1.bam	RPKG	geneLoc	geneNum	Score
32214_2	k141_270772	287	1303	+	1017	0	0	Capsule_1.k141_270772_2/1-334	Capsule_1.k141_270772_2	563.3
76908_51	k141_262899	48956	49963	+	1008	0	0	Capsule_1.k141_262899_51/1-334	Capsule_1.k141_262899_51	542.0
69864_8	k141_98218	6554	7564	+	1011	0	0	Capsule_1.k141_98218_8/1-329	Capsule_1.k141_98218_8	500.7
21383_6	k141_218212	3745	4743	-	999	0	0	Capsule_1.k141_218212_6/1-328	Capsule_1.k141_218212_6	490.5
36166_4	k141_353989	1908	2906	+	999	2	0.0155888	Capsule_1.k141_353989_4/1-328	Capsule_1.k141_353989_4	487.4
48313_8	k141_174669	5123	6121	+	999	0	0	Capsule_1.k141_174669_8/1-328	Capsule_1.k141_174669_8	480.0
2982_8	k141_99675	5487	6491	+	1005	0	0	Capsule_1.k141_99675_8/1-328	Capsule_1.k141_99675_8	477.1
27460_126	k141_53199	129714	130736	+	1023	0	0	Capsule_1.k141_53199_126/1-333	Capsule_1.k141_53199_126	460.4
16463_112	k141_416203	125275	126312	+	1038	0	0	Capsule_1.k141_416203_112/1-337	Capsule_1.k141_416203_112	444.2
56698_7	k141_358292	8100	9767	-	1668	0	0	Capsule_1.k141_358292_7/215-548	Capsule_1.k141_358292_7	368.8
25523_6	k141_467379	5285	6331	+	1047	0	0	Capsule_1.k141_467379_6/1-342	Capsule_1.k141_467379_6	369.0
32214_3	k141_270772	1296	2090	+	795	0	0	Capsule_1.k141_270772_3/4-264	Capsule_1.k141_270772_3	468.0
76908_52	k141_262899	49963	50757	+	795	0	0	Capsule_1.k141_262899_52/4-264	Capsule_1.k141_262899_52	453.8
21383_5	k141_218212	2955	3743	-	789	0	0	Capsule_1.k141_218212_5/3-262	Capsule_1.k141_218212_5	434.2
36166_5	k141_353989	2908	3696	+	789	0	0	Capsule_1.k141_353989_5/3-262	Capsule_1.k141_353989_5	433.9
48313_9	k141_174669	6123	6911	+	789	20	0.197379	Capsule_1.k141_174669_9/3-262	Capsule_1.k141_174669_9	420.8
2982_9	k141_99675	6481	7272	+	792	0	0	Capsule_1.k141_99675_9/3-263	Capsule_1.k141_99675_9	419.8
69864_9	k141_98218	7565	8356	+	792	0	0	Capsule_1.k141_98218_9/2-263	Capsule_1.k141_98218_9	418.1
27460_127	k141_53199	130726	131535	+	810	0	0	Capsule_1.k141_53199_127/4-269	Capsule_1.k141_53199_127	383.1
16463_113	k141_416203	126332	127123	+	792	0	0	Capsule_1.k141_416203_113/4-263	Capsule_1.k141_416203_113	348.7
56698_6	k141_358292	7309	8097	-	789	0	0	Capsule_1.k141_358292_6/3-262	Capsule_1.k141_358292_6	330.5
25523_7	k141_467379	6336	7124	+	789	0	0	Capsule_1.k141_467379_7/5-262	Capsule_1.k141_467379_7	320.7
76908_53	k141_262899	50771	51742	+	972	0	0	Capsule_1.k141_262899_53/2-315	Capsule_1.k141_262899_53	568.2
32214_4	k141_270772	2104	3075	+	972	0	0	Capsule_1.k141_270772_4/2-315	Capsule_1.k141_270772_4	559.5
36166_6	k141_353989	3710	4675	+	966	0	0	Capsule_1.k141_353989_6/2-315	Capsule_1.k141_353989_6	527.0
21383_4	k141_218212	1975	2940	-	966	0	0	Capsule_1.k141_218212_4/2-315	Capsule_1.k141_218212_4	525.1
69864_10	k141_98218	8370	9338	+	969	0	0	Capsule_1.k141_98218_10/4-317	Capsule_1.k141_98218_10	524.8
48313_10	k141_174669	6925	7890	+	966	5	0.0403034	Capsule_1.k141_174669_10/2-315	Capsule_1.k141_174669_10	523.3
2982_10	k141_99675	7283	8260	+	978	2	0.0159236	Capsule_1.k141_99675_10/4-319	Capsule_1.k141_99675_10	491.0
27460_128	k141_53199	131549	132598	+	1050	1	0.00741583	Capsule_1.k141_53199_128/2-315	Capsule_1.k141_53199_128	484.9
16463_114	k141_416203	127141	128232	+	1092	0	0	Capsule_1.k141_416203_114/4-329	Capsule_1.k141_416203_114	371.5
