Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_9/J13_2.bam	RPKM	geneLoc	geneNum	Score
4791_10	k141_113757	10676	11821	-	1146	337	15.6546	Capsule_9.k141_113757_10/20-361	Capsule_9.k141_113757_10	241.4
45958_5	k141_198101	3474	4928	-	1455	17	0.621989	Capsule_9.k141_198101_5/21-362	Capsule_9.k141_198101_5	239.2
23899_4	k141_231281	3715	4860	-	1146	252	11.7061	Capsule_9.k141_231281_4/20-361	Capsule_9.k141_231281_4	238.9
21384_35	k141_136330	36639	38090	-	1452	163	5.9761	Capsule_9.k141_136330_35/21-362	Capsule_9.k141_136330_35	238.8
21384_36	k141_136330	38109	39425	-	1317	57	2.30402	Capsule_9.k141_136330_36/62-344	Capsule_9.k141_136330_36	175.2
4791_11	k141_113757	11839	13155	-	1317	202	8.16512	Capsule_9.k141_113757_11/63-420	Capsule_9.k141_113757_11	203.6
12428_25	k141_304103	28535	29287	+	753	186	13.1497	Capsule_9.k141_304103_25/61-250	Capsule_9.k141_304103_25	125.1
23899_1	k141_231281	1	753	-	753	140	9.8976	Capsule_9.k141_231281_1/61-250	Capsule_9.k141_231281_1	124.9
23899_5	k141_231281	4879	5580	-	702	168	12.74	Capsule_9.k141_231281_5/3-215	Capsule_9.k141_231281_5	119.3
21384_36	k141_136330	38109	39425	-	1317	57	2.30402	Capsule_9.k141_136330_36/64-437	Capsule_9.k141_136330_36	642.8
4791_11	k141_113757	11839	13155	-	1317	202	8.16512	Capsule_9.k141_113757_11/64-437	Capsule_9.k141_113757_11	642.3
45958_5	k141_198101	3474	4928	-	1455	17	0.621989	Capsule_9.k141_198101_5/11-266	Capsule_9.k141_198101_5	445.3
21384_35	k141_136330	36639	38090	-	1452	163	5.9761	Capsule_9.k141_136330_35/11-266	Capsule_9.k141_136330_35	446.9
23899_4	k141_231281	3715	4860	-	1146	252	11.7061	Capsule_9.k141_231281_4/11-266	Capsule_9.k141_231281_4	446.5
4791_10	k141_113757	10676	11821	-	1146	337	15.6546	Capsule_9.k141_113757_10/11-266	Capsule_9.k141_113757_10	446.0
23899_1	k141_231281	1	753	-	753	140	9.8976	Capsule_9.k141_231281_1/63-251	Capsule_9.k141_231281_1	371.6
12428_25	k141_304103	28535	29287	+	753	186	13.1497	Capsule_9.k141_304103_25/63-251	Capsule_9.k141_304103_25	369.8
23899_5	k141_231281	4879	5580	-	702	168	12.74	Capsule_9.k141_231281_5/1-232	Capsule_9.k141_231281_5	358.6
45958_6	k141_198101	4947	5414	-	468	12	1.365	Capsule_9.k141_198101_6/1-154	Capsule_9.k141_198101_6	221.9
