# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_2_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_2/E5_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_2/E5_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_2/E5_1.bam	RPKG
1_1	k141_14054	1	111	-	111	0	0
1_2	k141_14054	489	1172	-	684	0	0
2_1	k141_119452	87	266	-	180	24	1.00406
2_2	k141_119452	420	848	+	429	17	0.29841
3_1	k141_49190	2	1165	+	1164	53	0.342882
4_1	k141_63243	1	2622	-	2622	0	0
5_1	k141_35136	1	465	+	465	0	0
5_2	k141_35136	515	946	+	432	0	0
5_3	k141_35136	951	2315	+	1365	0	0
6_1	k141_105402	1	1317	-	1317	1	0.00571789
6_2	k141_105402	1310	1381	-	72	0	0
7_1	k141_56217	1	927	+	927	0	0
7_2	k141_56217	1064	1237	-	174	0	0
8_1	k141_21083	276	1295	+	1020	0	0
8_2	k141_21083	1311	1973	+	663	0	0
9_1	k141_84322	1	921	-	921	0	0
9_2	k141_84322	1539	2966	+	1428	0	0
9_3	k141_84322	3063	3983	-	921	0	0
10_1	k141_98377	3	632	-	630	0	0
10_2	k141_98377	629	1375	-	747	0	0
10_3	k141_98377	1372	2067	-	696	0	0
11_1	k141_126484	1	78	-	78	0	0
11_2	k141_126484	369	1439	+	1071	0	0
12_1	k141_7031	1	813	+	813	0	0
12_2	k141_7031	810	1445	+	636	0	0
12_3	k141_7031	1442	1975	+	534	0	0
12_4	k141_7031	2035	3363	+	1329	0	0
13_1	k141_77302	1	1104	+	1104	0	0
13_2	k141_77302	1014	1481	-	468	0	0
13_3	k141_77302	1511	1738	+	228	0	0
14_1	k141_98378	294	1277	-	984	0	0
15_1	k141_49194	1	312	-	312	0	0
15_2	k141_49194	670	1614	-	945	0	0
15_3	k141_49194	1975	2832	-	858	0	0
16_1	k141_70274	120	1310	-	1191	23	0.145425
16_2	k141_70274	1337	2755	-	1419	21	0.111444
16_3	k141_70274	2786	3040	-	255	4	0.118125
16_4	k141_70274	3533	3979	+	447	6	0.10108
17_1	k141_56225	2	154	+	153	0	0
17_2	k141_56225	272	577	+	306	0	0
17_3	k141_56225	691	1173	+	483	0	0
18_1	k141_126486	2263	2481	+	219	25	0.859642
19_1	k141_105406	34	879	-	846	0	0
19_2	k141_105406	1148	1696	+	549	0	0
19_3	k141_105406	1761	2723	-	963	0	0
20_1	k141_28124	2	1168	-	1167	0	0
21_1	k141_77303	1	1056	-	1056	0	0
21_2	k141_77303	1374	2255	+	882	0	0
22_1	k141_63253	2	118	-	117	147	9.46135
23_1	k141_91349	3	155	-	153	0	0
23_2	k141_91349	157	951	-	795	0	0
23_3	k141_91349	963	2759	-	1797	0	0
23_4	k141_91349	2774	4036	-	1263	0	0
23_5	k141_91349	4011	5828	-	1818	0	0
23_6	k141_91349	6173	6625	+	453	0	0
24_1	k141_21085	1	993	-	993	0	0
24_2	k141_21085	974	1363	-	390	0	0
24_3	k141_21085	1386	2258	-	873	0	0
24_4	k141_21085	2278	2493	-	216	0	0
24_5	k141_21085	2622	4103	-	1482	0	0
25_1	k141_28125	1	1017	-	1017	0	0
26_1	k141_84332	16	351	-	336	0	0
26_2	k141_84332	357	623	-	267	0	0
26_3	k141_84332	1011	2048	+	1038	0	0
27_1	k141_70278	2	583	-	582	0	0
27_2	k141_70278	704	1096	-	393	0	0
28_1	k141_49196	10	747	-	738	15	0.153058
28_2	k141_49196	919	1632	+	714	33	0.348047
28_3	k141_49196	1965	2240	+	276	6	0.163706
28_4	k141_49196	2281	2613	-	333	10	0.22614
29_1	k141_63255	3	1088	-	1086	4	0.0277365
30_1	k141_77305	1	525	-	525	0	0
30_2	k141_77305	640	1410	-	771	0	0
30_3	k141_77305	1403	1879	-	477	0	0
31_1	k141_119453	18	200	+	183	1	0.0411501
31_2	k141_119453	200	541	+	342	2	0.0440378
31_3	k141_119453	671	1807	+	1137	0	0
31_4	k141_119453	1804	3255	+	1452	0	0
31_5	k141_119453	3483	4139	-	657	0	0
31_6	k141_119453	4401	5654	+	1254	0	0
31_7	k141_119453	6199	6612	+	414	0	0
31_8	k141_119453	6733	7485	+	753	0	0
31_9	k141_119453	7704	8039	-	336	0	0
32_1	k141_14058	117	380	+	264	0	0
32_2	k141_14058	386	1606	-	1221	0	0
32_3	k141_14058	1695	2753	+	1059	0	0
32_4	k141_14058	2756	3793	+	1038	0	0
32_5	k141_14058	3999	4781	+	783	0	0
32_6	k141_14058	4781	5755	+	975	0	0
32_7	k141_14058	5834	6907	-	1074	0	0
33_1	k141_126489	2	1567	-	1566	0	0
33_2	k141_126489	1546	2136	-	591	0	0
33_3	k141_126489	2151	2702	-	552	0	0
34_1	k141_21087	2	523	-	522	0	0
34_2	k141_21087	912	1568	+	657	0	0
35_1	k141_7040	1	453	+	453	0	0
35_2	k141_7040	704	2500	+	1797	0	0
