# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_2_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_2/E11_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_2/E11_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_2/E11_1.bam	RPKG
1_1	k141_14054	1	111	-	111	0	0
1_2	k141_14054	489	1172	-	684	0	0
2_1	k141_119452	87	266	-	180	6	0.0301326
2_2	k141_119452	420	848	+	429	18	0.0379291
3_1	k141_49190	2	1165	+	1164	222	0.172408
4_1	k141_63243	1	2622	-	2622	20	0.00689533
5_1	k141_35136	1	465	+	465	39	0.0758175
5_2	k141_35136	515	946	+	432	40	0.0837016
5_3	k141_35136	951	2315	+	1365	159	0.105298
6_1	k141_105402	1	1317	-	1317	77	0.0528521
6_2	k141_105402	1310	1381	-	72	0	0
7_1	k141_56217	1	927	+	927	0	0
7_2	k141_56217	1064	1237	-	174	0	0
8_1	k141_21083	276	1295	+	1020	5	0.00443126
8_2	k141_21083	1311	1973	+	663	0	0
9_1	k141_84322	1	921	-	921	3	0.00294455
9_2	k141_84322	1539	2966	+	1428	2	0.00126607
9_3	k141_84322	3063	3983	-	921	0	0
10_1	k141_98377	3	632	-	630	1	0.00143488
10_2	k141_98377	629	1375	-	747	4	0.00484058
10_3	k141_98377	1372	2067	-	696	0	0
11_1	k141_126484	1	78	-	78	3	0.0347684
11_2	k141_126484	369	1439	+	1071	4	0.0033762
12_1	k141_7031	1	813	+	813	3	0.00333571
12_2	k141_7031	810	1445	+	636	2	0.0028427
12_3	k141_7031	1442	1975	+	534	2	0.00338568
12_4	k141_7031	2035	3363	+	1329	7	0.00476136
13_1	k141_77302	1	1104	+	1104	13	0.0106447
13_2	k141_77302	1014	1481	-	468	3	0.00579473
13_3	k141_77302	1511	1738	+	228	4	0.0158593
14_1	k141_98378	294	1277	-	984	7	0.00643073
15_1	k141_49194	1	312	-	312	11	0.031871
15_2	k141_49194	670	1614	-	945	10	0.0095659
15_3	k141_49194	1975	2832	-	858	9	0.00948228
16_1	k141_70274	120	1310	-	1191	2	0.00151801
16_2	k141_70274	1337	2755	-	1419	7	0.00445937
16_3	k141_70274	2786	3040	-	255	0	0
16_4	k141_70274	3533	3979	+	447	0	0
17_1	k141_56225	2	154	+	153	0	0
17_2	k141_56225	272	577	+	306	0	0
17_3	k141_56225	691	1173	+	483	2	0.00374318
18_1	k141_126486	2263	2481	+	219	141	0.582013
19_1	k141_105406	34	879	-	846	2	0.00213706
19_2	k141_105406	1148	1696	+	549	2	0.00329318
19_3	k141_105406	1761	2723	-	963	5	0.00469355
20_1	k141_28124	2	1168	-	1167	1	0.000774617
21_1	k141_77303	1	1056	-	1056	0	0
21_2	k141_77303	1374	2255	+	882	1	0.00102492
22_1	k141_63253	2	118	-	117	190	1.468
23_1	k141_91349	3	155	-	153	0	0
23_2	k141_91349	157	951	-	795	11	0.0125079
23_3	k141_91349	963	2759	-	1797	4	0.00201219
23_4	k141_91349	2774	4036	-	1263	8	0.00572591
23_5	k141_91349	4011	5828	-	1818	12	0.00596685
23_6	k141_91349	6173	6625	+	453	5	0.00997768
24_1	k141_21085	1	993	-	993	0	0
24_2	k141_21085	974	1363	-	390	0	0
24_3	k141_21085	1386	2258	-	873	1	0.00103548
24_4	k141_21085	2278	2493	-	216	1	0.00418508
24_5	k141_21085	2622	4103	-	1482	13	0.00792963
25_1	k141_28125	1	1017	-	1017	0	0
26_1	k141_84332	16	351	-	336	0	0
26_2	k141_84332	357	623	-	267	2	0.00677137
26_3	k141_84332	1011	2048	+	1038	7	0.00609619
27_1	k141_70278	2	583	-	582	0	0
27_2	k141_70278	704	1096	-	393	0	0
28_1	k141_49196	10	747	-	738	0	0
28_2	k141_49196	919	1632	+	714	0	0
28_3	k141_49196	1965	2240	+	276	0	0
28_4	k141_49196	2281	2613	-	333	0	0
29_1	k141_63255	3	1088	-	1086	3	0.00249718
30_1	k141_77305	1	525	-	525	6	0.0103312
30_2	k141_77305	640	1410	-	771	5	0.00586237
30_3	k141_77305	1403	1879	-	477	0	0
31_1	k141_119453	18	200	+	183	0	0
31_2	k141_119453	200	541	+	342	15	0.0396481
31_3	k141_119453	671	1807	+	1137	21	0.0166962
31_4	k141_119453	1804	3255	+	1452	14	0.00871604
31_5	k141_119453	3483	4139	-	657	20	0.0275183
31_6	k141_119453	4401	5654	+	1254	25	0.0180219
31_7	k141_119453	6199	6612	+	414	13	0.0283858
31_8	k141_119453	6733	7485	+	753	0	0
31_9	k141_119453	7704	8039	-	336	9	0.0242137
32_1	k141_14058	117	380	+	264	5	0.0171208
32_2	k141_14058	386	1606	-	1221	7	0.00518251
32_3	k141_14058	1695	2753	+	1059	6	0.00512169
32_4	k141_14058	2756	3793	+	1038	8	0.00696707
32_5	k141_14058	3999	4781	+	783	9	0.0103905
32_6	k141_14058	4781	5755	+	975	6	0.00556294
