Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_11/O8_2.bam	RPKG	geneLoc	geneNum	Score
12688_3	k141_189438	1904	2902	-	999	51	0.0429973	Capsule_11.k141_189438_3/1-328	Capsule_11.k141_189438_3	481.7
43296_2	k141_111070	155	1072	-	918	15	0.0137621	Capsule_11.k141_111070_2/3-301	Capsule_11.k141_111070_2	459.1
19345_25	k141_21695	26354	27391	+	1038	0	0	Capsule_11.k141_21695_25/1-337	Capsule_11.k141_21695_25	444.2
24933_8	k141_89708	6701	7735	-	1035	0	0	Capsule_11.k141_89708_8/1-338	Capsule_11.k141_89708_8	428.5
53204_3	k141_182873	2131	3165	-	1035	2	0.00162752	Capsule_11.k141_182873_3/1-338	Capsule_11.k141_182873_3	427.4
12688_2	k141_189438	1114	1902	-	789	23	0.024552	Capsule_11.k141_189438_2/3-262	Capsule_11.k141_189438_2	433.9
9387_2	k141_35651	547	1341	+	795	0	0	Capsule_11.k141_35651_2/5-264	Capsule_11.k141_35651_2	419.8
40822_2	k141_94081	469	1260	+	792	0	0	Capsule_11.k141_94081_2/2-263	Capsule_11.k141_94081_2	418.1
19345_26	k141_21695	27411	28202	+	792	0	0	Capsule_11.k141_21695_26/4-263	Capsule_11.k141_21695_26	348.7
53204_2	k141_182873	1320	2117	-	798	2	0.00211088	Capsule_11.k141_182873_2/6-265	Capsule_11.k141_182873_2	331.8
24933_7	k141_89708	5893	6684	-	792	0	0	Capsule_11.k141_89708_7/4-263	Capsule_11.k141_89708_7	330.6
9387_3	k141_35651	1354	2316	+	963	0	0	Capsule_11.k141_35651_3/2-315	Capsule_11.k141_35651_3	564.9
12688_1	k141_189438	135	1100	-	966	73	0.0636477	Capsule_11.k141_189438_1/2-315	Capsule_11.k141_189438_1	528.2
40822_3	k141_94081	1274	2242	+	969	0	0	Capsule_11.k141_94081_3/4-317	Capsule_11.k141_94081_3	524.8
24933_6	k141_89708	4819	5874	-	1056	0	0	Capsule_11.k141_89708_6/4-321	Capsule_11.k141_89708_6	374.5
19345_27	k141_21695	28220	29311	+	1092	0	0	Capsule_11.k141_21695_27/4-329	Capsule_11.k141_21695_27	371.3
53204_1	k141_182873	234	1304	-	1071	0	0	Capsule_11.k141_182873_1/4-330	Capsule_11.k141_182873_1	363.6
