Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_13/G5_2.bam	RPKG	geneLoc	geneNum	Score
31226_1	k141_118791	57	1067	+	1011	13	0.00507454	Stool_13.k141_118791_1/1-329	Stool_13.k141_118791_1	502.6
33536_26	k141_20677	21003	22001	+	999	219	0.0865133	Stool_13.k141_20677_26/1-328	Stool_13.k141_20677_26	481.7
61054_50	k141_83837	51804	52814	+	1011	2	0.000780698	Stool_13.k141_83837_50/6-328	Stool_13.k141_83837_50	468.2
10095_2	k141_58468	377	1414	+	1038	12	0.00456234	Stool_13.k141_58468_2/1-338	Stool_13.k141_58468_2	431.3
1749_40	k141_98628	44638	45684	-	1047	24	0.00904625	Stool_13.k141_98628_40/1-342	Stool_13.k141_98628_40	369.6
33536_27	k141_20677	22003	22791	+	789	137	0.0685248	Stool_13.k141_20677_27/3-262	Stool_13.k141_20677_27	434.3
61054_51	k141_83837	52804	53592	+	789	2	0.00100036	Stool_13.k141_83837_51/3-262	Stool_13.k141_83837_51	432.6
36701_5	k141_49351	2325	3098	-	774	11	0.00560862	Stool_13.k141_49351_5/1-257	Stool_13.k141_49351_5	429.3
31226_2	k141_118791	1068	1802	+	735	9	0.00483236	Stool_13.k141_118791_2/2-245	Stool_13.k141_118791_2	385.1
1749_39	k141_98628	43845	44633	-	789	18	0.00900326	Stool_13.k141_98628_39/5-262	Stool_13.k141_98628_39	320.7
10095_3	k141_58468	1431	2222	+	792	8	0.00398629	Stool_13.k141_58468_3/6-263	Stool_13.k141_58468_3	312.7
33536_28	k141_20677	22805	23770	+	966	232	0.0947796	Stool_13.k141_20677_28/2-315	Stool_13.k141_20677_28	528.2
36701_4	k141_49351	1345	2310	-	966	11	0.00449386	Stool_13.k141_49351_4/2-315	Stool_13.k141_49351_4	525.1
26134_2	k141_62489	713	1681	-	969	6	0.00244361	Stool_13.k141_62489_2/4-317	Stool_13.k141_62489_2	524.8
61054_52	k141_83837	53606	54577	+	972	3	0.00121803	Stool_13.k141_83837_52/4-317	Stool_13.k141_83837_52	516.7
10095_4	k141_58468	2241	3308	+	1068	17	0.00628177	Stool_13.k141_58468_4/4-331	Stool_13.k141_58468_4	363.3
