Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_13/G3_2.bam	RPKG	geneLoc	geneNum	Score
31226_1	k141_118791	57	1067	+	1011	0	0	Stool_13.k141_118791_1/1-329	Stool_13.k141_118791_1	502.6
33536_26	k141_20677	21003	22001	+	999	5	0.0133341	Stool_13.k141_20677_26/1-328	Stool_13.k141_20677_26	481.7
61054_50	k141_83837	51804	52814	+	1011	5	0.0131759	Stool_13.k141_83837_50/6-328	Stool_13.k141_83837_50	468.2
10095_2	k141_58468	377	1414	+	1038	1	0.00256663	Stool_13.k141_58468_2/1-338	Stool_13.k141_58468_2	431.3
1749_40	k141_98628	44638	45684	-	1047	6	0.0152674	Stool_13.k141_98628_40/1-342	Stool_13.k141_98628_40	369.6
33536_27	k141_20677	22003	22791	+	789	14	0.0472728	Stool_13.k141_20677_27/3-262	Stool_13.k141_20677_27	434.3
61054_51	k141_83837	52804	53592	+	789	4	0.0135065	Stool_13.k141_83837_51/3-262	Stool_13.k141_83837_51	432.6
36701_5	k141_49351	2325	3098	-	774	4	0.0137683	Stool_13.k141_49351_5/1-257	Stool_13.k141_49351_5	429.3
31226_2	k141_118791	1068	1802	+	735	2	0.00724941	Stool_13.k141_118791_2/2-245	Stool_13.k141_118791_2	385.1
1749_39	k141_98628	43845	44633	-	789	2	0.00675326	Stool_13.k141_98628_39/5-262	Stool_13.k141_98628_39	320.7
10095_3	k141_58468	1431	2222	+	792	8	0.0269107	Stool_13.k141_58468_3/6-263	Stool_13.k141_58468_3	312.7
33536_28	k141_20677	22805	23770	+	966	9	0.0248214	Stool_13.k141_20677_28/2-315	Stool_13.k141_20677_28	528.2
36701_4	k141_49351	1345	2310	-	966	2	0.00551586	Stool_13.k141_49351_4/2-315	Stool_13.k141_49351_4	525.1
26134_2	k141_62489	713	1681	-	969	0	0	Stool_13.k141_62489_2/4-317	Stool_13.k141_62489_2	524.8
61054_52	k141_83837	53606	54577	+	972	2	0.00548181	Stool_13.k141_83837_52/4-317	Stool_13.k141_83837_52	516.7
10095_4	k141_58468	2241	3308	+	1068	0	0	Stool_13.k141_58468_4/4-331	Stool_13.k141_58468_4	363.3
