# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_8_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_8/A16_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_8/A16_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_8/A16_2.bam	RPKG
1_1	k141_44016	2	1054	+	1053	7	0.00356637
2_1	k141_158448	3	1835	+	1833	59	0.0172682
2_2	k141_158448	1856	2011	+	156	1	0.003439
3_1	k141_140844	2	160	+	159	0	0
3_2	k141_140844	162	881	+	720	2	0.00149024
3_3	k141_140844	878	1561	+	684	0	0
4_1	k141_105638	509	1405	+	897	35	0.0209331
4_2	k141_105638	1384	1509	+	126	0	0
5_1	k141_149650	377	1351	-	975	100	0.0550241
6_1	k141_52822	2	1552	+	1551	0	0
7_1	k141_158449	2	529	+	528	232	0.235728
7_2	k141_158449	539	943	+	405	158	0.209295
7_3	k141_158449	943	1527	+	585	220	0.201755
8_1	k141_167250	2	280	-	279	28	0.0538408
8_2	k141_167250	392	1021	-	630	121	0.103039
8_3	k141_167250	1191	1952	-	762	174	0.122504
8_4	k141_167250	2059	3105	-	1047	207	0.106067
8_5	k141_167250	3108	3893	-	786	192	0.13105
8_6	k141_167250	3916	4389	-	474	51	0.057723
9_1	k141_105640	1	912	+	912	1	0.000588251
9_2	k141_105640	918	1061	+	144	0	0
10_1	k141_114440	1	108	-	108	0	0
10_2	k141_114440	227	1225	-	999	11	0.00590724
10_3	k141_114440	1388	2677	-	1290	14	0.00582231
10_4	k141_114440	2768	3103	-	336	3	0.00479004
11_1	k141_8808	1	96	+	96	1	0.00558838
11_2	k141_8808	152	535	+	384	0	0
11_3	k141_8808	528	1523	+	996	16	0.00861823
11_4	k141_8808	1546	2013	+	468	7	0.00802434
12_1	k141_132048	52	372	+	321	90	0.150416
12_2	k141_132048	374	1795	+	1422	589	0.222215
13_1	k141_61632	242	1390	-	1149	26	0.0121398
14_1	k141_167251	363	1649	-	1287	0	0
15_1	k141_8809	1	984	+	984	29	0.015811
15_2	k141_8809	1055	1390	-	336	16	0.0255469
16_1	k141_105643	2	775	+	774	23	0.015942
17_1	k141_96841	270	1511	-	1242	13	0.00561538
18_1	k141_44021	112	1341	-	1230	23	0.0100318
18_2	k141_44021	1461	2396	-	936	10	0.00573167
18_3	k141_44021	2426	2956	-	531	6	0.00606197
19_1	k141_88033	672	2492	-	1821	2	0.00058922
19_2	k141_88033	2960	3511	-	552	0	0
19_3	k141_88033	3508	4377	-	870	0	0
19_4	k141_88033	4396	5484	-	1089	6	0.00295584
20_1	k141_26412	1	1206	-	1206	0	0
20_2	k141_26412	1312	1722	+	411	0	0
20_3	k141_26412	1724	2467	+	744	0	0
20_4	k141_26412	2464	3219	+	756	0	0
20_5	k141_26412	3407	4423	+	1017	0	0
20_6	k141_26412	4506	4910	-	405	0	0
21_1	k141_132051	3	1400	-	1398	24	0.00921004
22_1	k141_123247	2	2491	+	2490	2	0.000430911
22_2	k141_123247	2753	3169	+	417	0	0
