# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_8_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_8/A22_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_8/A22_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_8/A22_2.bam	RPKG
1_1	k141_44016	2	1054	+	1053	10	0.00466733
2_1	k141_158448	3	1835	+	1833	12	0.00321748
2_2	k141_158448	1856	2011	+	156	0	0
3_1	k141_140844	2	160	+	159	0	0
3_2	k141_140844	162	881	+	720	0	0
3_3	k141_140844	878	1561	+	684	2	0.00143705
4_1	k141_105638	509	1405	+	897	2	0.00109581
4_2	k141_105638	1384	1509	+	126	0	0
5_1	k141_149650	377	1351	-	975	17	0.00856923
6_1	k141_52822	2	1552	+	1551	1572	0.498125
7_1	k141_158449	2	529	+	528	51	0.0474716
7_2	k141_158449	539	943	+	405	35	0.0424727
7_3	k141_158449	943	1527	+	585	36	0.0302443
8_1	k141_167250	2	280	-	279	4	0.00704617
8_2	k141_167250	392	1021	-	630	19	0.0148221
8_3	k141_167250	1191	1952	-	762	12	0.00773969
8_4	k141_167250	2059	3105	-	1047	18	0.00844935
8_5	k141_167250	3108	3893	-	786	17	0.0106298
8_6	k141_167250	3916	4389	-	474	5	0.00518429
9_1	k141_105640	1	912	+	912	3	0.00161668
9_2	k141_105640	918	1061	+	144	0	0
10_1	k141_114440	1	108	-	108	0	0
10_2	k141_114440	227	1225	-	999	2	0.000983925
10_3	k141_114440	1388	2677	-	1290	8	0.00304788
10_4	k141_114440	2768	3103	-	336	0	0
11_1	k141_8808	1	96	+	96	1	0.00511948
11_2	k141_8808	152	535	+	384	6	0.00767922
11_3	k141_8808	528	1523	+	996	12	0.00592133
11_4	k141_8808	1546	2013	+	468	0	0
12_1	k141_132048	52	372	+	321	12	0.0183727
12_2	k141_132048	374	1795	+	1422	75	0.0259214
13_1	k141_61632	242	1390	-	1149	5	0.00213869
14_1	k141_167251	363	1649	-	1287	15	0.00572809
15_1	k141_8809	1	984	+	984	6	0.00299677
15_2	k141_8809	1055	1390	-	336	0	0
16_1	k141_105643	2	775	+	774	6	0.00380985
17_1	k141_96841	270	1511	-	1242	6	0.00237425
18_1	k141_44021	112	1341	-	1230	6	0.00239742
18_2	k141_44021	1461	2396	-	936	2	0.00105015
18_3	k141_44021	2426	2956	-	531	0	0
19_1	k141_88033	672	2492	-	1821	23	0.00620748
19_2	k141_88033	2960	3511	-	552	8	0.00712276
19_3	k141_88033	3508	4377	-	870	2	0.00112982
19_4	k141_88033	4396	5484	-	1089	6	0.00270783
20_1	k141_26412	1	1206	-	1206	1	0.000407521
20_2	k141_26412	1312	1722	+	411	2	0.00239158
20_3	k141_26412	1724	2467	+	744	3	0.00198174
20_4	k141_26412	2464	3219	+	756	8	0.00520074
20_5	k141_26412	3407	4423	+	1017	6	0.00289953
20_6	k141_26412	4506	4910	-	405	6	0.00728104
21_1	k141_132051	3	1400	-	1398	35	0.0123043
22_1	k141_123247	2	2491	+	2490	8	0.00157902
22_2	k141_123247	2753	3169	+	417	1	0.00117859
22_3	k141_123247	3188	3439	+	252	0	0
22_4	k141_123247	3592	3765	+	174	0	0
23_1	k141_79229	2	250	+	249	4	0.00789511
23_2	k141_79229	514	1281	+	768	55	0.0351964
23_3	k141_79229	1302	1784	+	483	11	0.0111929
23_4	k141_79229	1885	2424	-	540	20	0.0182026
23_5	k141_79229	2580	3470	-	891	24	0.0132383
23_6	k141_79229	4165	5037	-	873	41	0.0230817
23_7	k141_79229	5560	5736	-	177	8	0.0222133
23_8	k141_79229	6188	6499	+	312	19	0.0299293
23_9	k141_79229	6575	7090	+	516	18	0.0171443
24_1	k141_167254	2	379	-	378	6	0.00780112
24_2	k141_167254	392	1330	-	939	14	0.00732757
25_1	k141_149652	3	68	-	66	0	0
25_2	k141_149652	271	921	+	651	9	0.00679452
25_3	k141_149652	967	2649	+	1683	3	0.000876061
25_4	k141_149652	2716	4167	-	1452	3	0.00101543
26_1	k141_61634	1	1353	-	1353	1	0.000363245
26_2	k141_61634	1511	2308	+	798	1	0.000615878
27_1	k141_123248	1	366	+	366	12	0.0161138
27_2	k141_123248	387	1019	+	633	14	0.0108698
28_1	k141_167255	57	749	-	693	8	0.00567354
28_2	k141_167255	822	1073	-	252	3	0.00585084
29_1	k141_158457	3	1442	-	1440	21	0.00716728
29_2	k141_158457	1577	2812	+	1236	21	0.00835022
29_3	k141_158457	2953	3180	-	228	0	0
29_4	k141_158457	3180	3452	-	273	3	0.00540077
30_1	k141_2	3	392	-	390	24	0.0302443
30_2	k141_2	407	1075	-	669	33	0.0242429
30_3	k141_2	1212	2765	-	1554	110	0.0347888
30_4	k141_2	2762	3808	-	1047	65	0.0305115
30_5	k141_2	3898	4110	-	213	4	0.00922949
30_6	k141_2	4257	4940	-	684	30	0.0215557
31_1	k141_105644	1	2247	-	2247	1044	0.228347
31_2	k141_105644	2280	3197	-	918	221	0.118317
32_1	k141_132052	1	531	-	531	0	0
32_2	k141_132052	538	1152	-	615	0	0
32_3	k141_132052	1262	2752	-	1491	4	0.0013185
32_4	k141_132052	2802	3119	-	318	0	0
33_1	k141_167256	2	715	-	714	3	0.002065
33_2	k141_167256	712	1713	-	1002	4	0.00196196
34_1	k141_149655	168	1331	-	1164	9	0.00380003
34_2	k141_149655	1346	1666	-	321	0	0
35_1	k141_17607	1	144	-	144	0	0
35_2	k141_17607	132	857	-	726	15	0.0101543
35_3	k141_17607	1185	3569	-	2385	107	0.0220492
35_4	k141_17607	3710	4387	-	678	29	0.0210216
35_5	k141_17607	4380	5138	-	759	22	0.0142455
36_1	k141_96846	93	2072	+	1980	5	0.00124109
36_2	k141_96846	2242	2988	+	747	1	0.000657926
37_1	k141_61640	1	1107	-	1107	11	0.00488363
38_1	k141_132054	24	1766	-	1743	194	0.0547018
39_1	k141_44031	2	547	-	546	0	0
39_2	k141_44031	711	1310	-	600	0	0
40_1	k141_8817	605	796	+	192	1	0.00255974
40_2	k141_8817	822	1676	+	855	2	0.00114964
40_3	k141_8817	1689	3710	+	2022	11	0.00267368
40_4	k141_8817	3707	4453	+	747	1	0.000657926
40_5	k141_8817	4504	5301	-	798	1	0.000615878
41_1	k141_17609	245	1933	+	1689	5	0.00145492
42_1	k141_88035	2	67	+	66	3	0.0223396
42_2	k141_88035	300	1316	+	1017	96	0.0463925
42_3	k141_88035	1421	2731	-	1311	50	0.0187441
42_4	k141_88035	2931	3644	-	714	51	0.035105
42_5	k141_88035	3645	4835	-	1191	69	0.0284731
42_6	k141_88035	5139	5609	+	471	25	0.0260865
43_1	k141_105647	3	311	-	309	113	0.179729
43_2	k141_105647	342	920	-	579	252	0.213904
43_3	k141_105647	1077	1961	-	885	354	0.196588
43_4	k141_105647	2055	2921	-	867	549	0.311208
44_1	k141_79230	2	544	+	543	12	0.0108612
44_2	k141_79230	594	2060	+	1467	22	0.00737038
44_3	k141_79230	2205	3509	+	1305	25	0.00941514
44_4	k141_79230	3756	4418	+	663	11	0.00815411
44_5	k141_79230	5202	5624	+	423	3	0.00348561
45_1	k141_96847	3	89	-	87	6	0.0338945
45_2	k141_96847	146	1228	-	1083	427	0.193775
45_3	k141_96847	1252	2658	-	1407	253	0.0883738
46_1	k141_70425	481	951	-	471	1	0.00104346
46_2	k141_70425	1367	1768	+	402	1	0.00122256
46_3	k141_70425	1772	3553	-	1782	26	0.00717072
46_4	k141_70425	3836	4990	+	1155	19	0.00808479
46_5	k141_70425	5001	6041	+	1041	14	0.00660959
46_6	k141_70425	6056	7309	+	1254	20	0.00783844
46_7	k141_70425	7345	8253	+	909	12	0.00648806
46_8	k141_70425	8275	9264	+	990	20	0.00992869
46_9	k141_70425	9291	10622	+	1332	24	0.00885532
46_10	k141_70425	10813	11421	+	609	2	0.00161402
46_11	k141_70425	11506	12126	+	621	10	0.00791418
46_12	k141_70425	12395	12511	+	117	0	0
47_1	k141_26425	1	879	+	879	9	0.00503212
47_2	k141_26425	886	1794	+	909	18	0.00973209
47_3	k141_26425	1778	3367	+	1590	27	0.00834572
48_1	k141_18	3	1091	-	1089	27	0.0121852
49_1	k141_79235	66	1067	+	1002	12	0.00588587
50_1	k141_88038	3	185	-	183	0	0
50_2	k141_88038	304	966	-	663	0	0
50_3	k141_88038	1006	1083	-	78	0	0
51_1	k141_123250	2	664	+	663	8	0.00593026
51_2	k141_123250	992	2083	-	1092	7	0.00315045
51_3	k141_123250	2161	4998	-	2838	40	0.006927
51_4	k141_123250	5491	6501	-	1011	34	0.0165282
51_5	k141_123250	6544	6705	+	162	0	0
52_1	k141_96848	3	1058	-	1056	676	0.314615
