Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_6/O23_2.bam	RPKG	geneLoc	geneNum	Score
4186_3	k141_11803	950	1948	+	999	0	0	Capsule_6.k141_11803_3/1-328	Capsule_6.k141_11803_3	490.4
15177_5	k141_136015	2723	3721	+	999	7	0.0826009	Capsule_6.k141_136015_5/1-329	Capsule_6.k141_136015_5	484.4
16620_3	k141_48014	941	1939	-	999	0	0	Capsule_6.k141_48014_3/1-328	Capsule_6.k141_48014_3	479.1
33918_2	k141_162832	741	1676	-	936	4	0.0503775	Capsule_6.k141_162832_2/1-304	Capsule_6.k141_162832_2	477.0
16566_3	k141_47993	941	1939	-	999	0	0	Capsule_6.k141_47993_3/1-328	Capsule_6.k141_47993_3	475.8
46478_11	k141_121352	12022	13059	+	1038	0	0	Capsule_6.k141_121352_11/1-337	Capsule_6.k141_121352_11	444.2
24634_18	k141_50032	14112	15149	-	1038	0	0	Capsule_6.k141_50032_18/1-338	Capsule_6.k141_50032_18	400.0
24398_1	k141_160260	2	766	+	765	0	0	Capsule_6.k141_160260_1/2-250	Capsule_6.k141_160260_1	391.3
4186_4	k141_11803	1950	2738	+	789	0	0	Capsule_6.k141_11803_4/3-262	Capsule_6.k141_11803_4	434.2
16620_2	k141_48014	151	939	-	789	0	0	Capsule_6.k141_48014_2/3-262	Capsule_6.k141_48014_2	433.9
24398_2	k141_160260	768	1556	+	789	0	0	Capsule_6.k141_160260_2/3-262	Capsule_6.k141_160260_2	432.0
16566_2	k141_47993	151	939	-	789	0	0	Capsule_6.k141_47993_2/3-262	Capsule_6.k141_47993_2	420.8
33918_1	k141_162832	3	740	-	738	0	0	Capsule_6.k141_162832_1/2-246	Capsule_6.k141_162832_1	389.4
46478_12	k141_121352	13079	13870	+	792	0	0	Capsule_6.k141_121352_12/4-263	Capsule_6.k141_121352_12	348.7
24634_17	k141_50032	13305	14108	-	804	0	0	Capsule_6.k141_50032_17/9-267	Capsule_6.k141_50032_17	346.3
16203_2	k141_169180	361	1329	-	969	0	0	Capsule_6.k141_169180_2/4-317	Capsule_6.k141_169180_2	526.4
4186_5	k141_11803	2753	3718	+	966	3	0.0366097	Capsule_6.k141_11803_5/2-315	Capsule_6.k141_11803_5	525.2
24398_3	k141_160260	1570	2535	+	966	0	0	Capsule_6.k141_160260_3/2-315	Capsule_6.k141_160260_3	525.0
15177_8	k141_136015	4525	5490	+	966	0	0	Capsule_6.k141_136015_8/2-315	Capsule_6.k141_136015_8	517.0
16376_8	k141_70104	7724	8467	-	744	0	0	Capsule_6.k141_70104_8/1-241	Capsule_6.k141_70104_8	414.8
16577_1	k141_70160	3	746	+	744	0	0	Capsule_6.k141_70160_1/1-241	Capsule_6.k141_70160_1	414.0
46478_13	k141_121352	13888	14979	+	1092	0	0	Capsule_6.k141_121352_13/4-329	Capsule_6.k141_121352_13	371.5
24634_16	k141_50032	12238	13287	-	1050	0	0	Capsule_6.k141_50032_16/4-331	Capsule_6.k141_50032_16	367.2
