Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_11/C19_2.bam	RPKG	geneLoc	geneNum	Score
100179_98	k141_419603	103983	105026	-	1044	35	0.0141866	Stool_11.k141_419603_98/1-343	Stool_11.k141_419603_98	500.4
5454_4	k141_398459	2296	3294	-	999	39	0.01652	Stool_11.k141_398459_4/1-328	Stool_11.k141_398459_4	481.7
39458_25	k141_33237	26354	27391	+	1038	19	0.00774581	Stool_11.k141_33237_25/1-337	Stool_11.k141_33237_25	444.2
83948_4	k141_268679	2324	3358	-	1035	0	0	Stool_11.k141_268679_4/1-338	Stool_11.k141_268679_4	430.9
81762_14	k141_21402	17896	18930	+	1035	15	0.00613284	Stool_11.k141_21402_14/1-338	Stool_11.k141_21402_14	427.4
82110_2	k141_292761	265	1311	-	1047	4	0.00161668	Stool_11.k141_292761_2/1-342	Stool_11.k141_292761_2	369.6
5454_3	k141_398459	1506	2294	-	789	16	0.00858131	Stool_11.k141_398459_3/3-262	Stool_11.k141_398459_3	433.9
100179_97	k141_419603	103195	103986	-	792	15	0.0080145	Stool_11.k141_419603_97/3-263	Stool_11.k141_419603_97	425.3
11760_3	k141_325883	897	1601	-	705	3	0.00180071	Stool_11.k141_325883_3/2-234	Stool_11.k141_325883_3	393.3
39458_26	k141_33237	27411	28202	+	792	11	0.0058773	Stool_11.k141_33237_26/4-263	Stool_11.k141_33237_26	348.7
81762_15	k141_21402	18944	19741	+	798	18	0.00954509	Stool_11.k141_21402_15/6-265	Stool_11.k141_21402_15	331.8
83948_3	k141_268679	1516	2307	-	792	0	0	Stool_11.k141_268679_3/4-263	Stool_11.k141_268679_3	329.1
5454_2	k141_398459	527	1492	-	966	56	0.0245313	Stool_11.k141_398459_2/2-315	Stool_11.k141_398459_2	528.2
100179_96	k141_419603	102208	103182	-	975	35	0.0151906	Stool_11.k141_419603_96/4-317	Stool_11.k141_419603_96	517.5
83948_2	k141_268679	442	1497	-	1056	3	0.00120218	Stool_11.k141_268679_2/4-321	Stool_11.k141_268679_2	374.5
39458_27	k141_33237	28220	29311	+	1092	23	0.00891283	Stool_11.k141_33237_27/4-329	Stool_11.k141_33237_27	371.3
81762_16	k141_21402	19757	20827	+	1071	23	0.00908759	Stool_11.k141_21402_16/4-330	Stool_11.k141_21402_16	363.6
