k141_104067_3/4-317,k141_104067_3,323,525.0,5e-157,10.1,314,524.8,2.3e-159,5.6e-157,10.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_47288_7/2-315,k141_47288_7,322,524.6,6.5e-157,8.1,314,524.5,3e-159,7.3e-157,8.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_55045_8/5-281,k141_55045_8,290,156.9,5.8e-45,12.1,277,156.1,4.2e-47,1e-44,12.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_84080_1/5-280,k141_84080_1,290,155.1,2.1e-44,11.9,276,154.2,1.6e-46,3.9e-44,11.9,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_109314_6/5-215,k141_109314_6,290,154.8,2.4e-44,10.9,211,154.0,1.8e-46,4.6e-44,10.9,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_44272_63/5-213,k141_44272_63,289,153.6,6e-44,11.5,209,152.9,3.8e-46,9.4e-44,11.5,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_125424_5/17-224,k141_125424_5,300,149.5,1e-42,11.3,208,148.2,1.1e-44,2.6e-42,11.3,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_46097_3/34-264,k141_46097_3,304,104.5,5.1e-29,7.2,231,103.2,5.1e-31,1.3e-28,7.2,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_94183_3/578-805,k141_94183_3,865,103.2,1.3e-28,1.4,228,102.3,9.8e-31,2.4e-28,1.4,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_68622_1/33-194,k141_68622_1,198,91.6,4.5e-25,2.7,162,90.9,2.9e-27,7.2e-25,2.7,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_46428_2/18-184,k141_46428_2,220,84.6,6.1e-23,2.8,167,84.3,2.9e-25,7.1e-23,2.8,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_84381_247/18-104,k141_84381_247,302,48.6,5.5e-12,6.1,87,48.0,3.3e-14,8.2e-12,6.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_130014_5/59-307,k141_130014_5,381,46.2,2.8e-11,1.2,249,45.8,1.5e-13,3.7e-11,1.2,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_1731_2/17-150,k141_1731_2,182,45.9,3.5e-11,0.2,134,40.9,4.8e-12,1.2e-09,0.2,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_128307_21/59-349,k141_128307_21,484,44.9,7.1e-11,1.8,291,44.4,4.2e-13,1e-10,1.8,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_62848_39/11-104,k141_62848_39,460,44.4,1.1e-10,2.0,94,44.4,4.3e-13,1.1e-10,2.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_3720_10/21-118,k141_3720_10,303,43.0,2.8e-10,5.1,98,42.3,1.8e-12,4.5e-10,5.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_75912_1/216-262,k141_75912_1,497,42.3,4.5e-10,32.9,47,23.0,1.4e-06,0.00035,6.6,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_75912_1/328-401,k141_75912_1,497,42.3,4.5e-10,32.9,74,17.1,8.6e-05,0.021,4.6,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_75912_1/403-461,k141_75912_1,497,42.3,4.5e-10,32.9,59,14.8,0.00042,0.1,5.8,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_10838_3/21-115,k141_10838_3,303,42.3,4.6e-10,5.4,95,41.5,3.1e-12,7.6e-10,5.4,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_48881_11/96-186,k141_48881_11,266,41.3,9.1e-10,36.1,91,15.6,0.00025,0.061,13.7,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_48881_11/211-260,k141_48881_11,266,41.3,9.1e-10,36.1,50,31.3,3.9e-09,9.6e-07,15.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_79304_107/77-140,k141_79304_107,571,40.8,1.3e-09,0.1,64,17.6,5.8e-05,0.014,0.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_79304_107/411-502,k141_79304_107,571,40.8,1.3e-09,0.1,92,20.7,7e-06,0.0017,0.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_39935_7/46-91,k141_39935_7,180,40.6,1.5e-09,22.5,46,24.7,4e-07,9.9e-05,5.8,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_39935_7/122-167,k141_39935_7,180,40.6,1.5e-09,22.5,46,21.9,2.8e-06,0.0007,8.6,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_72215_88/11-71,k141_72215_88,459,40.2,2e-09,2.4,61,39.9,9.5e-12,2.4e-09,0.9,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_82067_11/190-242,k141_82067_11,378,39.3,3.7e-09,3.9,53,38.5,2.5e-11,6.2e-09,3.9,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_23366_11/31-79,k141_23366_11,164,39.1,4.1e-09,34.0,49,27.7,5e-08,1.2e-05,13.3,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_23366_11/106-153,k141_23366_11,164,39.1,4.1e-09,34.0,48,15.6,0.00024,0.06,15.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
k141_43651_15/101-160,k141_43651_15,495,38.5,6.4e-09,16.4,60,21.1,5.2e-06,0.0013,10.3,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_C.domtblout
