# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_3/M9_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_3/M9_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_3/M9_1.bam	RPKM
1_1	k141_1	1	1146	+	1146	0	0
2_1	k141_2317	283	807	+	525	0	0
2_2	k141_2317	822	1478	+	657	0	0
3_1	k141_39373	3	284	-	282	0	0
3_2	k141_39373	288	1292	-	1005	0	0
4_1	k141_16213	2	139	-	138	5	2.73984
4_2	k141_16213	153	353	-	201	0	0
4_3	k141_16213	493	1173	+	681	343	38.0874
5_1	k141_18530	1	330	+	330	0	0
5_2	k141_18530	381	1193	+	813	0	0
5_3	k141_18530	1207	1632	+	426	0	0
5_4	k141_18530	1962	2033	-	72	0	0
6_1	k141_44002	2	313	+	312	5	1.21185
6_2	k141_44002	338	1558	+	1221	10	0.619325
6_3	k141_44002	1663	1950	+	288	1	0.262568
6_4	k141_44002	2091	2309	+	219	7	2.41706
6_5	k141_44002	2440	2898	-	459	14	2.30648
7_1	k141_6948	2	1780	+	1779	14	0.595095
7_2	k141_6948	1823	3406	+	1584	3	0.143219
8_1	k141_41689	3	335	+	333	0	0
8_2	k141_41689	850	1308	+	459	0	0
9_1	k141_16214	3	350	-	348	0	0
9_2	k141_16214	350	1483	-	1134	0	0
10_1	k141_41690	2	130	+	129	56	32.8271
10_2	k141_41690	114	308	+	195	157	60.8834
10_3	k141_41690	305	1093	+	789	613	58.7513
11_1	k141_11584	19	288	-	270	0	0
11_2	k141_11584	428	2728	+	2301	0	0
11_3	k141_11584	2731	2865	-	135	0	0
12_1	k141_9267	1	384	+	384	7	1.37848
12_2	k141_9267	478	918	+	441	3	0.514419
12_3	k141_9267	993	1478	+	486	10	1.55596
12_4	k141_9267	1596	2807	-	1212	24	1.49742
12_5	k141_9267	2897	3277	-	381	2	0.396953
13_1	k141_44006	1	1002	+	1002	0	0
13_2	k141_44006	1053	1430	+	378	0	0
13_3	k141_44006	1562	1921	+	360	0	0
14_1	k141_34743	1	1026	+	1026	14	1.03185
14_2	k141_34743	1467	1691	-	225	1	0.336087
14_3	k141_34743	1913	3079	-	1167	8	0.518386
15_1	k141_27801	3	557	+	555	0	0
15_2	k141_27801	742	1044	+	303	0	0
16_1	k141_16215	2	730	+	729	0	0
16_2	k141_16215	929	1942	+	1014	0	0
17_1	k141_37056	2	2179	-	2178	326	11.3186
17_2	k141_37056	2384	2500	-	117	17	10.9875
17_3	k141_37056	2546	2719	-	174	33	14.3416
17_4	k141_37056	3792	5282	-	1491	179	9.0784
17_5	k141_37056	5460	5822	-	363	29	6.04123
18_1	k141_4642	86	673	+	588	174	22.3772
18_2	k141_4642	714	1106	+	393	86	16.5478
19_1	k141_13899	3	323	+	321	0	0
19_2	k141_13899	462	1238	-	777	3	0.291967
19_3	k141_13899	1499	2926	-	1428	0	0
19_4	k141_13899	3014	3790	-	777	2	0.194645
20_1	k141_9268	3	551	+	549	0	0
20_2	k141_9268	587	1249	+	663	0	0
20_3	k141_9268	1328	1393	+	66	0	0
21_1	k141_27802	1	1110	+	1110	17	1.15814
22_1	k141_11	349	1494	+	1146	213	14.0549
22_2	k141_11	1506	1631	+	126	11	6.60171
22_3	k141_11	1618	1701	+	84	0	0
23_1	k141_18540	2	274	+	273	0	0
23_2	k141_18540	252	1427	-	1176	0	0
24_1	k141_9269	1	84	-	84	0	0
25_1	k141_34747	96	578	+	483	79	12.3684
26_1	k141_27804	3	641	-	639	4	0.473362
26_2	k141_27804	664	2031	-	1368	4	0.22111
27_1	k141_20845	1	360	-	360	0	0
27_2	k141_20845	372	1112	-	741	0	0
28_1	k141_39374	2	2218	-	2217	301	10.2668
28_2	k141_39374	2222	3358	-	1137	115	7.64842
28_3	k141_39374	3404	4795	-	1392	222	12.06
28_4	k141_39374	4892	5434	-	543	58	8.07723
28_5	k141_39374	5624	6034	+	411	59	10.8554
28_6	k141_39374	6164	6826	+	663	170	19.3896
29_1	k141_41695	2	1315	-	1314	161	9.26541
29_2	k141_41695	1315	2649	-	1335	153	8.66651
29_3	k141_41695	2910	3608	+	699	69	7.46459
