Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_6/G15_2.bam	RPKG	geneLoc	geneNum	Score
26215_2	k141_94186	243	1241	+	999	83	0.0488882	Stool_6.k141_94186_2/1-328	Stool_6.k141_94186_2	484.7
34571_7	k141_69698	10431	11468	-	1038	21	0.0119046	Stool_6.k141_69698_7/1-337	Stool_6.k141_69698_7	444.2
2703_18	k141_45027	15096	16133	-	1038	123	0.0697267	Stool_6.k141_45027_18/1-338	Stool_6.k141_45027_18	400.0
23208_2	k141_165229	206	994	+	789	47	0.035052	Stool_6.k141_165229_2/3-262	Stool_6.k141_165229_2	433.9
34571_6	k141_69698	9620	10411	-	792	7	0.00520073	Stool_6.k141_69698_6/4-263	Stool_6.k141_69698_6	348.7
2703_17	k141_45027	14289	15092	-	804	129	0.0944115	Stool_6.k141_45027_17/9-267	Stool_6.k141_45027_17	346.3
34571_5	k141_69698	8511	9602	-	1092	35	0.0188598	Stool_6.k141_69698_5/4-329	Stool_6.k141_69698_5	371.5
15955_3	k141_56525	745	1404	-	660	25	0.0222888	Stool_6.k141_56525_3/1-213	Stool_6.k141_56525_3	371.1
2703_16	k141_45027	13222	14271	-	1050	157	0.0879836	Stool_6.k141_45027_16/4-331	Stool_6.k141_45027_16	367.2
14977_2	k141_12178	544	1218	+	675	74	0.0645089	Stool_6.k141_12178_2/2-225	Stool_6.k141_12178_2	362.4
