# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_4_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_4/F23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_4/F23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_4/F23_1.bam	RPKG
1_1	k141_32754	1	870	-	870	7	0.0060186
1_2	k141_32754	915	1007	-	93	0	0
2_1	k141_65508	2	403	-	402	1	0.00186076
2_2	k141_65508	597	1247	+	651	5	0.00574521
2_3	k141_65508	1295	1636	+	342	0	0
3_1	k141_21837	3	1214	+	1212	4	0.00246873
4_1	k141_196519	227	1276	+	1050	0	0
5_1	k141_163769	3	1013	+	1011	0	0
6_1	k141_43674	1	1428	+	1428	11	0.0057621
6_2	k141_43674	1658	1741	+	84	0	0
7_1	k141_141936	3	1685	+	1683	15	0.0066669
8_1	k141_196521	1	1335	+	1335	0	0
9_1	k141_76431	55	393	-	339	1	0.00220657
9_2	k141_76431	1004	1153	+	150	0	0
10_1	k141_152852	2	334	+	333	9	0.0202169
10_2	k141_152852	525	1988	+	1464	24	0.0122627
11_1	k141_65509	3	1148	+	1146	3	0.00195818
11_2	k141_65509	1460	1681	-	222	0	0
11_3	k141_65509	2550	2840	-	291	1	0.00257054
11_4	k141_65509	2806	2877	-	72	0	0
12_1	k141_120103	1	84	-	84	0	0
12_2	k141_120103	139	1659	-	1521	8	0.00393439
13_1	k141_54594	1	300	+	300	0	0
13_2	k141_54594	301	2268	+	1968	22	0.00836208
13_3	k141_54594	2297	2683	+	387	5	0.00966442
14_1	k141_109188	3	1709	-	1707	2	0.000876422
15_1	k141_2	1	324	+	324	1	0.00230872
15_2	k141_2	445	1143	+	699	7	0.00749096
15_3	k141_2	1150	2304	+	1155	10	0.00647641
15_4	k141_2	2320	2799	-	480	1	0.00155839
15_5	k141_2	2915	3478	+	564	7	0.00928401
15_6	k141_2	3564	3839	+	276	4	0.010841
16_1	k141_32759	3	731	-	729	7	0.00718269
16_2	k141_32759	956	1225	+	270	0	0
16_3	k141_32759	1317	2477	-	1161	6	0.00386577
17_1	k141_10922	2	205	+	204	2	0.00733359
17_2	k141_10922	373	561	+	189	2	0.00791562
17_3	k141_10922	518	1246	+	729	0	0
17_4	k141_10922	1253	2170	+	918	3	0.00244453
17_5	k141_10922	2307	3233	+	927	2	0.00161386
17_6	k141_10922	3226	3537	+	312	1	0.00239752
18_1	k141_87344	2	1069	+	1068	137	0.0959546
18_2	k141_87344	1161	2267	+	1107	169	0.114197
18_3	k141_87344	2465	3232	+	768	123	0.119801
18_4	k141_87344	3285	4409	-	1125	75	0.0498684
18_5	k141_87344	4699	4803	+	105	25	0.178101
18_6	k141_87344	5079	6077	+	999	138	0.103331
19_1	k141_131027	3	173	-	171	2	0.00874884
19_2	k141_131027	680	1888	-	1209	4	0.00247486
19_3	k141_131027	1904	2266	-	363	0	0
20_1	k141_141937	2	823	+	822	30	0.0273002
20_2	k141_141937	945	1694	-	750	31	0.0309184
20_3	k141_141937	1911	3254	-	1344	65	0.0361768
21_1	k141_98271	3	320	-	318	0	0
21_2	k141_98271	414	944	+	531	3	0.00422614
21_3	k141_98271	937	1632	+	696	3	0.00322425
21_4	k141_98271	1804	2190	+	387	1	0.00193288
22_1	k141_185606	99	854	+	756	2	0.0019789
22_2	k141_185606	922	2415	+	1494	0	0
22_3	k141_185606	2428	3744	+	1317	1	0.000567977
22_4	k141_185606	3847	5181	+	1335	3	0.00168096
23_1	k141_163770	185	352	+	168	5	0.0222627
23_2	k141_163770	360	1238	+	879	47	0.0399968
23_3	k141_163770	1225	2082	+	858	28	0.0244111
23_4	k141_163770	2079	2888	+	810	22	0.0203168
23_5	k141_163770	2975	3841	+	867	72	0.0621198
23_6	k141_163770	4038	5696	+	1659	142	0.0640263
24_1	k141_196524	3	1166	-	1164	47	0.0302038
24_2	k141_196524	1220	1855	-	636	17	0.0199944
24_3	k141_196524	1874	2917	-	1044	22	0.015763
24_4	k141_196524	3094	4350	-	1257	24	0.0142821
25_1	k141_9	2	1057	-	1056	34	0.0240842
25_2	k141_9	1130	1297	-	168	3	0.0133576
26_1	k141_10928	2	202	+	201	2	0.00744304
26_2	k141_10928	214	1152	+	939	0	0
27_1	k141_32762	122	832	-	711	10	0.0105208
27_2	k141_32762	1067	1189	-	123	8	0.0486521
27_3	k141_32762	1400	1903	-	504	16	0.0237469
28_1	k141_109192	79	660	+	582	0	0
28_2	k141_109192	751	1281	-	531	3	0.00422614
28_3	k141_109192	1686	3230	+	1545	13	0.00629407
29_1	k141_163773	3	1097	+	1095	9	0.00614816
30_1	k141_65514	3	1442	-	1440	0	0
30_2	k141_65514	1560	2384	-	825	0	0
30_3	k141_65514	2570	3799	-	1230	1	0.000608151
30_4	k141_65514	3840	4541	-	702	0	0
31_1	k141_21862	3	773	-	771	0	0
31_2	k141_21862	802	1131	-	330	0	0
32_1	k141_141939	1	999	-	999	0	0
32_2	k141_141939	1005	2117	-	1113	0	0
32_3	k141_141939	2204	3385	-	1182	1	0.000632848
33_1	k141_131033	1	990	-	990	12	0.00906698
33_2	k141_131033	1159	2217	+	1059	2	0.0014127
33_3	k141_131033	2224	3192	+	969	5	0.00385978
34_1	k141_10930	2	1501	-	1500	3	0.00149605
35_1	k141_185613	1	639	-	639	0	0
35_2	k141_185613	796	1206	-	411	4	0.00728006
36_1	k141_109194	3	116	+	114	0	0
36_2	k141_109194	500	637	+	138	0	0
36_3	k141_109194	606	1070	+	465	0	0
36_4	k141_109194	1070	1153	+	84	0	0
37_1	k141_54601	241	1776	-	1536	0	0
37_2	k141_54601	1996	3147	-	1152	0	0
37_3	k141_54601	3152	4132	-	981	0	0
38_1	k141_152853	3	3083	-	3081	6	0.00145672
38_2	k141_152853	3083	4153	-	1071	11	0.00768281
38_3	k141_152853	4510	5790	-	1281	7	0.00408757
38_4	k141_152853	5929	7182	-	1254	6	0.00357907
38_5	k141_152853	7198	7716	-	519	0	0
39_1	k141_141940	2	1006	+	1005	2	0.00148861
40_1	k141_65520	1	84	-	84	0	0
40_2	k141_65520	227	1087	-	861	1	0.000868787
41_1	k141_32770	913	1020	+	108	11	0.0761878
42_1	k141_120107	3	467	-	465	2	0.00321732
42_2	k141_120107	471	2240	-	1770	19	0.00802966
42_3	k141_120107	2310	3026	-	717	11	0.011476
42_4	k141_120107	3100	4083	-	984	9	0.0068417
42_5	k141_120107	4133	5065	-	933	0	0
42_6	k141_120107	5062	5904	-	843	6	0.00532403
42_7	k141_120107	5914	6327	-	414	3	0.00542048
42_8	k141_120107	6408	6686	-	279	16	0.0428975
42_9	k141_120107	6701	7192	-	492	4	0.00608151
42_10	k141_120107	7177	7314	-	138	0	0
43_1	k141_163778	4	513	-	510	0	0
43_2	k141_163778	766	1017	+	252	0	0
44_1	k141_196537	3	554	+	552	0	0
44_2	k141_196537	541	2019	+	1479	1	0.000505765
45_1	k141_87351	1	231	+	231	0	0
45_2	k141_87351	309	1649	+	1341	0	0
45_3	k141_87351	1989	2114	+	126	0	0
45_4	k141_87351	2153	3739	+	1587	0	0
45_5	k141_87351	3803	4579	+	777	0	0
45_6	k141_87351	4755	4979	+	225	0	0
46_1	k141_152854	1	180	-	180	0	0
46_2	k141_152854	306	506	+	201	1	0.00372152
46_3	k141_152854	531	905	-	375	7	0.0139632
46_4	k141_152854	993	1445	-	453	7	0.0115589
46_5	k141_152854	1461	1826	-	366	1	0.00204379
47_1	k141_54603	2	544	+	543	0	0
47_2	k141_54603	579	1301	+	723	0	0
47_3	k141_54603	1423	2175	+	753	0	0
48_1	k141_10936	1	516	+	516	0	0
48_2	k141_10936	914	1174	+	261	0	0
48_3	k141_10936	1299	1673	-	375	0	0
49_1	k141_65521	178	714	+	537	57	0.0793994
49_2	k141_65521	733	1419	+	687	65	0.0707739
50_1	k141_21865	1	825	-	825	3	0.00272009
50_2	k141_21865	832	1344	-	513	0	0
50_3	k141_21865	1485	1802	-	318	0	0
50_4	k141_21865	1821	2000	-	180	0	0
50_5	k141_21865	1997	3235	-	1239	2	0.00120747
51_1	k141_174688	1	291	+	291	0	0
51_2	k141_174688	802	1326	+	525	8	0.0113985
51_3	k141_174688	1447	2337	-	891	6	0.00503721
51_4	k141_174688	2476	3615	-	1140	13	0.00853012
51_5	k141_174688	3608	4543	-	936	13	0.0103892
51_6	k141_174688	4620	5438	+	819	10	0.00913341
51_7	k141_174688	5596	7719	+	2124	34	0.011974
51_8	k141_174688	7725	9290	-	1566	15	0.007165
51_9	k141_174688	9513	11543	+	2031	32	0.0117857
52_1	k141_120110	1	744	+	744	0	0
52_2	k141_120110	840	1040	+	201	0	0
52_3	k141_120110	1052	1753	+	702	0	0
53_1	k141_65522	3	587	+	585	1	0.00127868
53_2	k141_65522	687	1064	+	378	0	0
54_1	k141_98280	3	338	-	336	9	0.0200364
54_2	k141_98280	428	1834	-	1407	20	0.0106329
54_3	k141_98280	1921	2448	+	528	0	0
54_4	k141_98280	2521	2691	+	171	1	0.00437442
54_5	k141_98280	2765	3628	+	864	3	0.00259731
54_6	k141_98280	3639	4208	+	570	3	0.00393698
54_7	k141_98280	4381	5046	+	666	11	0.0123548
54_8	k141_98280	5347	5604	+	258	11	0.0318926
55_1	k141_152855	1	456	+	456	12	0.0196849
55_2	k141_152855	473	985	+	513	9	0.0131233
55_3	k141_152855	1033	1797	+	765	13	0.0127116
56_1	k141_10938	2	553	-	552	0	0
56_2	k141_10938	580	1362	-	783	0	0
57_1	k141_32775	502	1425	-	924	0	0
58_1	k141_87354	1	1074	-	1074	37	0.02577
58_2	k141_87354	1206	1760	-	555	2	0.00269559
58_3	k141_87354	1799	2218	-	420	1	0.00178101
59_1	k141_207439	14	448	-	435	0	0
59_2	k141_207439	495	1670	-	1176	1	0.000636076
59_3	k141_207439	1697	4120	-	2424	0	0
59_4	k141_207439	4232	9862	-	5631	4	0.000531363
59_5	k141_207439	9962	10363	+	402	1	0.00186076
