# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_7_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_7/E20_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_7/E20_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_7/E20_2.bam	RPKG
1_1	k141_178828	2	1276	+	1275	0	0
1_2	k141_178828	1347	1574	-	228	0	0
1_3	k141_178828	1564	1734	-	171	0	0
2_1	k141_0	1	996	-	996	0	0
3_1	k141_153282	2	268	+	267	0	0
3_2	k141_153282	287	2248	+	1962	0	0
3_3	k141_153282	2327	3091	-	765	0	0
4_1	k141_12776	3	1034	+	1032	0	0
4_2	k141_12776	1101	1418	-	318	0	0
5_1	k141_38325	3	863	+	861	0	0
5_2	k141_38325	829	1101	+	273	0	0
5_3	k141_38325	1122	1487	+	366	0	0
6_1	k141_229921	246	2630	-	2385	8	0.00424611
6_2	k141_229921	2645	2851	-	207	1	0.00611532
7_1	k141_127742	2	562	+	561	5	0.0112823
7_2	k141_127742	801	1205	+	405	13	0.0406329
8_1	k141_140510	1	972	+	972	0	0
8_2	k141_140510	1034	2218	+	1185	0	0
8_3	k141_140510	2205	3233	+	1029	0	0
8_4	k141_140510	3235	3519	+	285	0	0
9_1	k141_166056	1	171	+	171	0	0
9_2	k141_166056	172	4221	+	4050	0	0
10_1	k141_217150	3	926	+	924	0	0
10_2	k141_217150	1084	1248	+	165	0	0
11_1	k141_114969	354	1265	+	912	0	0
12_1	k141_102195	1	270	+	270	0	0
12_2	k141_102195	310	1776	-	1467	0	0
13_1	k141_12778	80	643	+	564	1	0.00224445
13_2	k141_12778	661	1344	-	684	2	0.00370138
13_3	k141_12778	1540	1752	+	213	2	0.0118861
14_1	k141_229924	1	330	+	330	0	0
14_2	k141_229924	395	1582	+	1188	0	0
15_1	k141_76653	109	1068	-	960	42	0.0553819
15_2	k141_76653	1318	1527	-	210	6	0.0361678
16_1	k141_217152	139	849	-	711	31	0.0551927
16_2	k141_217152	1201	1335	+	135	6	0.056261
17_1	k141_140511	156	1673	-	1518	1	0.000833908
17_2	k141_140511	1712	2074	-	363	0	0
17_3	k141_140511	2040	2180	-	141	0	0
18_1	k141_204377	51	1148	-	1098	0	0
18_2	k141_204377	1472	1864	+	393	0	0
18_3	k141_204377	1855	2292	-	438	0	0
18_4	k141_204377	2330	3214	-	885	0	0
18_5	k141_204377	3231	3887	-	657	0	0
19_1	k141_63877	1	1734	-	1734	0	0
20_1	k141_38330	1	438	+	438	0	0
20_2	k141_38330	435	1181	+	747	0	0
20_3	k141_38330	1186	1401	+	216	0	0
21_1	k141_51102	1	261	+	261	0	0
21_2	k141_51102	645	1379	+	735	0	0
21_3	k141_51102	1664	2164	+	501	0	0
21_4	k141_51102	2263	2421	-	159	0	0
22_1	k141_191607	1	525	+	525	0	0
22_2	k141_191607	533	1693	+	1161	0	0
22_3	k141_191607	1718	3502	+	1785	0	0
23_1	k141_217153	1	810	-	810	0	0
23_2	k141_217153	870	1328	+	459	0	0
23_3	k141_217153	1366	1602	+	237	0	0
24_1	k141_204381	31	1059	-	1029	0	0
25_1	k141_242698	1	2055	-	2055	26	0.0160159
25_2	k141_242698	2055	2885	-	831	7	0.0106632
25_3	k141_242698	3038	3505	-	468	1	0.00270485
26_1	k141_102196	1	312	+	312	4	0.0162291
26_2	k141_102196	318	2438	+	2121	0	0
26_3	k141_102196	2447	3181	+	735	0	0
26_4	k141_102196	3169	3312	+	144	0	0
27_1	k141_127753	1	1014	-	1014	0	0
28_1	k141_89432	3	134	+	132	1	0.00958994
28_2	k141_89432	134	1504	+	1371	51	0.0470893
28_3	k141_89432	1524	1730	+	207	4	0.0244613
29_1	k141_51104	2	1021	+	1020	3	0.00372315
30_1	k141_191609	2	223	+	222	1	0.00570213
30_2	k141_191609	522	1082	+	561	0	0
31_1	k141_204382	2	1279	+	1278	0	0
32_1	k141_114976	1	360	+	360	0	0
32_2	k141_114976	341	1114	+	774	0	0
32_3	k141_114976	1114	2040	+	927	0	0
32_4	k141_114976	2181	2774	+	594	0	0
32_5	k141_114976	2806	2949	+	144	0	0
33_1	k141_153284	3	785	-	783	0	0
33_2	k141_153284	1138	2097	+	960	0	0
33_3	k141_153284	2410	2583	-	174	0	0
33_4	k141_153284	2570	2932	-	363	0	0
33_5	k141_153284	3318	3947	+	630	0	0
33_6	k141_153284	4189	4914	-	726	0	0
33_7	k141_153284	4936	5688	-	753	0	0
33_8	k141_153284	5701	6540	-	840	0	0
34_1	k141_12782	1	138	+	138	0	0
34_2	k141_12782	280	2064	+	1785	14	0.00992841
34_3	k141_12782	2256	3221	+	966	6	0.00786256
34_4	k141_12782	3290	4084	+	795	4	0.00636917
34_5	k141_12782	4081	4209	+	129	0	0
35_1	k141_51106	2	988	+	987	0	0
36_1	k141_20	3	146	-	144	0	0
36_2	k141_20	160	837	-	678	0	0
36_3	k141_20	852	1685	-	834	0	0
36_4	k141_20	1682	2257	-	576	0	0
37_1	k141_204383	3	200	-	198	4	0.0255732
37_2	k141_204383	319	1854	-	1536	66	0.0543929
38_1	k141_217156	3	395	+	393	0	0
38_2	k141_217156	462	839	+	378	0	0
38_3	k141_217156	839	1003	+	165	0	0
38_4	k141_217156	1191	1526	-	336	2	0.00753495
38_5	k141_217156	1523	1846	-	324	0	0
38_6	k141_217156	2040	2471	+	432	1	0.00293026
39_1	k141_114977	3	896	-	894	0	0
39_2	k141_114977	925	1902	-	978	0	0
39_3	k141_114977	1915	2145	-	231	0	0
40_1	k141_102204	2	814	+	813	5	0.00778519
40_2	k141_102204	1037	1180	+	144	0	0
41_1	k141_229928	205	378	-	174	0	0
41_2	k141_229928	378	2384	-	2007	0	0
41_3	k141_229928	2521	2733	-	213	0	0
41_4	k141_229928	2991	3392	+	402	0	0
41_5	k141_229928	3654	4052	+	399	0	0
41_6	k141_229928	4221	4763	+	543	0	0
42_1	k141_242701	1	2052	-	2052	6	0.00370138
42_2	k141_242701	2052	2882	-	831	7	0.0106632
42_3	k141_242701	2928	3047	+	120	0	0
42_4	k141_242701	3035	3586	-	552	1	0.00229325
43_1	k141_140512	2	244	-	243	9	0.0468841
43_2	k141_140512	505	750	-	246	1	0.00514582
43_3	k141_140512	930	1913	-	984	7	0.00900519
43_4	k141_140512	1913	3205	-	1293	21	0.0205594
43_5	k141_140512	3218	4213	-	996	17	0.0216062
43_6	k141_140512	4248	4370	-	123	0	0
43_7	k141_140512	4370	4729	-	360	10	0.0351631
43_8	k141_140512	4945	5478	+	534	10	0.0237055
43_9	k141_140512	5680	6147	-	468	25	0.0676214
44_1	k141_166072	373	744	-	372	3	0.0102086
45_1	k141_204387	1	687	+	687	0	0
45_2	k141_204387	1020	1208	+	189	0	0
46_1	k141_127760	3	1376	+	1374	0	0
47_1	k141_63878	374	496	-	123	0	0
47_2	k141_63878	457	1800	-	1344	0	0
47_3	k141_63878	2121	3275	-	1155	0	0
47_4	k141_63878	3283	3603	-	321	0	0
47_5	k141_63878	3603	4637	-	1035	0	0
47_6	k141_63878	4680	4868	-	189	0	0
47_7	k141_63878	5058	5591	+	534	0	0
47_8	k141_63878	5802	5987	-	186	0	0
48_1	k141_191613	2	1033	-	1032	0	0
48_2	k141_191613	1085	1573	-	489	0	0
48_3	k141_191613	1623	1988	-	366	0	0
48_4	k141_191613	2093	2542	-	450	0	0
48_5	k141_191613	2547	2990	-	444	0	0
49_1	k141_114979	221	1822	-	1602	0	0
49_2	k141_114979	1815	2321	-	507	0	0
50_1	k141_153292	2	1474	-	1473	0	0
51_1	k141_242704	2	310	+	309	0	0
51_2	k141_242704	558	692	+	135	0	0
51_3	k141_242704	1016	1132	+	117	0	0
52_1	k141_127761	1	309	+	309	4	0.0163867
52_2	k141_127761	392	1447	+	1056	15	0.0179811
53_1	k141_102208	24	365	-	342	0	0
53_2	k141_102208	1060	1311	+	252	0	0
54_1	k141_140516	1	120	+	120	0	0
54_2	k141_140516	254	454	-	201	4	0.0251915
54_3	k141_140516	444	908	-	465	18	0.0490015
54_4	k141_140516	1265	1504	-	240	1	0.00527447
55_1	k141_204390	1468	1632	+	165	0	0
55_2	k141_204390	1728	1895	+	168	0	0
56_1	k141_153295	2	601	+	600	0	0
56_2	k141_153295	802	1299	+	498	0	0
57_1	k141_38338	3	326	-	324	0	0
57_2	k141_38338	618	1142	-	525	0	0
57_3	k141_38338	1860	3401	+	1542	0	0
57_4	k141_38338	3697	4038	+	342	0	0
57_5	k141_38338	4040	4753	+	714	0	0
57_6	k141_38338	4781	5287	+	507	2	0.00499358
57_7	k141_38338	5274	5510	+	237	0	0
58_1	k141_166080	1	1401	-	1401	16	0.0144568
