# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_7_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_7/E6_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_7/E6_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_7/E6_2.bam	RPKG
1_1	k141_178828	2	1276	+	1275	14	0.00957031
1_2	k141_178828	1347	1574	-	228	0	0
1_3	k141_178828	1564	1734	-	171	0	0
2_1	k141_0	1	996	-	996	116	0.10151
3_1	k141_153282	2	268	+	267	14	0.0457009
3_2	k141_153282	287	2248	+	1962	117	0.0519751
3_3	k141_153282	2327	3091	-	765	46	0.0524089
4_1	k141_12776	3	1034	+	1032	9	0.00760101
4_2	k141_12776	1101	1418	-	318	0	0
5_1	k141_38325	3	863	+	861	1	0.00101229
5_2	k141_38325	829	1101	+	273	0	0
5_3	k141_38325	1122	1487	+	366	0	0
6_1	k141_229921	246	2630	-	2385	33	0.0120596
6_2	k141_229921	2645	2851	-	207	5	0.0210527
7_1	k141_127742	2	562	+	561	13	0.0201971
7_2	k141_127742	801	1205	+	405	0	0
8_1	k141_140510	1	972	+	972	9	0.00807021
8_2	k141_140510	1034	2218	+	1185	6	0.00441307
8_3	k141_140510	2205	3233	+	1029	7	0.00592913
8_4	k141_140510	3235	3519	+	285	0	0
9_1	k141_166056	1	171	+	171	3	0.0152909
9_2	k141_166056	172	4221	+	4050	657	0.14139
10_1	k141_217150	3	926	+	924	19	0.0179221
10_2	k141_217150	1084	1248	+	165	0	0
11_1	k141_114969	354	1265	+	912	14	0.0133796
12_1	k141_102195	1	270	+	270	0	0
12_2	k141_102195	310	1776	-	1467	0	0
13_1	k141_12778	80	643	+	564	46	0.0710865
13_2	k141_12778	661	1344	-	684	64	0.0815516
13_3	k141_12778	1540	1752	+	213	19	0.0777468
14_1	k141_229924	1	330	+	330	7	0.0184881
14_2	k141_229924	395	1582	+	1188	20	0.0146731
15_1	k141_76653	109	1068	-	960	7	0.00635529
15_2	k141_76653	1318	1527	-	210	0	0
16_1	k141_217152	139	849	-	711	4	0.00490342
16_2	k141_217152	1201	1335	+	135	1	0.00645616
17_1	k141_140511	156	1673	-	1518	3	0.00172249
17_2	k141_140511	1712	2074	-	363	4	0.00960421
17_3	k141_140511	2040	2180	-	141	0	0
18_1	k141_204377	51	1148	-	1098	20	0.0158758
18_2	k141_204377	1472	1864	+	393	22	0.0487909
18_3	k141_204377	1855	2292	-	438	14	0.0278588
18_4	k141_204377	2330	3214	-	885	16	0.0157574
18_5	k141_204377	3231	3887	-	657	35	0.0464313
19_1	k141_63877	1	1734	-	1734	0	0
