Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_4/O23_1.bam	RPKG	geneLoc	geneNum	Score
2307_1	k141_22501	2	958	+	957	0	0	Capsule_4.k141_22501_1/2-311	Capsule_4.k141_22501_1	486.6
7631_25	k141_12653	20844	21842	+	999	57	0.0500361	Capsule_4.k141_12653_25/1-328	Capsule_4.k141_12653_25	481.7
35894_4	k141_20405	5918	6952	+	1035	0	0	Capsule_4.k141_20405_4/1-338	Capsule_4.k141_20405_4	429.2
2037_2	k141_349	1188	2234	-	1047	0	0	Capsule_4.k141_349_2/1-342	Capsule_4.k141_349_2	369.0
7631_26	k141_12653	21844	22632	+	789	55	0.0611307	Capsule_4.k141_12653_26/3-262	Capsule_4.k141_12653_26	432.3
35894_5	k141_20405	6969	7760	+	792	1	0.00110726	Capsule_4.k141_20405_5/4-263	Capsule_4.k141_20405_5	330.1
2037_1	k141_349	395	1183	-	789	0	0	Capsule_4.k141_349_1/5-262	Capsule_4.k141_349_1	320.0
7631_27	k141_12653	22646	23611	+	966	46	0.0417594	Capsule_4.k141_12653_27/2-315	Capsule_4.k141_12653_27	528.5
37305_1	k141_42421	3	812	+	810	0	0	Capsule_4.k141_42421_1/2-264	Capsule_4.k141_42421_1	462.0
35894_6	k141_20405	7779	8834	+	1056	0	0	Capsule_4.k141_20405_6/4-321	Capsule_4.k141_20405_6	374.5
