# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_14_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_14/F19_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_14/F19_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_14/F19_2.bam	RPKG
1_1	k141_234550	1	411	+	411	0	0
1_2	k141_234550	494	1033	+	540	0	0
2_1	k141_24691	3	206	-	204	0	0
2_2	k141_24691	278	1336	-	1059	0	0
3_1	k141_185174	509	880	+	372	0	0
3_2	k141_185174	1219	1710	+	492	0	0
3_3	k141_185174	1970	2275	+	306	0	0
4_1	k141_49382	217	438	-	222	0	0
4_2	k141_49382	555	1100	-	546	0	0
4_3	k141_49382	1266	1775	+	510	0	0
4_4	k141_49382	1800	1910	+	111	0	0
5_1	k141_74071	2	556	+	555	0	0
5_2	k141_74071	666	2081	+	1416	5	0.220026
5_3	k141_74071	2183	2962	-	780	0	0
6_1	k141_209862	3	290	-	288	0	0
6_2	k141_209862	297	1655	-	1359	0	0
6_3	k141_209862	1859	3901	+	2043	0	0
7_1	k141_135797	1	378	-	378	0	0
7_2	k141_135797	619	2040	-	1422	0	0
8_1	k141_86415	162	911	-	750	0	0
8_2	k141_86415	1084	2517	-	1434	1	0.0434529
8_3	k141_86415	2668	3216	-	549	0	0
8_4	k141_86415	3333	3902	+	570	0	0
9_1	k141_111110	1	471	-	471	0	0
9_2	k141_111110	581	1048	-	468	0	0
10_1	k141_197526	1	1164	-	1164	0	0
11_1	k141_160491	2	103	-	102	0	0
11_2	k141_160491	310	2046	-	1737	0	0
11_3	k141_160491	2056	2175	-	120	0	0
12_1	k141_172837	3	284	-	282	0	0
12_2	k141_172837	479	1183	+	705	0	0
12_3	k141_172837	1208	1837	+	630	0	0
13_1	k141_222215	263	1771	-	1509	0	0
14_1	k141_98765	73	1209	-	1137	0	0
14_2	k141_98765	1202	1795	-	594	0	0
14_3	k141_98765	1808	2098	-	291	0	0
14_4	k141_98765	2095	2661	-	567	0	0
14_5	k141_98765	2679	3377	-	699	0	0
15_1	k141_49387	367	1083	+	717	0	0
15_2	k141_49387	1354	1662	+	309	0	0
15_3	k141_49387	1619	2245	+	627	0	0
16_1	k141_61734	2	1393	-	1392	0	0
17_1	k141_37039	3	395	-	393	0	0
17_2	k141_37039	556	1302	-	747	0	0
17_3	k141_37039	1380	1751	-	372	0	0
17_4	k141_37039	1899	2753	-	855	0	0
17_5	k141_37039	2952	3137	-	186	0	0
18_1	k141_86418	1	342	+	342	0	0
18_2	k141_86418	363	1088	+	726	0	0
18_3	k141_86418	1089	1541	+	453	0	0
18_4	k141_86418	1538	1783	+	246	0	0
19_1	k141_160493	3	1424	+	1422	0	0
20_1	k141_12354	114	620	+	507	0	0
20_2	k141_12354	698	898	+	201	0	0
20_3	k141_12354	1058	1504	-	447	0	0
20_4	k141_12354	1569	2528	-	960	0	0
21_1	k141_222216	1	300	+	300	0	0
21_2	k141_222216	301	555	+	255	0	0
