# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_8_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_8/G23_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_8/G23_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_8/G23_2.bam	RPKG
1_1	k141_139198	1	720	-	720	10	0.00755238
1_2	k141_139198	717	1268	-	552	3	0.00295528
2_1	k141_49130	3	1154	+	1152	1	0.000472024
3_1	k141_32754	3	224	-	222	0	0
3_2	k141_32754	329	772	-	444	1	0.00122471
3_3	k141_32754	973	1206	-	234	2	0.00464762
3_4	k141_32754	1209	1655	-	447	0	0
4_1	k141_16378	2	1678	+	1677	10	0.00324253
4_2	k141_16378	1761	3284	-	1524	10	0.00356805
5_1	k141_49133	2	262	+	261	0	0
5_2	k141_49133	353	907	+	555	7	0.00685838
5_3	k141_49133	1065	1154	+	90	0	0
6_1	k141_98261	71	1546	+	1476	25	0.00921022
7_1	k141_65510	3	1304	-	1302	0	0
8_1	k141_106448	1	129	-	129	0	0
8_2	k141_106448	126	1265	-	1140	3	0.00143098
8_3	k141_106448	1386	2069	-	684	1	0.000794988
9_1	k141_131012	3	716	+	714	150	0.114238
9_2	k141_131012	945	1148	+	204	85	0.226571
10_1	k141_32757	2	400	+	399	2	0.00272567
10_2	k141_32757	397	756	+	360	1	0.00151048
10_3	k141_32757	1006	1176	+	171	1	0.00317995
11_1	k141_122824	1	873	-	873	0	0
11_2	k141_122824	1074	1748	-	675	0	0
11_3	k141_122824	1765	1854	-	90	0	0
12_1	k141_8192	2	1393	+	1392	1	0.00039064
12_2	k141_8192	1583	2110	+	528	0	0
13_1	k141_24573	3	1004	-	1002	20	0.0108537
14_1	k141_40952	1	354	+	354	3	0.00460823
14_2	k141_40952	378	1001	+	624	0	0
15_1	k141_122825	1	1251	+	1251	10	0.00434669
16_1	k141_8193	2	1243	-	1242	11	0.00481601
17_1	k141_65512	3	755	+	753	12	0.00866568
17_2	k141_65512	1087	1419	+	333	9	0.0146965
18_1	k141_155581	1	558	-	558	0	0
19_1	k141_73704	3	1508	+	1506	5	0.00180535
20_1	k141_32759	3	914	-	912	17	0.0101361
21_1	k141_81885	2	115	+	114	1	0.00476993
21_2	k141_81885	241	1131	+	891	37	0.0225809
21_3	k141_81885	1236	2123	+	888	45	0.027556
21_4	k141_81885	2263	2532	+	270	4	0.00805587
21_5	k141_81885	2487	2963	+	477	26	0.0296395
21_6	k141_81885	3120	3380	-	261	4	0.00833366
22_1	k141_131015	1	1356	-	1356	189	0.0757912
23_1	k141_40953	3	479	+	477	0	0
23_2	k141_40953	605	1072	+	468	2	0.00232381
24_1	k141_16384	2	220	-	219	0	0
24_2	k141_16384	302	1015	-	714	8	0.00609268
24_3	k141_16384	1176	1763	-	588	4	0.00369913
25_1	k141_49138	1	1110	+	1110	15	0.00734826
26_1	k141_122828	2	199	+	198	6	0.0164779
26_2	k141_122828	174	1004	+	831	560	0.36644
27_1	k141_65513	2	460	+	459	0	0
27_2	k141_65513	475	1125	+	651	1	0.000835286
27_3	k141_65513	1262	1864	+	603	0	0
27_4	k141_65513	1933	2193	-	261	0	0
28_1	k141_139199	1	288	+	288	20	0.0377619
28_2	k141_139199	285	473	+	189	8	0.0230168
28_3	k141_139199	656	838	+	183	5	0.0148571
28_4	k141_139199	849	1574	+	726	33	0.0247169
28_5	k141_139199	1674	1829	+	156	9	0.0313714
28_6	k141_139199	1895	2950	+	1056	88	0.0453143
28_7	k141_139199	3064	3426	+	363	17	0.0254659
28_8	k141_139199	3404	4114	+	711	53	0.0405343
