Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_10/A17_2.bam	RPKG	geneLoc	geneNum	Score
40537_21	k141_28064	15981	16979	-	999	52	0.0213711	Stool_10.k141_28064_21/1-328	Stool_10.k141_28064_21	486.1
9790_1	k141_126240	364	1401	+	1038	18	0.00711973	Stool_10.k141_126240_1/1-338	Stool_10.k141_126240_1	430.2
13574_3	k141_108158	3206	4975	+	1770	2	0.000463922	Stool_10.k141_108158_3/242-580	Stool_10.k141_108158_3	394.7
7742_2	k141_116066	64	837	-	774	21	0.0111395	Stool_10.k141_116066_2/2-254	Stool_10.k141_116066_2	392.2
40537_20	k141_28064	15191	15979	-	789	32	0.0166518	Stool_10.k141_28064_20/3-262	Stool_10.k141_28064_20	433.7
40368_2	k141_28031	571	1305	-	735	17	0.0094962	Stool_10.k141_28031_2/1-244	Stool_10.k141_28031_2	409.8
13574_4	k141_108158	4977	5768	+	792	12	0.00622077	Stool_10.k141_108158_4/4-263	Stool_10.k141_108158_4	337.3
40537_19	k141_28064	14212	15177	-	966	80	0.0340017	Stool_10.k141_28064_19/2-315	Stool_10.k141_28064_19	527.0
38269_2	k141_27523	551	1264	+	714	3	0.00172509	Stool_10.k141_27523_2/2-238	Stool_10.k141_27523_2	424.3
40368_1	k141_28031	1	558	-	558	14	0.0103011	Stool_10.k141_28031_1/2-186	Stool_10.k141_28031_1	326.2
