# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_1_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_1/C5_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_1/C5_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_1/C5_1.bam	RPKG
1_1	k141_21758	3	1187	+	1185	1	0.00204541
2_1	k141_130543	3	182	-	180	5	0.0673281
2_2	k141_130543	194	880	-	687	18	0.0635059
2_3	k141_130543	1072	1266	+	195	1	0.0124298
3_1	k141_32637	3	1436	+	1434	11	0.0185927
4_1	k141_184933	2	1714	+	1713	2	0.0028299
5_1	k141_10880	1	576	+	576	6	0.025248
5_2	k141_10880	565	1047	-	483	0	0
6_1	k141_141421	83	478	+	396	4	0.0244829
6_2	k141_141421	481	1770	+	1290	20	0.0375785
6_3	k141_141421	1767	2114	+	348	4	0.0278599
7_1	k141_108788	1	66	-	66	0	0
7_2	k141_108788	63	443	-	381	5	0.0318085
7_3	k141_108788	605	1825	-	1221	72	0.142927
8_1	k141_206691	3	257	-	255	0	0
8_2	k141_206691	483	1091	+	609	0	0
9_1	k141_141423	3	212	-	210	1	0.011542
9_2	k141_141423	205	864	-	660	2	0.00734488
9_3	k141_141423	857	1303	-	447	0	0
10_1	k141_152302	3	275	-	273	0	0
10_2	k141_152302	262	984	-	723	7	0.023467
10_3	k141_152302	1035	1769	-	735	2	0.0065954
11_1	k141_206694	1	579	-	579	5	0.020931
11_2	k141_206694	842	1129	+	288	5	0.04208
12_1	k141_163186	243	848	-	606	5	0.0199984
12_2	k141_163186	1017	1139	-	123	3	0.0591173
13_1	k141_119672	1	1566	+	1566	18	0.0278599
13_2	k141_119672	1563	1922	+	360	3	0.0201984
14_1	k141_141426	3	446	-	444	1	0.00545903
14_2	k141_141426	458	1420	-	963	12	0.0302032
14_3	k141_141426	1561	1749	-	189	0	0
15_1	k141_21764	2	2047	+	2046	7	0.00829261
15_2	k141_21764	2138	2488	+	351	0	0
16_1	k141_87039	246	1847	+	1602	34	0.0514417
16_2	k141_87039	1887	2291	-	405	1	0.00598472
17_1	k141_184934	2	880	-	879	33	0.0909963
17_2	k141_184934	1183	2559	+	1377	101	0.177781
17_3	k141_184934	2872	3603	+	732	23	0.076158
17_4	k141_184934	3784	4116	-	333	8	0.0582297
17_5	k141_184934	4106	4732	-	627	7	0.0270601
18_1	k141_65284	2	118	+	117	0	0
18_2	k141_65284	137	964	+	828	3	0.00878192
18_3	k141_65284	984	1349	+	366	6	0.0397346
18_4	k141_65284	1369	1788	+	420	2	0.011542
19_1	k141_32646	2	1012	+	1011	5	0.0119872
19_2	k141_32646	1136	1819	+	684	3	0.0106307
20_1	k141_108799	3	1085	+	1083	9	0.0201425
21_1	k141_54399	154	690	-	537	0	0
21_2	k141_54399	837	1796	-	960	0	0
21_3	k141_54399	1943	2536	-	594	1	0.00408049
21_4	k141_54399	2563	2958	-	396	6	0.0367244
21_5	k141_54399	2999	3367	-	369	10	0.0656859
21_6	k141_54399	3484	3645	-	162	7	0.104733
21_7	k141_54399	3821	4012	-	192	0	0
21_8	k141_54399	4054	4272	-	219	0	0
21_9	k141_54399	4273	4533	-	261	0	0
21_10	k141_54399	4553	4879	-	327	0	0
22_1	k141_174072	211	1989	+	1779	0	0
23_1	k141_65285	1	657	-	657	9	0.0332029
23_2	k141_65285	696	1034	-	339	2	0.0142998
24_1	k141_141429	2	748	-	747	19	0.0616498
24_2	k141_141429	867	1301	-	435	7	0.0390038
25_1	k141_21767	2	652	-	651	10	0.0372321
25_2	k141_21767	667	1332	-	666	13	0.0473116
25_3	k141_21767	1484	1816	-	333	13	0.0946232
26_1	k141_108803	3	74	-	72	2	0.0673281
26_2	k141_108803	540	1001	+	462	14	0.0734488
27_1	k141_152312	2	130	-	129	0	0
27_2	k141_152312	234	1604	+	1371	24	0.0424299
27_3	k141_152312	1604	1798	+	195	0	0
28_1	k141_130548	3	185	-	183	2	0.0264897
28_2	k141_130548	193	450	-	258	1	0.00939461
28_3	k141_130548	1011	1895	+	885	10	0.0273877
28_4	k141_130548	1921	2823	+	903	2	0.00536835
28_5	k141_130548	2824	3888	+	1065	7	0.0159311
28_6	k141_130548	4204	5139	+	936	8	0.0207163
29_1	k141_206703	594	1343	+	750	8	0.025854
30_1	k141_141432	1	834	-	834	3	0.00871874
30_2	k141_141432	983	1171	+	189	0	0
31_1	k141_97911	130	408	-	279	11	0.0955624
31_2	k141_97911	430	735	-	306	2	0.0158419
31_3	k141_97911	748	972	-	225	4	0.04309
31_4	k141_97911	1078	1563	-	486	1	0.00498726
31_5	k141_97911	1578	2045	-	468	0	0
31_6	k141_97911	2059	3174	-	1116	6	0.0130312
31_7	k141_97911	3294	5150	-	1857	24	0.0313255
31_8	k141_97911	5155	6696	-	1542	4	0.00628745
31_9	k141_97911	6693	7466	-	774	2	0.00626308
32_1	k141_108804	1	318	+	318	3	0.0228661
32_2	k141_108804	334	828	+	495	0	0
32_3	k141_108804	839	1657	+	819	3	0.00887843
33_1	k141_184937	41	1717	-	1677	6	0.00867195
33_2	k141_184937	1767	2678	-	912	1	0.00265769
34_1	k141_163195	2	445	-	444	0	0
34_2	k141_163195	547	873	+	327	0	0
34_3	k141_163195	1022	1141	+	120	0	0
35_1	k141_119677	147	851	+	705	2	0.00687606
35_2	k141_119677	1147	2196	+	1050	13	0.0300091
35_3	k141_119677	2199	3632	+	1434	24	0.0405659
36_1	k141_87049	3	302	-	300	3	0.0242381
36_2	k141_87049	711	1118	-	408	6	0.0356443
37_1	k141_65286	1	156	+	156	4	0.062149
37_2	k141_65286	159	449	+	291	1	0.00832925
37_3	k141_65286	442	744	+	303	0	0
37_4	k141_65286	1027	2271	-	1245	9	0.0175215
37_5	k141_65286	2425	2730	+	306	1	0.00792095
37_6	k141_65286	2798	3049	+	252	0	0
38_1	k141_76172	2	1528	-	1527	20	0.031746
39_1	k141_43535	1	105	-	105	0	0
39_2	k141_43535	109	510	-	402	0	0
39_3	k141_43535	556	1218	+	663	0	0
40_1	k141_97913	3	479	-	477	8	0.0406509
40_2	k141_97913	541	1359	-	819	1	0.00295948
40_3	k141_97913	1356	1502	-	147	0	0
41_1	k141_54400	3	638	-	636	3	0.0114331
41_2	k141_54400	610	1230	-	621	0	0
41_3	k141_54400	1227	1928	-	702	4	0.0138109
41_4	k141_54400	2321	3175	-	855	3	0.0085046
41_5	k141_54400	3311	3658	-	348	0	0
41_6	k141_54400	3744	4388	-	645	6	0.0225471
42_1	k141_184939	2	178	+	177	0	0
42_2	k141_184939	338	1006	+	669	5	0.0181152
42_3	k141_184939	1021	1131	+	111	0	0
43_1	k141_119679	3	854	-	852	0	0
43_2	k141_119679	1128	1481	-	354	0	0
44_1	k141_65289	1	333	-	333	3	0.0218361
44_2	k141_65289	411	836	-	426	2	0.0113794
44_3	k141_65289	830	1087	-	258	0	0
45_1	k141_152317	3	1004	-	1002	19	0.0459605
45_2	k141_152317	1170	1517	-	348	2	0.0139299
46_1	k141_108807	3	995	-	993	5	0.0122045
