# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_1_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_1/C11_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_1/C11_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_1/C11_1.bam	RPKG
1_1	k141_21758	3	1187	+	1185	20	0.0103399
2_1	k141_130543	3	182	-	180	0	0
2_2	k141_130543	194	880	-	687	12	0.0107011
2_3	k141_130543	1072	1266	+	195	4	0.012567
3_1	k141_32637	3	1436	+	1434	15	0.00640837
4_1	k141_184933	2	1714	+	1713	78	0.027896
5_1	k141_10880	1	576	+	576	10	0.0106361
5_2	k141_10880	565	1047	-	483	4	0.00507362
6_1	k141_141421	83	478	+	396	6	0.00928242
6_2	k141_141421	481	1770	+	1290	9	0.00427423
6_3	k141_141421	1767	2114	+	348	5	0.0088023
7_1	k141_108788	1	66	-	66	0	0
7_2	k141_108788	63	443	-	381	31	0.0498473
7_3	k141_108788	605	1825	-	1221	401	0.201203
8_1	k141_206691	3	257	-	255	3	0.00720753
8_2	k141_206691	483	1091	+	609	25	0.0251494
9_1	k141_141423	3	212	-	210	3	0.008752
9_2	k141_141423	205	864	-	660	18	0.0167084
9_3	k141_141423	857	1303	-	447	7	0.00959391
10_1	k141_152302	3	275	-	273	0	0
10_2	k141_152302	262	984	-	723	24	0.0203366
10_3	k141_152302	1035	1769	-	735	23	0.019171
11_1	k141_206694	1	579	-	579	14	0.0148134
11_2	k141_206694	842	1129	+	288	3	0.00638167
12_1	k141_163186	243	848	-	606	8	0.00808765
12_2	k141_163186	1017	1139	-	123	5	0.0249041
13_1	k141_119672	1	1566	+	1566	23	0.0089979
13_2	k141_119672	1563	1922	+	360	15	0.0255267
14_1	k141_141426	3	446	-	444	8	0.0110386
14_2	k141_141426	458	1420	-	963	17	0.010815
14_3	k141_141426	1561	1749	-	189	2	0.00648296
15_1	k141_21764	2	2047	+	2046	86	0.0257512
15_2	k141_21764	2138	2488	+	351	5	0.00872706
16_1	k141_87039	246	1847	+	1602	75	0.0286816
16_2	k141_87039	1887	2291	-	405	5	0.00756345
17_1	k141_184934	2	880	-	879	141	0.0982733
