# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_4_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_4/C19_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_4/C19_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_4/C19_1.bam	RPKG
1_1	k141_118939	1	1122	+	1122	21	0.0197638
2_1	k141_1	2	1225	+	1224	413	0.356298
3_1	k141_55508	2	346	-	345	3	0.0091822
3_2	k141_55508	346	846	-	501	35	0.0737692
3_3	k141_55508	1301	1783	-	483	24	0.0524697
3_4	k141_55508	2140	2481	+	342	5	0.0154379
4_1	k141_111010	1	1734	+	1734	52	0.0316664
4_2	k141_111010	1746	2303	+	558	10	0.0189239
5_1	k141_63438	195	683	-	489	4	0.00863765
5_2	k141_63438	690	1025	-	336	2	0.00628544
6_1	k141_15860	14	646	-	633	7	0.0116772
6_2	k141_15860	890	1768	-	879	6	0.00720787
6_3	k141_15860	2151	3776	+	1626	9	0.00584476
6_4	k141_15860	3936	4169	+	234	3	0.0135379
7_1	k141_47583	226	1446	+	1221	8	0.00691861
8_1	k141_31722	1	96	+	96	2	0.021999
9_1	k141_95155	2	217	-	216	3	0.014666
9_2	k141_95155	441	800	-	360	4	0.0117328
9_3	k141_95155	941	1615	+	675	16	0.02503
10_1	k141_79298	3	230	-	228	0	0
10_2	k141_79298	258	431	+	174	0	0
10_3	k141_79298	521	1342	+	822	2	0.00256923
10_4	k141_79298	1485	1616	+	132	0	0
11_1	k141_23794	3	1166	-	1164	5	0.00453588
11_2	k141_23794	1194	1799	-	606	1	0.0017425
11_3	k141_23794	1936	2229	-	294	5	0.0179584
12_1	k141_87226	1	654	+	654	3	0.00484382
12_2	k141_87226	695	1873	-	1179	13	0.0116433
13_1	k141_142727	3	959	+	957	10	0.011034
13_2	k141_142727	1059	1373	+	315	2	0.00670446
13_3	k141_142727	1363	2043	+	681	9	0.0139553
13_4	k141_142727	2215	3270	+	1056	14	0.0139994
13_5	k141_142727	3272	4777	+	1506	7	0.00490815
13_6	k141_142727	4789	5073	+	285	2	0.0074102
14_1	k141_15864	1	378	+	378	4	0.0111741
14_2	k141_15864	630	908	+	279	0	0
14_3	k141_15864	985	1134	+	150	0	0
15_1	k141_118946	2	145	+	144	0	0
15_2	k141_118946	233	1789	+	1557	60	0.0406918
16_1	k141_126874	3	200	-	198	0	0
16_2	k141_126874	187	1014	-	828	24	0.0306073
16_3	k141_126874	1151	2149	-	999	33	0.0348813
17_1	k141_63442	2	277	+	276	1	0.00382592
17_2	k141_63442	274	750	-	477	1	0.00221374
