# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_4_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_4/C17_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_4/C17_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_4/C17_1.bam	RPKG
1_1	k141_118939	1	1122	+	1122	1	0.000693543
2_1	k141_1	2	1225	+	1224	450	0.286087
3_1	k141_55508	2	346	-	345	4	0.00902209
3_2	k141_55508	346	846	-	501	5	0.00776602
3_3	k141_55508	1301	1783	-	483	23	0.037055
3_4	k141_55508	2140	2481	+	342	6	0.0136519
4_1	k141_111010	1	1734	+	1734	31	0.0139117
4_2	k141_111010	1746	2303	+	558	15	0.0209182
5_1	k141_63438	195	683	-	489	7	0.0111392
5_2	k141_63438	690	1025	-	336	1	0.00231594
6_1	k141_15860	14	646	-	633	9	0.0110638
6_2	k141_15860	890	1768	-	879	51	0.045149
6_3	k141_15860	2151	3776	+	1626	96	0.0459428
6_4	k141_15860	3936	4169	+	234	0	0
7_1	k141_47583	226	1446	+	1221	21	0.0133835
8_1	k141_31722	1	96	+	96	5	0.0405289
9_1	k141_95155	2	217	-	216	10	0.0360257
9_2	k141_95155	441	800	-	360	25	0.0540386
9_3	k141_95155	941	1615	+	675	41	0.0472657
10_1	k141_79298	3	230	-	228	6	0.0204778
10_2	k141_79298	258	431	+	174	2	0.00894432
10_3	k141_79298	521	1342	+	822	29	0.0274532
10_4	k141_79298	1485	1616	+	132	0	0
11_1	k141_23794	3	1166	-	1164	43	0.0287463
11_2	k141_23794	1194	1799	-	606	39	0.0500793
11_3	k141_23794	1936	2229	-	294	5	0.0132339
12_1	k141_87226	1	654	+	654	5	0.0059492
12_2	k141_87226	695	1873	-	1179	11	0.00726014
13_1	k141_142727	3	959	+	957	16	0.0130099
13_2	k141_142727	1059	1373	+	315	2	0.00494067
13_3	k141_142727	1363	2043	+	681	28	0.0319946
13_4	k141_142727	2215	3270	+	1056	28	0.0206329
13_5	k141_142727	3272	4777	+	1506	32	0.0165345
13_6	k141_142727	4789	5073	+	285	6	0.0163822
14_1	k141_15864	1	378	+	378	4	0.00823445
14_2	k141_15864	630	908	+	279	3	0.00836726
14_3	k141_15864	985	1134	+	150	1	0.0051877
15_1	k141_118946	2	145	+	144	0	0
15_2	k141_118946	233	1789	+	1557	31	0.0154931
16_1	k141_126874	3	200	-	198	3	0.0117902
16_2	k141_126874	187	1014	-	828	13	0.0122174
16_3	k141_126874	1151	2149	-	999	17	0.0132419
17_1	k141_63442	2	277	+	276	3	0.00845821
17_2	k141_63442	274	750	-	477	12	0.0195762
17_3	k141_63442	784	1686	-	903	38	0.0327463
17_4	k141_63442	1830	2162	+	333	2	0.00467361
18_1	k141_111016	1	999	-	999	113	0.0880196
18_2	k141_111016	1409	2398	-	990	23	0.0180784
