Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_7/E8_2.bam	RPKG	geneLoc	geneNum	Score
32054_12	k141_58650	8779	9795	-	1017	24	0.011407	Capsule_7.k141_58650_12/1-335	Capsule_7.k141_58650_12	520.4
11585_106	k141_118025	116411	117424	+	1014	57	0.0271717	Capsule_7.k141_118025_106/1-334	Capsule_7.k141_118025_106	508.2
9501_4	k141_78781	2182	3180	-	999	48	0.023225	Capsule_7.k141_78781_4/1-328	Capsule_7.k141_78781_4	486.1
18212_14	k141_220890	10793	11794	-	1002	109	0.0525822	Capsule_7.k141_220890_14/1-330	Capsule_7.k141_220890_14	463.4
9501_3	k141_78781	1392	2180	-	789	49	0.0300192	Capsule_7.k141_78781_3/3-262	Capsule_7.k141_78781_3	432.8
32054_11	k141_58650	7988	8782	-	795	24	0.0145923	Capsule_7.k141_58650_11/4-264	Capsule_7.k141_58650_11	429.4
11585_107	k141_118025	117417	118211	+	795	25	0.0152003	Capsule_7.k141_118025_107/4-264	Capsule_7.k141_118025_107	421.0
18212_13	k141_220890	10001	10792	-	792	67	0.0408912	Capsule_7.k141_220890_13/4-263	Capsule_7.k141_220890_13	418.5
32054_10	k141_58650	7014	7976	-	963	22	0.0110427	Capsule_7.k141_58650_10/2-315	Capsule_7.k141_58650_10	559.3
11585_108	k141_118025	118224	119189	+	966	70	0.0350268	Capsule_7.k141_118025_108/2-315	Capsule_7.k141_118025_108	543.3
9501_2	k141_78781	413	1378	-	966	50	0.0250192	Capsule_7.k141_78781_2/2-315	Capsule_7.k141_78781_2	527.0
18212_12	k141_220890	9009	9989	-	981	89	0.0438532	Capsule_7.k141_220890_12/4-317	Capsule_7.k141_220890_12	518.4
