Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_12/C7_2.bam	RPKG	geneLoc	geneNum	Score
10665_12	k141_261606	11057	12055	+	999	29	0.0119208	Stool_12.k141_261606_12/1-328	Stool_12.k141_261606_12	489.8
10347_6	k141_51101	4968	5966	-	999	25	0.0102765	Stool_12.k141_51101_6/1-328	Stool_12.k141_51101_6	479.0
50779_4	k141_270177	2457	3494	+	1038	4	0.00158247	Stool_12.k141_270177_4/1-338	Stool_12.k141_270177_4	429.6
53092_4	k141_286347	4139	5185	+	1047	7	0.00274551	Stool_12.k141_286347_4/1-342	Stool_12.k141_286347_4	369.6
64408_2	k141_127510	930	2597	-	1668	23	0.00566245	Stool_12.k141_127510_2/215-548	Stool_12.k141_127510_2	369.0
10665_13	k141_261606	12057	12845	+	789	22	0.0114503	Stool_12.k141_261606_13/3-262	Stool_12.k141_261606_13	434.9
10347_5	k141_51101	4178	4966	-	789	16	0.00832751	Stool_12.k141_51101_5/3-262	Stool_12.k141_51101_5	434.3
64408_1	k141_127510	139	927	-	789	17	0.00884798	Stool_12.k141_127510_1/3-262	Stool_12.k141_127510_1	331.2
53092_5	k141_286347	5190	5978	+	789	2	0.00104094	Stool_12.k141_286347_5/5-262	Stool_12.k141_286347_5	320.7
50779_5	k141_270177	3511	4302	+	792	6	0.00311099	Stool_12.k141_270177_5/7-263	Stool_12.k141_270177_5	313.5
10347_4	k141_51101	3199	4164	-	966	27	0.0114778	Stool_12.k141_51101_4/2-315	Stool_12.k141_51101_4	528.2
10665_14	k141_261606	12861	13826	+	966	49	0.0208301	Stool_12.k141_261606_14/2-315	Stool_12.k141_261606_14	527.0
63306_4	k141_80125	2025	2648	-	624	0	0	Stool_12.k141_80125_4/1-202	Stool_12.k141_80125_4	363.1
50779_6	k141_270177	4321	5388	+	1068	14	0.00538306	Stool_12.k141_270177_6/4-331	Stool_12.k141_270177_6	362.6
