Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_12/C3_2.bam	RPKG	geneLoc	geneNum	Score
10665_12	k141_261606	11057	12055	+	999	32	0.0141357	Stool_12.k141_261606_12/1-328	Stool_12.k141_261606_12	489.8
10347_6	k141_51101	4968	5966	-	999	12	0.00530087	Stool_12.k141_51101_6/1-328	Stool_12.k141_51101_6	479.0
50779_4	k141_270177	2457	3494	+	1038	6	0.00255085	Stool_12.k141_270177_4/1-338	Stool_12.k141_270177_4	429.6
53092_4	k141_286347	4139	5185	+	1047	5	0.00210744	Stool_12.k141_286347_4/1-342	Stool_12.k141_286347_4	369.6
64408_2	k141_127510	930	2597	-	1668	24	0.0063496	Stool_12.k141_127510_2/215-548	Stool_12.k141_127510_2	369.0
10665_13	k141_261606	12057	12845	+	789	33	0.0184573	Stool_12.k141_261606_13/3-262	Stool_12.k141_261606_13	434.9
10347_5	k141_51101	4178	4966	-	789	12	0.00671175	Stool_12.k141_51101_5/3-262	Stool_12.k141_51101_5	434.3
64408_1	k141_127510	139	927	-	789	4	0.00223725	Stool_12.k141_127510_1/3-262	Stool_12.k141_127510_1	331.2
53092_5	k141_286347	5190	5978	+	789	3	0.00167794	Stool_12.k141_286347_5/5-262	Stool_12.k141_286347_5	320.7
50779_5	k141_270177	3511	4302	+	792	2	0.00111439	Stool_12.k141_270177_5/7-263	Stool_12.k141_270177_5	313.5
10347_4	k141_51101	3199	4164	-	966	20	0.00913659	Stool_12.k141_51101_4/2-315	Stool_12.k141_51101_4	528.2
10665_14	k141_261606	12861	13826	+	966	41	0.01873	Stool_12.k141_261606_14/2-315	Stool_12.k141_261606_14	527.0
63306_4	k141_80125	2025	2648	-	624	3	0.00212162	Stool_12.k141_80125_4/1-202	Stool_12.k141_80125_4	363.1
50779_6	k141_270177	4321	5388	+	1068	6	0.0024792	Stool_12.k141_270177_6/4-331	Stool_12.k141_270177_6	362.6
