# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam	RPKG
1_1	k141_14156	3	878	+	876	24	0.0945548
2_1	k141_3539	3	887	+	885	7	0.027298
2_2	k141_3539	956	1219	+	264	2	0.0261458
3_1	k141_42468	117	725	-	609	22	0.124676
3_2	k141_42468	784	1554	+	771	18	0.0805739
3_3	k141_42468	1547	2341	+	795	11	0.0477531
4_1	k141_38930	3	1706	-	1704	38	0.0769645
4_2	k141_38930	1830	1976	-	147	6	0.140867
5_1	k141_46008	3	365	-	363	1	0.00950758
5_2	k141_46008	377	1144	-	768	8	0.0359505
5_3	k141_46008	1155	1691	-	537	7	0.0449884
5_4	k141_46008	1702	2511	-	810	16	0.0681728
6_1	k141_31853	2	457	-	456	7	0.0529797
6_2	k141_31853	599	1141	-	543	6	0.0381354
7_1	k141_60161	254	397	+	144	7	0.167769
7_2	k141_60161	479	2047	+	1569	54	0.118781
7_3	k141_60161	2093	2422	-	330	11	0.115042
7_4	k141_60161	2543	3394	-	852	44	0.178234
8_1	k141_42472	2	139	+	138	4	0.100036
8_2	k141_42472	151	309	+	159	2	0.043412
8_3	k141_42472	488	1048	+	561	11	0.0676716
9_1	k141_10617	1	2160	-	2160	352	0.562426
9_2	k141_10617	3044	3718	-	675	14	0.0715815
9_3	k141_10617	4368	5186	-	819	73	0.307621
10_1	k141_53088	1	1620	-	1620	87	0.185345
11_1	k141_38933	1	468	+	468	64	0.471966
11_2	k141_38933	728	1033	+	306	32	0.360915
11_3	k141_38933	1017	1130	+	114	9	0.272467
12_1	k141_49546	1	507	+	507	25	0.17018
12_2	k141_49546	485	586	+	102	0	0
12_3	k141_49546	1067	1891	+	825	32	0.133867
12_4	k141_49546	2386	3261	+	876	53	0.208809
12_5	k141_49546	3265	4437	+	1173	66	0.194188
12_6	k141_49546	4592	4855	+	264	17	0.22224
12_7	k141_49546	5013	5669	+	657	40	0.210122
13_1	k141_17698	2	931	+	930	12	0.0445323
13_2	k141_17698	986	1867	-	882	6	0.0234779
13_3	k141_17698	2037	2132	+	96	0	0
14_1	k141_3544	1	279	-	279	2	0.0247401
14_2	k141_3544	801	1223	-	423	6	0.0489539
15_1	k141_56626	3	212	+	210	10	0.164345
15_2	k141_56626	349	1569	-	1221	22	0.0621847
15_3	k141_56626	1873	2130	+	258	2	0.0267539
16_1	k141_63704	77	700	+	624	9	0.0497776
16_2	k141_63704	718	1431	+	714	14	0.0676716
16_3	k141_63704	1462	1797	+	336	2	0.0205432
17_1	k141_24779	3	845	-	843	1	0.00409401
17_2	k141_24779	934	1014	-	81	0	0
18_1	k141_21240	3	107	-	105	9	0.295821
18_2	k141_21240	291	1517	-	1227	145	0.407849
19_1	k141_60164	167	1132	-	966	21	0.0750272
20_1	k141_17699	91	246	+	156	2	0.0442468
20_2	k141_17699	337	1758	+	1422	12	0.0291245
21_1	k141_53090	2	298	+	297	8	0.092963
21_2	k141_53090	307	822	+	516	5	0.0334423
21_3	k141_53090	812	1015	+	204	1	0.0169179
21_4	k141_53090	1167	1559	+	393	6	0.0526908
21_5	k141_53090	1641	1799	+	159	0	0
22_1	k141_67239	34	2130	-	2097	159	0.261683
22_2	k141_67239	2127	2828	-	702	45	0.221234
22_3	k141_67239	2818	3075	-	258	20	0.267539
22_4	k141_67239	3109	4821	-	1713	106	0.213562
23_1	k141_46015	2	199	-	198	3	0.0522917
23_2	k141_46015	205	1326	-	1122	11	0.0338358
24_1	k141_21243	3	83	-	81	0	0
24_2	k141_21243	107	1573	-	1467	24	0.0564622
25_1	k141_49551	3	137	-	135	0	0
25_2	k141_49551	179	970	-	792	39	0.169948
25_3	k141_49551	1319	1627	-	309	17	0.189875
26_1	k141_63709	3	221	+	219	2	0.0315183
26_2	k141_63709	218	904	+	687	7	0.0351656
27_1	k141_3551	198	506	+	309	4	0.0446764
27_2	k141_3551	826	1011	-	186	0	0
27_3	k141_3551	1049	1237	-	189	1	0.0182606
28_1	k141_60168	3	1601	+	1599	11	0.0237422
29_1	k141_14	172	1554	+	1383	255	0.636348
29_2	k141_14	1551	2336	+	786	115	0.504954
30_1	k141_31858	3	98	+	96	1	0.0359505
30_2	k141_31858	95	385	+	291	26	0.308359
30_3	k141_31858	493	1938	-	1446	121	0.288798
30_4	k141_31858	2125	2415	-	291	34	0.403239
30_5	k141_31858	2444	2905	-	462	39	0.291339
30_6	k141_31858	2916	3368	-	453	43	0.327602
30_7	k141_31858	3472	3627	-	156	10	0.221234
31_1	k141_21244	22	1344	-	1323	26	0.067825
32_1	k141_53094	3	71	+	69	0	0
32_2	k141_53094	68	922	+	855	106	0.427874
32_3	k141_53094	919	1023	+	105	0	0
33_1	k141_60169	84	941	-	858	26	0.104583
33_2	k141_60169	1035	1241	+	207	1	0.0166727
34_1	k141_56634	864	1598	+	735	90	0.422602
34_2	k141_56634	1625	2080	+	456	48	0.363289
35_1	k141_49555	1	150	-	150	0	0
35_2	k141_49555	177	1019	-	843	6	0.0245641
36_1	k141_42476	2	877	+	876	43	0.169411
36_2	k141_42476	879	2618	+	1740	86	0.170579
36_3	k141_42476	2822	3397	-	576	47	0.281612
36_4	k141_42476	4042	4287	+	246	31	0.434914
36_5	k141_42476	4401	4562	+	162	16	0.340864
37_1	k141_38937	1	141	+	141	21	0.514016
37_2	k141_38937	368	1069	+	702	102	0.501464
37_3	k141_38937	1062	3560	+	2499	310	0.428126
37_4	k141_38937	3572	3811	+	240	3	0.0431406
37_5	k141_38937	3795	3908	+	114	3	0.0908224
38_1	k141_17706	1	309	+	309	7	0.0781837
38_2	k141_17706	378	1454	+	1077	15	0.0480676
38_3	k141_17706	1571	2158	+	588	11	0.0645642
39_1	k141_63711	2	289	+	288	38	0.455373
39_2	k141_63711	537	734	+	198	34	0.592639
39_3	k141_63711	800	1465	+	666	49	0.253921
39_4	k141_63711	1517	2131	-	615	37	0.207636
39_5	k141_63711	2289	2423	+	135	2	0.0511296
40_1	k141_56635	1	585	+	585	2	0.0117991
40_2	k141_56635	598	939	+	342	0	0
40_3	k141_56635	943	1197	+	255	0	0
41_1	k141_19	2	190	+	189	24	0.438254
41_2	k141_19	407	856	+	450	69	0.529192
42_1	k141_60171	3	140	+	138	0	0
42_2	k141_60171	145	1656	+	1512	17	0.0388037
43_1	k141_17708	3	503	-	501	13	0.0895534
43_2	k141_17708	571	984	-	414	4	0.0333454
44_1	k141_3558	1	762	+	762	3	0.0135876
44_2	k141_3558	1108	1437	+	330	2	0.0209167
45_1	k141_46017	12	1193	+	1182	29	0.0846753
45_2	k141_46017	1207	3654	+	2448	84	0.118425
45_3	k141_46017	3743	4231	-	489	20	0.141155
46_1	k141_53099	125	1351	+	1227	15	0.0421913
46_2	k141_53099	1475	2002	-	528	6	0.0392188
47_1	k141_10622	1	1101	-	1101	15	0.0470198
47_2	k141_10622	1293	2264	+	972	21	0.074564
47_3	k141_10622	2458	3387	-	930	34	0.126175
47_4	k141_10622	3592	4110	-	519	19	0.126346
47_5	k141_10622	4153	4785	-	633	10	0.0545221
47_6	k141_10622	4877	6091	-	1215	44	0.124984
48_1	k141_67243	2	169	-	168	1	0.0205432
48_2	k141_67243	258	1202	-	945	38	0.13878
48_3	k141_67243	1516	1647	+	132	5	0.130729
48_4	k141_67243	1775	3472	-	1698	60	0.121952
48_5	k141_67243	3818	4411	-	594	21	0.122014
49_1	k141_21253	2	439	+	438	2	0.0157591
49_2	k141_21253	451	1041	+	591	7	0.0408778
50_1	k141_3559	1	330	-	330	3	0.031375
50_2	k141_3559	613	1431	+	819	8	0.0337118
51_1	k141_38943	3	1079	+	1077	10	0.032045
52_1	k141_56637	2	544	+	543	3	0.0190677
52_2	k141_56637	541	1197	+	657	16	0.0840487
52_3	k141_56637	1220	1345	+	126	1	0.0273909
52_4	k141_56637	1514	1822	+	309	11	0.12286
52_5	k141_56637	1903	2265	+	363	2	0.0190152
53_1	k141_31867	2	586	+	585	7	0.041297
53_2	k141_31867	782	1390	-	609	9	0.0510037
54_1	k141_7083	3	584	+	582	19	0.11267
54_2	k141_7083	908	1216	+	309	14	0.156367
54_3	k141_7083	1213	1551	+	339	19	0.193433
54_4	k141_7083	2114	5374	+	3261	123	0.130176
54_5	k141_7083	5937	6392	+	456	24	0.181645
54_6	k141_7083	6467	6985	+	519	30	0.199494
54_7	k141_7083	7136	9640	+	2505	162	0.223195
55_1	k141_49557	3	971	+	969	7	0.0249316
55_2	k141_49557	978	2735	+	1758	10	0.0196317
55_3	k141_49557	2760	4394	+	1635	11	0.0232194
56_1	k141_35393	3	158	-	156	2	0.0442468
56_2	k141_35393	189	1379	-	1191	57	0.165173
56_3	k141_35393	1407	2414	-	1008	83	0.28418
56_4	k141_35393	2688	3899	+	1212	95	0.270519
56_5	k141_35393	3948	4859	+	912	60	0.227056
56_6	k141_35393	4845	5453	-	609	33	0.187014
56_7	k141_35393	5454	5945	-	492	34	0.238501
56_8	k141_35393	5949	6506	-	558	44	0.272142
56_9	k141_35393	6694	6915	-	222	43	0.668485
56_10	k141_35393	7040	7312	-	273	14	0.176987
56_11	k141_35393	7325	9355	-	2031	134	0.227704
56_12	k141_35393	9428	11107	-	1680	156	0.320473
56_13	k141_35393	11114	11470	-	357	23	0.222349
57_1	k141_3563	2	742	+	741	0	0
57_2	k141_3563	782	1036	+	255	1	0.0135343
58_1	k141_56638	3	1715	-	1713	52	0.104766
58_2	k141_56638	1732	1872	-	141	0	0
59_1	k141_31868	27	1055	+	1029	34	0.114035
59_2	k141_31868	1099	2307	+	1209	25	0.0713658
59_3	k141_31868	2427	2552	+	126	2	0.0547817
60_1	k141_30	200	1015	+	816	9	0.0380653
61_1	k141_24780	2	913	+	912	37	0.140018
61_2	k141_24780	1452	2258	+	807	42	0.179619
61_3	k141_24780	2270	3265	+	996	20	0.0693022
61_4	k141_24780	3279	4655	+	1377	63	0.1579
61_5	k141_24780	4648	6252	+	1605	52	0.111816
61_6	k141_24780	6249	7313	+	1065	28	0.0907371
61_7	k141_24780	7318	8364	+	1047	26	0.0857044
61_8	k141_24780	8367	9467	+	1101	60	0.188079
61_9	k141_24780	9532	10689	+	1158	66	0.196703
61_10	k141_24780	10818	10958	-	141	0	0
62_1	k141_7085	1	195	-	195	7	0.123891
62_2	k141_7085	176	1045	-	870	78	0.309422
62_3	k141_7085	1075	1383	-	309	24	0.268058
62_4	k141_7085	1531	1848	-	318	7	0.0759709
62_5	k141_7085	1845	2069	-	225	22	0.337456
63_1	k141_60178	1	369	-	369	1	0.00935298
63_2	k141_60178	541	1443	+	903	9	0.0343978
63_3	k141_60178	1491	1679	+	189	1	0.0182606
63_4	k141_60178	1910	2929	+	1020	13	0.0439865
63_5	k141_60178	3044	3211	+	168	0	0
64_1	k141_35396	2	169	+	168	0	0
64_2	k141_35396	559	1035	-	477	4	0.0289413
65_1	k141_38949	54	779	-	726	2	0.00950758
65_2	k141_38949	779	1546	-	768	7	0.0314567
66_1	k141_63718	3	80	+	78	1	0.0442468
66_2	k141_63718	150	1037	-	888	30	0.116596
66_3	k141_63718	1442	1912	+	471	24	0.17586
66_4	k141_63718	2007	2513	+	507	25	0.17018
66_5	k141_63718	2605	2724	-	120	11	0.316365
67_1	k141_3564	1	540	+	540	8	0.0511296
67_2	k141_3564	583	1299	+	717	7	0.0336942
67_3	k141_3564	1416	1664	+	249	3	0.0415813
67_4	k141_3564	1691	2236	-	546	25	0.158024
68_1	k141_53108	2	1054	+	1053	11	0.0360529
69_1	k141_17723	3	968	+	966	18	0.064309
69_2	k141_17723	984	1286	+	303	0	0
70_1	k141_31	2	304	-	303	2	0.0227805
70_2	k141_31	474	932	+	459	12	0.0902288
70_3	k141_31	1209	1751	-	543	5	0.0317795
71_1	k141_35399	2	403	-	402	5	0.042926
71_2	k141_35399	419	928	-	510	3	0.0203015
71_3	k141_35399	915	1943	-	1029	16	0.0536638
72_1	k141_67255	3	254	-	252	0	0
72_2	k141_67255	229	1128	-	900	15	0.0575208
72_3	k141_67255	1125	1499	-	375	1	0.00920333
72_4	k141_67255	1654	2193	-	540	14	0.0894769
73_1	k141_32	1	423	+	423	5	0.0407949
73_2	k141_32	731	1147	+	417	10	0.0827638
73_3	k141_32	1205	1387	+	183	1	0.0188593
74_1	k141_63719	213	785	+	573	49	0.295133
74_2	k141_63719	797	1585	+	789	62	0.271201
74_3	k141_63719	1582	1977	+	396	26	0.226597
74_4	k141_63719	2036	2191	-	156	37	0.818566
74_5	k141_63719	2552	2695	+	144	12	0.287604
75_1	k141_60184	97	327	+	231	58	0.866548
75_2	k141_60184	486	905	+	420	87	0.714902
75_3	k141_60184	905	1030	+	126	6	0.164345
76_1	k141_31873	1	528	-	528	6	0.0392188
76_2	k141_31873	471	575	-	105	1	0.032869
76_3	k141_31873	572	1777	-	1206	22	0.0629581
76_4	k141_31873	1802	1945	-	144	0	0
77_1	k141_3568	44	511	+	468	12	0.0884936
77_2	k141_3568	1622	1822	-	201	6	0.103022
78_1	k141_46032	2	289	-	288	4	0.047934
78_2	k141_46032	430	1677	-	1248	27	0.0746665
78_3	k141_46032	1689	2213	-	525	12	0.0788857
78_4	k141_46032	2238	3044	-	807	11	0.0470431
79_1	k141_53111	1	186	+	186	3	0.0556653
79_2	k141_53111	347	1729	+	1383	20	0.0499096
80_1	k141_38950	1	600	+	600	99	0.569456
80_2	k141_38950	588	881	+	294	53	0.622164
80_3	k141_38950	1100	1672	+	573	98	0.590266
80_4	k141_38950	1706	3049	+	1344	190	0.4879
80_5	k141_38950	3046	3504	+	459	58	0.436106
81_1	k141_33	2	964	+	963	8	0.0286708
82_1	k141_60185	2	1558	+	1557	25	0.0554151
82_2	k141_60185	1548	1973	+	426	7	0.0567107
83_1	k141_3569	1	909	+	909	6	0.0227805
83_2	k141_3569	974	2041	+	1068	22	0.0710932
84_1	k141_56655	1	339	-	339	0	0
84_2	k141_56655	326	1210	-	885	7	0.027298
84_3	k141_56655	1429	1557	+	129	0	0
85_1	k141_49558	3	392	-	390	26	0.230083
85_2	k141_49558	407	1117	-	711	82	0.398034
85_3	k141_49558	1130	1888	-	759	120	0.545652
85_4	k141_49558	1892	2947	-	1056	129	0.421602
85_5	k141_49558	2958	3845	-	888	133	0.51691
85_6	k141_49558	4094	5248	-	1155	198	0.591643
85_7	k141_49558	5678	6034	-	357	82	0.792724
85_8	k141_49558	6082	6279	-	198	9	0.156875
85_9	k141_49558	6315	6809	-	495	102	0.711167
86_1	k141_24795	75	401	-	327	1	0.0105543
87_1	k141_17724	2	511	+	510	12	0.0812059
87_2	k141_17724	871	2220	-	1350	33	0.0843639
87_3	k141_17724	2392	3261	+	870	13	0.0515704
87_4	k141_17724	3292	4653	+	1362	33	0.0836206
87_5	k141_17724	4672	5454	+	783	25	0.110193
88_1	k141_42483	126	629	-	504	28	0.191736
88_2	k141_42483	993	1577	+	585	30	0.176987
88_3	k141_42483	1583	1789	+	207	25	0.416818
88_4	k141_42483	1895	2710	+	816	58	0.245309
88_5	k141_42483	2818	3462	-	645	49	0.262188
88_6	k141_42483	3515	3682	+	168	8	0.164345
88_7	k141_42483	3637	3741	-	105	0	0
88_8	k141_42483	3743	4447	-	705	45	0.220293
88_9	k141_42483	4571	5047	-	477	49	0.354531
88_10	k141_42483	5386	5736	-	351	30	0.294979
88_11	k141_42483	5940	6410	-	471	41	0.300427
88_12	k141_42483	6556	7170	-	615	41	0.230083
88_13	k141_42483	7167	7511	-	345	21	0.210076
88_14	k141_42483	7688	10204	-	2517	141	0.193336
88_15	k141_42483	10197	11447	-	1251	82	0.226221
89_1	k141_56656	2	790	+	789	11	0.0481163
89_2	k141_56656	920	1654	+	735	4	0.0187823
90_1	k141_53116	3	173	-	171	6	0.121096
90_2	k141_53116	271	1233	-	963	88	0.315379
90_3	k141_53116	1509	2012	-	504	36	0.246518
91_1	k141_31881	2	1498	+	1497	17	0.0391926
92_1	k141_67265	2	475	-	474	5	0.0364056
92_2	k141_67265	456	1115	-	660	11	0.0575208
92_3	k141_67265	1454	2113	-	660	9	0.0470625
93_1	k141_3574	276	701	+	426	9	0.0729137
93_2	k141_3574	680	1054	+	375	11	0.101237
94_1	k141_35402	2	151	+	150	0	0
94_2	k141_35402	270	626	+	357	8	0.0773389
94_3	k141_35402	813	950	+	138	2	0.0500181
94_4	k141_35402	1118	4534	+	3417	71	0.0717117
94_5	k141_35402	4605	4712	-	108	0	0
95_1	k141_24799	628	849	+	222	4	0.0621847
95_2	k141_24799	849	1664	+	816	59	0.249539
95_3	k141_24799	1661	1870	+	210	22	0.36156
95_4	k141_24799	2006	2143	+	138	2	0.0500181
96_1	k141_56657	162	1838	+	1677	28	0.0576237
97_1	k141_44	1	747	-	747	20	0.092403
97_2	k141_44	928	1122	+	195	1	0.0176987
97_3	k141_44	1287	1694	+	408	24	0.203015
98_1	k141_3575	2	262	+	261	0	0
98_2	k141_3575	286	1521	+	1236	3	0.00837682
99_1	k141_10623	256	1128	+	873	34	0.134413
99_2	k141_10623	1252	1965	-	714	20	0.0966737
99_3	k141_10623	2135	4045	-	1911	43	0.0776576
99_4	k141_10623	4011	5393	-	1383	28	0.0698735
99_5	k141_10623	5455	6249	-	795	16	0.0694591
99_6	k141_10623	6262	7338	-	1077	19	0.0608856
99_7	k141_10623	7371	7583	-	213	3	0.0486092
99_8	k141_10623	7590	7931	-	342	12	0.121096
99_9	k141_10623	8490	9878	+	1389	42	0.104357
99_10	k141_10623	10183	11292	+	1110	43	0.133697
99_11	k141_10623	11468	11677	+	210	6	0.0986071
99_12	k141_10623	11625	12758	+	1134	24	0.0730423
99_13	k141_10623	12770	13798	+	1029	34	0.114035
100_1	k141_31887	1	489	+	489	1	0.00705777
100_2	k141_31887	486	1682	+	1197	5	0.0144162
100_3	k141_31887	1693	2253	+	561	8	0.0492157
101_1	k141_7091	3	515	-	513	7	0.0470931
101_2	k141_7091	570	947	-	378	8	0.0730423
101_3	k141_7091	1147	1926	-	780	9	0.0398221
101_4	k141_7091	1996	4188	-	2193	82	0.129048
101_5	k141_7091	4195	5313	-	1119	39	0.120285
101_6	k141_7091	5313	5717	-	405	22	0.187475
101_7	k141_7091	5727	6911	-	1185	50	0.145622
101_8	k141_7091	6941	8383	-	1443	65	0.155462
101_9	k141_7091	8370	8702	-	333	5	0.0518206
101_10	k141_7091	8707	9228	-	522	16	0.105785
101_11	k141_7091	9416	9625	-	210	14	0.230083
101_12	k141_7091	9622	10236	-	615	13	0.0729533
102_1	k141_63721	110	580	+	471	24	0.17586
