# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_6_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_6/G13_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_6/G13_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_6/G13_2.bam	RPKG
1_1	k141_44400	2	601	-	600	3	0.00401937
1_2	k141_44400	735	1100	-	366	10	0.0219638
2_1	k141_62160	2	511	+	510	4	0.00630489
2_2	k141_62160	534	1010	+	477	12	0.0202232
2_3	k141_62160	1034	1120	+	87	0	0
3_1	k141_53282	2	1018	+	1017	6	0.00474262
4_1	k141_159836	2	535	+	534	3	0.00451614
4_2	k141_159836	532	1509	+	978	10	0.00821956
5_1	k141_124321	568	1056	+	489	11	0.018083
5_2	k141_124321	1228	1425	+	198	2	0.00811993
6_1	k141_88804	2	1456	-	1455	33	0.0182322
7_1	k141_71043	3	791	-	789	12	0.0122262
7_2	k141_71043	894	1436	-	543	5	0.00740215
8_1	k141_133198	224	1393	-	1170	60	0.0412243
8_2	k141_133198	1541	2116	-	576	24	0.0334947
9_1	k141_79924	1	243	+	243	3	0.00992436
9_2	k141_79924	478	1224	+	747	15	0.016142
10_1	k141_106565	3	521	+	519	19	0.0294289
10_2	k141_106565	1264	1431	-	168	10	0.0478496
11_1	k141_62164	2	1228	-	1227	2	0.00131031
11_2	k141_62164	1267	1635	-	369	2	0.00435704
12_1	k141_17762	613	1968	+	1356	21	0.0124494
12_2	k141_17762	2342	2545	+	204	4	0.0157622
13_1	k141_97684	2	208	+	207	3	0.0116503
13_2	k141_97684	346	855	+	510	3	0.00472867
13_3	k141_97684	1001	1537	+	537	3	0.00449091
14_1	k141_159838	3	563	+	561	7	0.0100305
14_2	k141_159838	569	973	+	405	6	0.0119092
14_3	k141_159838	942	1157	+	216	4	0.0148865
15_1	k141_88805	3	1523	-	1521	257	0.135829
16_1	k141_150961	33	992	-	960	12	0.0100484
17_1	k141_71044	27	1289	+	1263	37	0.0235497
17_2	k141_71044	1462	1758	+	297	7	0.0189465
18_1	k141_97685	1	396	-	396	13	0.0263898
18_2	k141_97685	485	1102	-	618	9	0.0117069
19_1	k141_159839	1	279	+	279	0	0
19_2	k141_159839	286	789	+	504	6	0.00956992
19_3	k141_159839	898	1032	+	135	0	0
20_1	k141_53283	2	1174	+	1173	11	0.00753845
20_2	k141_53283	1267	3162	-	1896	28	0.0118715
21_1	k141_44404	46	1602	+	1557	30	0.0154889
21_2	k141_44404	1824	2219	-	396	9	0.0182698
21_3	k141_44404	2293	3465	-	1173	24	0.0164475
22_1	k141_62166	1	594	-	594	14	0.0189465
22_2	k141_62166	888	1451	+	564	20	0.0285061
23_1	k141_26640	1	261	-	261	11	0.0338797
23_2	k141_26640	960	1958	+	999	25	0.020117
23_3	k141_26640	2063	3058	+	996	12	0.00968522
23_4	k141_26640	3051	3845	+	795	28	0.0283125
23_5	k141_26640	4253	4411	-	159	3	0.0151674
23_6	k141_26640	4438	5439	+	1002	21	0.0168476
23_7	k141_26640	5472	6338	+	867	10	0.0092719
23_8	k141_26640	6364	6453	+	90	1	0.00893193
24_1	k141_150962	182	1153	-	972	27	0.0223298
25_1	k141_79929	3	593	+	591	10	0.0136019
26_1	k141_8893	2	133	+	132	2	0.0121799
26_2	k141_8893	210	1082	-	873	28	0.0257829
27_1	k141_17770	3	1058	-	1056	15	0.0114187
28_1	k141_124333	2	166	-	165	0	0
28_2	k141_124333	163	1143	-	981	29	0.0237638
29_1	k141_62167	2	589	+	588	6	0.00820279
29_2	k141_62167	790	1608	+	819	1	0.00098153
29_3	k141_62167	1617	2495	+	879	5	0.00457266
29_4	k141_62167	2508	2783	+	276	4	0.0116503
30_1	k141_106570	1	462	-	462	6	0.0104399
30_2	k141_106570	559	1335	+	777	21	0.0217263
30_3	k141_106570	1370	1912	+	543	22	0.0325695
30_4	k141_106570	2099	2254	+	156	8	0.0412243
31_1	k141_53284	1	1254	+	1254	67	0.0429502
31_2	k141_53284	1334	2266	-	933	53	0.0456648
31_3	k141_53284	2293	3465	-	1173	90	0.0616783
31_4	k141_53284	3468	3971	-	504	26	0.0414697
32_1	k141_97686	313	3402	-	3090	55	0.0143084
32_2	k141_97686	3476	4189	-	714	4	0.00450349
33_1	k141_79935	3	134	-	132	0	0
33_2	k141_79935	235	1005	-	771	19	0.0198101
34_1	k141_106571	3	578	-	576	4	0.00558245
34_2	k141_106571	867	1616	-	750	1	0.00107183
35_1	k141_8901	3	1382	+	1380	15	0.00873775
36_1	k141_142085	1	1431	-	1431	34	0.0190997
36_2	k141_142085	1435	2817	-	1383	46	0.0267377
36_3	k141_142085	3028	3912	-	885	4	0.00363333
36_4	k141_142085	4103	5017	-	915	30	0.0263565
36_5	k141_142085	5014	5343	-	330	0	0
37_1	k141_53285	1	246	-	246	5	0.0163389
37_2	k141_53285	418	1170	-	753	27	0.0288241
37_3	k141_53285	1176	1295	-	120	0	0
38_1	k141_150971	320	1090	+	771	23	0.0239807
38_2	k141_150971	1532	1693	+	162	10	0.0496218
39_1	k141_17774	3	1052	+	1050	11	0.00842153
39_2	k141_17774	1090	2007	+	918	9	0.00788111
39_3	k141_17774	2009	2443	+	435	8	0.0147839
40_1	k141_88818	1	1218	+	1218	8	0.00527996
41_1	k141_8905	2	730	+	729	0	0
42_1	k141_150973	77	832	-	756	6	0.00637995
42_2	k141_150973	822	1193	-	372	0	0
43_1	k141_62169	2	1063	-	1062	22	0.0166527
43_2	k141_62169	1076	2914	-	1839	41	0.0179221
44_1	k141_79939	3	89	+	87	0	0
44_2	k141_79939	156	527	+	372	1	0.00216095
44_3	k141_79939	524	1300	+	777	6	0.00620752
45_1	k141_97687	3	3188	-	3186	67	0.0169051
46_1	k141_26647	377	1159	-	783	46	0.0472263
46_2	k141_26647	1394	2170	-	777	33	0.0341413
46_3	k141_26647	2363	3250	+	888	58	0.0525052
46_4	k141_26647	3429	3956	+	528	27	0.0411072
46_5	k141_26647	4007	4537	-	531	23	0.0348194
46_6	k141_26647	4563	4721	-	159	1	0.00505581
47_1	k141_71053	2	466	+	465	21	0.036304
47_2	k141_71053	585	1322	+	738	34	0.0370348
47_3	k141_71053	1336	1938	+	603	30	0.0399937
47_4	k141_71053	1972	2739	+	768	44	0.0460552
47_5	k141_71053	2765	4504	+	1740	82	0.0378837
47_6	k141_71053	4612	5133	+	522	15	0.0230998
47_7	k141_71053	5402	5608	+	207	5	0.0194172
47_8	k141_71053	5605	5769	+	165	0	0
48_1	k141_17776	1	1089	-	1089	3	0.00221453
48_2	k141_17776	1209	1451	-	243	0	0
48_3	k141_17776	1448	1636	-	189	0	0
49_1	k141_133206	1	525	-	525	0	0
49_2	k141_133206	535	1527	-	993	5	0.0040477
49_3	k141_133206	1539	1880	-	342	1	0.00235051
49_4	k141_133206	1925	2059	-	135	0	0
49_5	k141_133206	2159	2323	-	165	0	0
49_6	k141_133206	2311	3387	-	1077	15	0.011196
