# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_6_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_6/A10_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_6/A10_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_6/A10_2.bam	RPKG
1_1	k141_66382	3	827	-	825	4	0.0219796
1_2	k141_66382	961	1617	-	657	1	0.0069
2_1	k141_199138	2	421	+	420	4	0.0431743
2_2	k141_199138	487	729	+	243	1	0.0186555
2_3	k141_199138	787	1230	+	444	6	0.0612608
3_1	k141_11064	2	718	-	717	0	0
3_2	k141_11064	705	1115	-	411	1	0.0110299
4_1	k141_121697	1	657	-	657	0	0
4_2	k141_121697	706	1701	-	996	0	0
4_3	k141_121697	1694	2638	-	945	0	0
4_4	k141_121697	2620	2700	-	81	0	0
5_1	k141_132761	1	237	+	237	2	0.0382557
5_2	k141_132761	291	1100	+	810	23	0.128723
5_3	k141_132761	1118	2113	-	996	24	0.109236
6_1	k141_177014	3	1205	-	1203	4	0.0150733
7_1	k141_143826	42	1028	-	987	0	0
8_1	k141_177015	1084	1299	-	216	0	0
9_1	k141_154889	3	266	-	264	1	0.0171716
9_2	k141_154889	495	860	-	366	1	0.0123861
9_3	k141_154889	876	2177	-	1302	1	0.0034818
10_1	k141_44260	403	1821	+	1419	8	0.0255577
10_2	k141_44260	1975	2229	+	255	0	0
11_1	k141_11071	3	1463	+	1461	0	0
12_1	k141_165955	2	547	+	546	15	0.124541
12_2	k141_165955	559	1284	+	726	45	0.28099
12_3	k141_165955	1281	1865	+	585	38	0.294471
12_4	k141_165955	1881	2678	+	798	65	0.369254
13_1	k141_66390	3	104	-	102	0	0
13_2	k141_66390	217	1905	-	1689	0	0
14_1	k141_121700	3	215	-	213	0	0
14_2	k141_121700	212	613	-	402	0	0
14_3	k141_121700	610	1590	-	981	0	0
14_4	k141_121700	1587	2243	-	657	0	0
14_5	k141_121700	2248	3657	-	1410	0	0
15_1	k141_177019	3	239	+	237	0	0
15_2	k141_177019	489	809	-	321	0	0
15_3	k141_177019	940	1254	-	315	0	0
16_1	k141_199143	3	743	-	741	0	0
16_2	k141_199143	759	1079	-	321	0	0
16_3	k141_199143	1076	1762	-	687	0	0
16_4	k141_199143	2136	2693	+	558	0	0
16_5	k141_199143	2849	3841	+	993	0	0
17_1	k141_121701	1	1059	+	1059	0	0
18_1	k141_66391	2	1375	+	1374	3	0.00989803
18_2	k141_66391	1372	1491	+	120	0	0
19_1	k141_88512	3	158	+	156	2	0.0581192
19_2	k141_88512	152	961	-	810	43	0.240657
19_3	k141_88512	1010	2551	+	1542	110	0.323387
19_4	k141_88512	2699	3247	+	549	21	0.173405
19_5	k141_88512	3249	4370	+	1122	57	0.230301
20_1	k141_210212	1	480	-	480	1	0.00944437
20_2	k141_210212	725	1168	+	444	1	0.0102101
20_3	k141_210212	1451	1555	+	105	0	0
21_1	k141_165959	2	67	-	66	0	0
21_2	k141_165959	204	704	-	501	0	0
21_3	k141_165959	965	1951	-	987	0	0
22_1	k141_110638	2	1897	+	1896	6	0.0143459
22_2	k141_110638	1987	3114	+	1128	0	0
22_3	k141_110638	3242	3886	+	645	0	0
23_1	k141_121705	130	1218	+	1089	0	0
24_1	k141_66394	300	1052	+	753	0	0
25_1	k141_11072	3	443	-	441	0	0
25_2	k141_11072	755	1816	+	1062	0	0
25_3	k141_11072	1885	2325	-	441	0	0
25_4	k141_11072	2500	3351	+	852	0	0
25_5	k141_11072	3560	4180	+	621	0	0
25_6	k141_11072	4198	4593	+	396	0	0
26_1	k141_77458	1	120	-	120	0	0
26_2	k141_77458	125	1012	-	888	0	0
26_3	k141_77458	1308	2084	+	777	0	0
26_4	k141_77458	2117	2854	+	738	0	0
26_5	k141_77458	2997	3986	-	990	0	0
27_1	k141_66397	1	807	-	807	1	0.00561747
27_2	k141_66397	901	1941	-	1041	3	0.0130643
28_1	k141_165960	21	476	-	456	0	0
28_2	k141_165960	532	1470	-	939	0	0
28_3	k141_165960	1882	3573	+	1692	5	0.0133963
28_4	k141_165960	3661	4248	-	588	0	0
28_5	k141_165960	4238	4495	-	258	2	0.0351418
29_1	k141_99574	1	237	+	237	0	0
29_2	k141_99574	234	1001	+	768	1	0.00590273
29_3	k141_99574	995	2407	+	1413	1	0.00320828
29_4	k141_99574	2404	2976	+	573	1	0.00791151
29_5	k141_99574	3031	3687	+	657	0	0
29_6	k141_99574	3793	4224	+	432	0	0
29_7	k141_99574	4279	5163	+	885	2	0.0102447
29_8	k141_99574	5174	5863	+	690	2	0.01314
29_9	k141_99574	5867	7297	+	1431	3	0.00950377
29_10	k141_99574	7309	8262	+	954	1	0.00475188
29_11	k141_99574	8302	10695	+	2394	7	0.0132553
30_1	k141_77462	95	1000	+	906	1	0.00500364
31_1	k141_121706	1	2073	-	2073	10	0.0218683
31_2	k141_121706	2510	3148	-	639	1	0.00709436
31_3	k141_121706	3270	4175	+	906	4	0.0200146
32_1	k141_154905	73	501	+	429	0	0
32_2	k141_154905	562	1353	+	792	0	0
32_3	k141_154905	1399	2589	+	1191	0	0
32_4	k141_154905	2677	3141	+	465	0	0
32_5	k141_154905	3157	3231	+	75	0	0
33_1	k141_132770	2	721	-	720	0	0
33_2	k141_132770	928	2415	+	1488	0	0
33_3	k141_132770	2533	3396	+	864	0	0
33_4	k141_132770	3623	5740	+	2118	2	0.00428073
33_5	k141_132770	5997	7361	+	1365	0	0
33_6	k141_132770	7774	8091	+	318	0	0
33_7	k141_132770	8143	8238	+	96	0	0
34_1	k141_88514	3	1760	+	1758	3	0.007736
34_2	k141_88514	1932	2606	+	675	2	0.013432
34_3	k141_88514	2603	3952	+	1350	2	0.006716
34_4	k141_88514	4083	5006	+	924	1	0.00490617
34_5	k141_88514	5131	5331	+	201	0	0
35_1	k141_210214	3	1199	-	1197	0	0
35_2	k141_210214	1224	1319	-	96	0	0
35_3	k141_210214	1404	1847	-	444	0	0
35_4	k141_210214	2066	2914	-	849	0	0
35_5	k141_210214	3002	3775	-	774	0	0
35_6	k141_210214	3872	3961	-	90	0	0
35_7	k141_210214	3961	4263	-	303	0	0
35_8	k141_210214	4450	6162	-	1713	2	0.00529282
35_9	k141_210214	6230	6424	-	195	0	0
36_1	k141_66404	1	1095	-	1095	1	0.00414
36_2	k141_66404	1237	1797	-	561	2	0.0161615
37_1	k141_22131	2	166	+	165	0	0
37_2	k141_22131	226	1455	+	1230	0	0
37_3	k141_22131	1483	2805	+	1323	4	0.0137061
37_4	k141_22131	2830	3585	-	756	1	0.00599643
37_5	k141_22131	3824	4474	+	651	0	0
37_6	k141_22131	4761	6257	+	1497	1	0.00302825
37_7	k141_22131	6251	7264	+	1014	0	0
37_8	k141_22131	7345	8541	+	1197	4	0.0151489
37_9	k141_22131	8541	9542	+	1002	0	0
37_10	k141_22131	9574	10068	-	495	1	0.00915818
37_11	k141_22131	10056	10799	-	744	4	0.0243726
38_1	k141_33203	265	1101	-	837	0	0
38_2	k141_33203	1304	1741	-	438	0	0
38_3	k141_33203	2368	4140	-	1773	0	0
38_4	k141_33203	4249	4761	+	513	0	0
38_5	k141_33203	4772	5530	+	759	0	0
38_6	k141_33203	5571	7058	-	1488	0	0
38_7	k141_33203	7528	8028	-	501	0	0
38_8	k141_33203	8313	8645	+	333	0	0
38_9	k141_33203	8677	9606	+	930	0	0
38_10	k141_33203	9599	10132	+	534	0	0
38_11	k141_33203	10150	11166	+	1017	0	0
38_12	k141_33203	11191	11538	-	348	0	0
38_13	k141_33203	11526	11804	-	279	0	0
39_1	k141_121707	306	1970	+	1665	0	0
39_2	k141_121707	2030	2908	-	879	0	0
40_1	k141_210215	2	1261	+	1260	0	0
40_2	k141_210215	1308	1937	+	630	0	0
41_1	k141_44261	3	530	+	528	0	0
41_2	k141_44261	570	794	+	225	0	0
41_3	k141_44261	898	1341	+	444	0	0
41_4	k141_44261	1441	2661	+	1221	0	0
41_5	k141_44261	2749	3087	+	339	0	0
41_6	k141_44261	3112	5064	+	1953	0	0
41_7	k141_44261	5387	7417	-	2031	0	0
41_8	k141_44261	7585	8001	-	417	0	0
41_9	k141_44261	8118	9065	-	948	0	0
41_10	k141_44261	9279	9488	+	210	0	0
41_11	k141_44261	9548	9784	+	237	0	0
41_12	k141_44261	10052	11260	+	1209	0	0
41_13	k141_44261	11282	12874	+	1593	0	0
42_1	k141_188077	1	303	-	303	0	0
42_2	k141_188077	500	1723	-	1224	0	0
42_3	k141_188077	1776	3068	-	1293	1	0.00350603
42_4	k141_188077	3242	3745	+	504	0	0
42_5	k141_188077	4252	5514	-	1263	0	0
42_6	k141_188077	5507	6193	-	687	0	0
42_7	k141_188077	6254	8038	-	1785	1	0.00253966
42_8	k141_188077	8028	8723	-	696	0	0
42_9	k141_188077	8745	9512	-	768	0	0
42_10	k141_188077	9627	9755	-	129	0	0
42_11	k141_188077	10048	10251	-	204	0	0
42_12	k141_188077	10346	11623	-	1278	0	0
42_13	k141_188077	11705	14008	-	2304	0	0
42_14	k141_188077	14126	15601	-	1476	1	0.00307134
43_1	k141_99583	3	1097	-	1095	6	0.02484
44_1	k141_210218	112	1197	-	1086	0	0
44_2	k141_210218	1199	2008	-	810	2	0.0111933
45_1	k141_110644	588	878	-	291	0	0
45_2	k141_110644	891	1922	-	1032	0	0
45_3	k141_110644	1922	2584	-	663	0	0
45_4	k141_110644	2584	3495	-	912	0	0
45_5	k141_110644	3496	5250	-	1755	3	0.00774923
45_6	k141_110644	5247	5909	-	663	0	0
45_7	k141_110644	5935	6375	-	441	0	0
45_8	k141_110644	6359	6823	-	465	0	0
46_1	k141_199144	1346	1855	+	510	0	0
46_2	k141_199144	2933	4084	+	1152	0	0
46_3	k141_199144	4087	4875	+	789	0	0
46_4	k141_199144	4887	5027	+	141	0	0
46_5	k141_199144	5020	6330	+	1311	0	0
46_6	k141_199144	6339	7442	+	1104	0	0
