# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_6_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_6/A6_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_6/A6_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_6/A6_2.bam	RPKG
1_1	k141_66382	3	827	-	825	0	0
1_2	k141_66382	961	1617	-	657	0	0
2_1	k141_199138	2	421	+	420	1	0.00179156
2_2	k141_199138	487	729	+	243	1	0.00309652
2_3	k141_199138	787	1230	+	444	1	0.00169472
3_1	k141_11064	2	718	-	717	4	0.00419779
3_2	k141_11064	705	1115	-	411	0	0
4_1	k141_121697	1	657	-	657	4	0.00458115
4_2	k141_121697	706	1701	-	996	0	0
4_3	k141_121697	1694	2638	-	945	0	0
4_4	k141_121697	2620	2700	-	81	0	0
5_1	k141_132761	1	237	+	237	3	0.00952474
5_2	k141_132761	291	1100	+	810	56	0.0520215
5_3	k141_132761	1118	2113	-	996	49	0.0370183
6_1	k141_177014	3	1205	-	1203	5	0.00312741
7_1	k141_143826	42	1028	-	987	8	0.00609892
8_1	k141_177015	1084	1299	-	216	0	0
9_1	k141_154889	3	266	-	264	2	0.00570041
9_2	k141_154889	495	860	-	366	1	0.00205589
9_3	k141_154889	876	2177	-	1302	2	0.00115584
10_1	k141_44260	403	1821	+	1419	268	0.142113
10_2	k141_44260	1975	2229	+	255	11	0.0324588
11_1	k141_11071	3	1463	+	1461	1	0.000515027
12_1	k141_165955	2	547	+	546	45	0.0620155
12_2	k141_165955	559	1284	+	726	75	0.0777329
12_3	k141_165955	1281	1865	+	585	160	0.205799
12_4	k141_165955	1881	2678	+	798	185	0.174441
13_1	k141_66390	3	104	-	102	0	0
13_2	k141_66390	217	1905	-	1689	29	0.0129196
14_1	k141_121700	3	215	-	213	0	0
14_2	k141_121700	212	613	-	402	0	0
14_3	k141_121700	610	1590	-	981	0	0
14_4	k141_121700	1587	2243	-	657	0	0
14_5	k141_121700	2248	3657	-	1410	2	0.00106731
15_1	k141_177019	3	239	+	237	1	0.00317491
15_2	k141_177019	489	809	-	321	4	0.00937638
15_3	k141_177019	940	1254	-	315	6	0.0143325
16_1	k141_199143	3	743	-	741	2	0.00203092
16_2	k141_199143	759	1079	-	321	5	0.0117205
16_3	k141_199143	1076	1762	-	687	1	0.00109528
16_4	k141_199143	2136	2693	+	558	11	0.0148333
