# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_10_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_10/A19_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_10/A19_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_10/A19_2.bam	RPKG
1_1	k141_19122	2	232	+	231	1	0.0025132
1_2	k141_19122	293	2194	+	1902	65	0.01984
2_1	k141_86050	559	1665	+	1107	11	0.00576879
3_1	k141_133853	2	199	+	198	0	0
3_2	k141_133853	352	1509	+	1158	3	0.00150401
3_3	k141_133853	1683	1901	+	219	0	0
3_4	k141_133853	1898	2539	+	642	0	0
4_1	k141_124296	3	1004	-	1002	11	0.0063733
5_1	k141_162534	3	875	-	873	0	0
5_2	k141_162534	1154	2944	+	1791	8	0.00259319
6_1	k141_114733	2	1021	+	1020	237	0.134892
6_2	k141_114733	1021	2397	+	1377	400	0.168642
6_3	k141_114733	2398	3192	+	795	228	0.166497
6_4	k141_114733	3232	3363	+	132	35	0.153934
7_1	k141_105175	1	99	+	99	3	0.0175924
7_2	k141_105175	137	973	-	837	12	0.00832329
7_3	k141_105175	1007	1327	-	321	2	0.00361713
7_4	k141_105175	1324	1611	-	288	1	0.0020158
8_1	k141_9567	364	564	+	201	2	0.00577661
8_2	k141_9567	751	1584	+	834	2	0.00139221
9_1	k141_143421	2	1114	+	1113	3	0.00156482
10_1	k141_19127	15	629	-	615	96	0.0906224
10_2	k141_19127	568	978	-	411	53	0.0748641
11_1	k141_172101	1	801	-	801	0	0
11_2	k141_172101	805	1446	-	642	0	0
12_1	k141_86055	1	429	+	429	18	0.0243587
12_2	k141_86055	564	1148	+	585	12	0.0119087
13_1	k141_95611	608	1843	-	1236	40	0.018788
13_2	k141_95611	2002	2889	-	888	21	0.0137292
13_3	k141_95611	3175	3942	+	768	34	0.0257014
14_1	k141_57373	3	641	+	639	675	0.613257
14_2	k141_57373	953	1858	+	906	320	0.205051
15_1	k141_47807	1	417	+	417	0	0
15_2	k141_47807	565	1314	+	750	0	0
15_3	k141_47807	1412	3277	-	1866	0	0
15_4	k141_47807	3497	3724	-	228	0	0
16_1	k141_38253	97	1026	+	930	1	0.000624247
16_2	k141_38253	1028	1528	+	501	2	0.00231756
17_1	k141_105178	233	1210	-	978	1	0.000593609
18_1	k141_114734	80	754	+	675	792	0.681178
18_2	k141_114734	891	1064	-	174	197	0.657289
18_3	k141_114734	1250	1804	+	555	539	0.563813
19_1	k141_172102	1	606	-	606	3	0.00287401
19_2	k141_172102	622	1332	-	711	2	0.00163305
20_1	k141_124297	1	252	-	252	2	0.00460754
20_2	k141_124297	285	377	-	93	0	0
20_3	k141_124297	388	1536	-	1149	18	0.00909477
20_4	k141_124297	1675	2355	-	681	10	0.00852496
20_5	k141_124297	2473	3411	+	939	23	0.0142201
21_1	k141_76491	3	161	+	159	1	0.00365126
21_2	k141_76491	438	4382	+	3945	76	0.0111842
22_1	k141_152978	3	287	+	285	6	0.0122221
22_2	k141_152978	302	2680	+	2379	129	0.03148
23_1	k141_19129	138	971	-	834	6	0.00417662
23_2	k141_19129	992	1477	-	486	0	0
24_1	k141_105180	2	184	+	183	0	0
24_2	k141_105180	196	786	+	591	0	0
24_3	k141_105180	885	1067	+	183	0	0
25_1	k141_181668	1	714	-	714	0	0
25_2	k141_181668	716	1027	-	312	2	0.00372147
26_1	k141_162535	3	1292	+	1290	562	0.252922
26_2	k141_162535	1469	1888	+	420	148	0.204575
26_3	k141_162535	1878	3080	+	1203	435	0.209924
26_4	k141_162535	3081	3797	+	717	325	0.26315
26_5	k141_162535	3930	4553	+	624	205	0.190725
27_1	k141_114738	2	220	-	219	1	0.00265091
27_2	k141_114738	217	750	-	534	20	0.0217434
27_3	k141_114738	961	1239	-	279	5	0.0104041
28_1	k141_57377	3	110	+	108	0	0
28_2	k141_57377	148	486	+	339	0	0
28_3	k141_57377	509	1378	+	870	0	0
28_4	k141_57377	1393	2019	+	627	0	0
28_5	k141_57377	2110	2175	+	66	0	0
29_1	k141_38255	213	1142	-	930	100	0.0624247
29_2	k141_38255	1099	1932	-	834	105	0.0730908
29_3	k141_38255	1932	2855	-	924	115	0.0722546
30_1	k141_47813	348	1607	-	1260	37	0.0170479
31_1	k141_19131	1	942	+	942	1228	0.75681
31_2	k141_19131	1097	1417	+	321	549	0.992903
31_3	k141_19131	1654	2052	+	399	658	0.957398
32_1	k141_57378	2	1066	+	1065	20	0.0109023
33_1	k141_66928	1	279	-	279	58	0.120688
33_2	k141_66928	544	2328	+	1785	461	0.149935
33_3	k141_66928	2393	3568	+	1176	316	0.155998
33_4	k141_66928	3678	4262	+	585	121	0.12008
33_5	k141_66928	4289	5398	+	1110	265	0.1386
33_6	k141_66928	5720	7123	+	1404	431	0.178217
33_7	k141_66928	7149	7829	-	681	122	0.104004
33_8	k141_66928	7940	8815	+	876	197	0.130557
33_9	k141_66928	9155	9232	+	78	24	0.178631
34_1	k141_114740	24	1745	+	1722	14	0.00471992
35_1	k141_162538	2	181	+	180	0	0
35_2	k141_162538	414	830	+	417	0	0
35_3	k141_162538	821	1168	+	348	2	0.00333649
35_4	k141_162538	1218	1313	+	96	1	0.00604739
36_1	k141_47817	3	1124	+	1122	11	0.00569166
36_2	k141_47817	1171	1842	+	672	4	0.00345565
37_1	k141_162539	2	250	+	249	0	0
37_2	k141_162539	258	1169	+	912	0	0
38_1	k141_38256	155	991	-	837	12	0.00832329
38_2	k141_38256	995	1849	-	855	9	0.00611105
38_3	k141_38256	1999	2775	-	777	4	0.00298867
38_4	k141_38256	3038	3514	+	477	12	0.014605
39_1	k141_47820	1	807	+	807	0	0
39_2	k141_47820	842	1294	+	453	0	0
40_1	k141_66934	3	170	+	168	0	0
40_2	k141_66934	172	645	+	474	0	0
40_3	k141_66934	645	1214	+	570	0	0
41_1	k141_152986	1	510	-	510	22	0.0250433
41_2	k141_152986	989	2419	+	1431	70	0.0283987
41_3	k141_152986	2647	3624	+	978	85	0.0504568
41_4	k141_152986	3878	5404	+	1527	227	0.0863031
41_5	k141_152986	5423	5503	+	81	3	0.0215018
42_1	k141_38258	81	185	-	105	1	0.00552904
42_2	k141_38258	203	1762	-	1560	14	0.00521006
43_1	k141_95615	2	160	+	159	0	0
43_2	k141_95615	96	587	-	492	60	0.0707987
43_3	k141_95615	1098	1517	-	420	97	0.134079
43_4	k141_95615	1514	2308	-	795	164	0.119761
43_5	k141_95615	2301	3134	-	834	160	0.111376
43_6	k141_95615	3131	3955	-	825	141	0.0992212
43_7	k141_95615	3958	4896	-	939	193	0.119325
43_8	k141_95615	4957	6582	-	1626	378	0.134962
43_9	k141_95615	6750	7412	-	663	184	0.161118
43_10	k141_95615	7421	7654	-	234	65	0.161264
43_11	k141_95615	7821	8072	-	252	101	0.232681
44_1	k141_114741	1	255	-	255	4	0.00910666
44_2	k141_114741	271	1071	-	801	25	0.0181195
44_3	k141_114741	1293	3143	+	1851	54	0.0169366
44_4	k141_114741	3218	3406	+	189	8	0.0245735
45_1	k141_105183	2	445	+	444	106	0.1386
45_2	k141_105183	1110	2588	+	1479	334	0.131105
45_3	k141_105183	3306	3962	+	657	167	0.147567
45_4	k141_105183	4026	5435	+	1410	285	0.117345
45_5	k141_105183	5465	6343	+	879	191	0.126149
46_1	k141_162544	3	1082	-	1080	292	0.156963
47_1	k141_152988	21	389	+	369	0	0
47_2	k141_152988	386	1249	+	864	0	0
48_1	k141_57386	1	291	+	291	6	0.0119701
48_2	k141_57386	301	1023	+	723	9	0.00722676
48_3	k141_57386	1016	2065	+	1050	17	0.00939938
48_4	k141_57386	2062	3129	+	1068	22	0.0119589
49_1	k141_114742	3	488	-	486	12	0.0143346
49_2	k141_114742	547	1125	-	579	8	0.00802141
49_3	k141_114742	1136	1345	-	210	5	0.0138226
50_1	k141_38262	3	395	-	393	0	0
50_2	k141_38262	388	864	-	477	0	0
50_3	k141_38262	867	1631	-	765	18	0.01366
51_1	k141_124298	1	135	-	135	73	0.313927
51_2	k141_124298	216	2033	-	1818	1842	0.588214
51_3	k141_124298	2151	2861	+	711	669	0.546256
51_4	k141_124298	2858	3391	+	534	483	0.525104
51_5	k141_124298	3388	4107	+	720	572	0.461214
51_6	k141_124298	4091	5350	+	1260	1179	0.543229
51_7	k141_124298	5343	6026	+	684	614	0.521137
51_8	k141_124298	6019	6639	+	621	435	0.406665
51_9	k141_124298	6710	8632	+	1923	2618	0.790369
51_10	k141_124298	8794	9324	+	531	478	0.522604
51_11	k141_124298	9490	10095	+	606	558	0.534566
52_1	k141_19132	6	410	-	405	0	0
52_2	k141_19132	379	807	-	429	0	0
52_3	k141_19132	811	1113	-	303	3	0.00574802
52_4	k141_19132	1230	2372	-	1143	3	0.00152375
52_5	k141_19132	2411	4039	-	1629	3	0.00106915
52_6	k141_19132	4053	7235	-	3183	12	0.00218869
52_7	k141_19132	7237	7464	-	228	1	0.00254627
53_1	k141_95616	2	1213	-	1212	3	0.001437
53_2	k141_95616	1415	2056	+	642	0	0
53_3	k141_95616	2139	2390	-	252	5	0.0115188
54_1	k141_162545	121	1665	-	1545	19	0.00713945
54_2	k141_162545	1729	1977	-	249	3	0.00699457
55_1	k141_143423	2	1648	+	1647	1	0.000352489
55_2	k141_143423	2373	2834	-	462	9	0.0113094
55_3	k141_143423	2977	6117	-	3141	37	0.00683869
55_4	k141_143423	6153	6626	-	474	0	0
55_5	k141_143423	6626	7042	-	417	0	0
55_6	k141_143423	7049	7702	-	654	2	0.00177538
55_7	k141_143423	7719	8858	-	1140	5	0.00254627
55_8	k141_143423	8935	11511	-	2577	8	0.00180225
55_9	k141_143423	11664	11855	+	192	1	0.0030237
56_1	k141_9577	2	427	+	426	434	0.591452
56_2	k141_9577	448	1164	+	717	888	0.719007
56_3	k141_9577	1172	2248	+	1077	1493	0.804792
56_4	k141_9577	2245	3114	-	870	1056	0.704667
56_5	k141_9577	3237	4673	+	1437	2085	0.842342
56_6	k141_9577	4609	5583	-	975	1274	0.758585
56_7	k141_9577	5632	6969	-	1338	1742	0.755843
56_8	k141_9577	7193	8068	+	876	1102	0.730326
56_9	k141_9577	8072	9511	-	1440	1922	0.774873
56_10	k141_9577	9543	9767	-	225	118	0.304466
57_1	k141_105186	309	2537	+	2229	43	0.0111995
57_2	k141_105186	2601	2777	+	177	3	0.00983983
58_1	k141_66943	1	144	+	144	269	1.0845
58_2	k141_66943	141	626	+	486	3726	4.45088
58_3	k141_66943	791	1102	-	312	1918	3.56889
59_1	k141_95617	1	639	-	639	5	0.00454264
59_2	k141_95617	658	1179	-	522	3	0.00333649
60_1	k141_57388	1	453	+	453	176	0.225556
60_2	k141_57388	702	2684	-	1983	1797	0.526096
61_1	k141_162547	3	323	-	321	105	0.189899
