# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_3/C13_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_3/C13_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_3/C13_1.bam	RPKG
1_1	k141_239960	1	387	-	387	9	0.0149854
1_2	k141_239960	539	844	-	306	5	0.0105289
1_3	k141_239960	1076	1339	-	264	5	0.012204
2_1	k141_222821	2	880	-	879	36	0.0263906
3_1	k141_68560	3	1028	+	1026	6	0.00376825
3_2	k141_68560	1147	1641	+	495	1	0.00130176
4_1	k141_119982	4	708	-	705	11	0.010054
4_2	k141_119982	765	1304	-	540	2	0.00238656
5_1	k141_171400	2	1999	-	1998	21	0.00677266
6_1	k141_137122	133	1002	-	870	4	0.00296262
7_1	k141_222822	2	616	+	615	8	0.00838206
7_2	k141_222822	613	1152	+	540	4	0.00477311
8_1	k141_188540	2	445	+	444	6	0.00870771
8_2	k141_188540	673	1611	+	939	14	0.00960723
8_3	k141_188540	1616	2569	+	954	15	0.0101316
8_4	k141_188540	2575	2772	+	198	1	0.0032544
9_1	k141_154263	2	262	+	261	4	0.00987541
9_2	k141_154263	698	1693	+	996	21	0.0135861
9_3	k141_154263	1690	2223	-	534	6	0.00724012
10_1	k141_171401	3	461	+	459	17	0.0238656
10_2	k141_171401	558	1760	+	1203	34	0.0182116
10_3	k141_171401	1919	2059	-	141	0	0
11_1	k141_274238	2	895	+	894	28	0.0201816
11_2	k141_274238	1267	1539	+	273	11	0.0259636
11_3	k141_274238	1532	2299	+	768	23	0.0192976
11_4	k141_274238	2293	3567	+	1275	54	0.027291
12_1	k141_188541	191	931	+	741	9	0.00782636
12_2	k141_188541	956	1264	+	309	2	0.00417068
13_1	k141_34285	2	904	+	903	16	0.0114174
14_1	k141_137125	2	646	+	645	29	0.0289717
14_2	k141_137125	887	1039	+	153	4	0.0168463
15_1	k141_257102	1	432	-	432	7	0.0104412
15_2	k141_257102	498	2396	-	1899	27	0.00916167
15_3	k141_257102	2642	2911	-	270	8	0.0190925
16_1	k141_51427	3	824	+	822	23	0.0180298
16_2	k141_51427	1166	1555	+	390	9	0.0148701
17_1	k141_222824	3	731	-	729	24	0.0212138
17_2	k141_222824	1008	1772	-	765	12	0.0101078
17_3	k141_222824	1877	1993	-	117	1	0.00550744
18_1	k141_325663	1	1305	-	1305	18	0.00888787
18_2	k141_325663	1332	1553	-	222	2	0.00580514
19_1	k141_85708	3	389	-	387	3	0.00499512
19_2	k141_85708	409	1050	-	642	14	0.0140517
19_3	k141_85708	1085	2188	-	1104	31	0.0180937
20_1	k141_291385	2	1765	+	1764	13	0.00474876
20_2	k141_291385	1788	1943	-	156	0	0
21_1	k141_308525	3	1433	-	1431	30	0.0135088
22_1	k141_17144	2	283	+	282	2	0.00457
22_2	k141_17144	287	775	+	489	5	0.00658866
22_3	k141_17144	1295	2398	-	1104	8	0.00466935
22_4	k141_17144	2488	3771	-	1284	4	0.00200738
23_1	k141_102848	3	245	-	243	4	0.0106069
23_2	k141_102848	369	1217	-	849	20	0.0151795
23_3	k141_102848	1232	1777	-	546	4	0.00472066
24_1	k141_68568	2	514	+	513	4	0.00502433
24_2	k141_68568	532	1818	-	1287	14	0.00700947
24_3	k141_68568	1839	2075	-	237	0	0
25_1	k141_325664	2	610	+	609	2	0.00211616
25_2	k141_325664	604	1212	-	609	2	0.00211616
26_1	k141_291386	3	374	-	372	0	0
26_2	k141_291386	389	748	-	360	3	0.00536975
26_3	k141_291386	876	1172	+	297	2	0.0043392
27_1	k141_205684	2	334	+	333	58	0.112233
27_2	k141_205684	636	1190	+	555	82	0.0952043
27_3	k141_205684	1183	2352	+	1170	252	0.138787
27_4	k141_205684	2575	3588	-	1014	220	0.139804
27_5	k141_205684	3698	4330	+	633	88	0.0895807
28_1	k141_239968	476	619	+	144	20	0.0894959
28_2	k141_239968	612	1493	+	882	131	0.0957058
28_3	k141_239968	1496	2143	+	648	77	0.0765687
29_1	k141_222825	3	110	-	108	0	0
29_2	k141_222825	58	897	-	840	69	0.0529304
29_3	k141_222825	1094	1285	-	192	10	0.033561
29_4	k141_222825	1407	1577	-	171	10	0.0376825
30_1	k141_188546	2	109	+	108	3	0.0178992
30_2	k141_188546	262	1029	+	768	21	0.0176195
31_1	k141_34289	2	313	-	312	0	0
31_2	k141_34289	342	1589	-	1248	8	0.00413058
31_3	k141_34289	1596	1730	-	135	0	0
32_1	k141_68569	3	812	+	810	5	0.0039776
32_2	k141_68569	955	1551	-	597	11	0.0118728
33_1	k141_17147	1	1623	-	1623	5	0.00198512
34_1	k141_205685	179	1150	+	972	52	0.0344725
35_1	k141_274243	1	375	-	375	7	0.0120282
35_2	k141_274243	380	1747	-	1368	21	0.00989165
35_3	k141_274243	1760	3199	-	1440	33	0.0147668
36_1	k141_222826	33	431	-	399	31	0.0500639
36_2	k141_222826	441	887	-	447	36	0.0518956
36_3	k141_222826	902	1390	-	489	58	0.0764284
37_1	k141_119984	2	1306	-	1305	29	0.0143193
37_2	k141_119984	1471	3552	-	2082	37	0.0114513
37_3	k141_119984	3737	4540	-	804	12	0.00961747
37_4	k141_119984	4734	6197	+	1464	25	0.0110036
38_1	k141_325666	3	1292	+	1290	26	0.0129873
38_2	k141_325666	1309	1431	+	123	0	0
39_1	k141_257107	1	1851	-	1851	16	0.00556992
39_2	k141_257107	1867	2403	-	537	11	0.0131994
40_1	k141_291390	71	2398	+	2328	33	0.00913412
41_1	k141_239975	1	486	+	486	9	0.0119328
41_2	k141_239975	669	1472	+	804	80	0.0641165
42_1	k141_34296	1	609	-	609	49	0.0518459
42_2	k141_34296	1056	1253	-	198	67	0.218045
43_1	k141_308536	1	675	+	675	251	0.23961
43_2	k141_308536	758	1063	+	306	106	0.223213
43_3	k141_308536	1072	1863	+	792	107	0.0870551
43_4	k141_308536	1966	2178	+	213	9	0.0272269
44_1	k141_188550	92	2587	+	2496	35	0.00903564
45_1	k141_85721	1	768	-	768	7	0.00587317
45_2	k141_85721	765	1073	-	309	1	0.00208534
46_1	k141_274247	56	268	+	213	5	0.0151261
46_2	k141_274247	835	1302	-	468	1	0.00137686
46_3	k141_274247	1342	2235	-	894	4	0.00288309
47_1	k141_222832	1	168	+	168	10	0.0383554
47_2	k141_222832	320	1222	+	903	60	0.0428153
48_1	k141_102859	3	980	+	978	11	0.00724752
48_2	k141_102859	1032	1364	-	333	6	0.0116103
48_3	k141_102859	1475	1699	-	225	2	0.00572774
49_1	k141_257112	3	1154	-	1152	9	0.00503414
49_2	k141_257112	1395	2174	+	780	5	0.00413058
50_1	k141_2	1	942	-	942	44	0.030098
50_2	k141_2	1129	1491	-	363	6	0.0106508
50_3	k141_2	1568	3433	-	1866	58	0.0200287
50_4	k141_2	3586	3804	-	219	8	0.0235386
50_5	k141_2	4063	5418	-	1356	48	0.0228096
50_6	k141_2	5418	6389	-	972	32	0.0212138
50_7	k141_2	6382	7164	-	783	18	0.0148131
50_8	k141_2	7176	8003	-	828	20	0.0155645
50_9	k141_2	8008	8946	-	939	32	0.0219594
50_10	k141_2	9011	10573	-	1563	49	0.020201
50_11	k141_2	11045	11641	-	597	20	0.021587
51_1	k141_51450	2	841	+	840	26	0.0199448
51_2	k141_51450	1124	1351	-	228	4	0.0113047
51_3	k141_51450	1299	1421	-	123	0	0
52_1	k141_239982	3	608	+	606	3	0.00318995
52_2	k141_239982	653	823	-	171	5	0.0188412
52_3	k141_239982	919	1020	+	102	0	0
53_1	k141_154286	70	1023	+	954	13	0.00878073
53_2	k141_154286	1128	1577	+	450	3	0.0042958
54_1	k141_171412	2	85	-	84	0	0
54_2	k141_171412	361	1098	-	738	56	0.0488953
54_3	k141_171412	1267	2805	-	1539	142	0.0594546
54_4	k141_171412	2912	3100	+	189	24	0.0818248
54_5	k141_171412	3201	3605	-	405	42	0.0668236
54_6	k141_171412	3618	4901	-	1284	118	0.0592178
54_7	k141_171412	5084	5335	-	252	51	0.130408
54_8	k141_171412	5350	5661	-	312	36	0.0743504
