# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_3/C15_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_3/C15_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_3/C15_1.bam	RPKG
1_1	k141_239960	1	387	-	387	3	0.00388962
1_2	k141_239960	539	844	-	306	2	0.00327948
1_3	k141_239960	1076	1339	-	264	9	0.0171055
2_1	k141_222821	2	880	-	879	0	0
3_1	k141_68560	3	1028	+	1026	17	0.00831377
3_2	k141_68560	1147	1641	+	495	6	0.00608195
4_1	k141_119982	4	708	-	705	3	0.00213515
4_2	k141_119982	765	1304	-	540	6	0.00557512
5_1	k141_171400	2	1999	-	1998	39	0.00979413
6_1	k141_137122	133	1002	-	870	10	0.00576736
7_1	k141_222822	2	616	+	615	3	0.00244761
7_2	k141_222822	613	1152	+	540	4	0.00371675
8_1	k141_188540	2	445	+	444	3	0.00339027
8_2	k141_188540	673	1611	+	939	24	0.0128246
8_3	k141_188540	1616	2569	+	954	20	0.0105191
8_4	k141_188540	2575	2772	+	198	4	0.0101366
9_1	k141_154263	2	262	+	261	0	0
9_2	k141_154263	698	1693	+	996	6	0.00302265
9_3	k141_154263	1690	2223	-	534	0	0
10_1	k141_171401	3	461	+	459	19	0.02077
10_2	k141_171401	558	1760	+	1203	61	0.0254426
10_3	k141_171401	1919	2059	-	141	0	0
11_1	k141_274238	2	895	+	894	62	0.0347977
11_2	k141_274238	1267	1539	+	273	4	0.0073518
11_3	k141_274238	1532	2299	+	768	36	0.02352
11_4	k141_274238	2293	3567	+	1275	107	0.0421085
12_1	k141_188541	191	931	+	741	14	0.00947996
12_2	k141_188541	956	1264	+	309	5	0.0081191
13_1	k141_34285	2	904	+	903	31	0.0172254
