Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_9/G20_2.bam	RPKG	geneLoc	geneNum	Score
36722_4	k141_178026	2348	3364	-	1017	10	0.00317716	Capsule_9.k141_178026_4/1-334	Capsule_9.k141_178026_4	563.3
50210_5	k141_237737	3506	4516	-	1011	31	0.00990766	Capsule_9.k141_237737_5/1-329	Capsule_9.k141_237737_5	502.6
65931_1	k141_203308	27	1025	-	999	1	0.000323441	Capsule_9.k141_203308_1/1-328	Capsule_9.k141_203308_1	487.8
65904_2	k141_203286	294	1292	+	999	39	0.0126142	Capsule_9.k141_203286_2/1-328	Capsule_9.k141_203286_2	485.8
18670_7	k141_248919	4308	5306	+	999	41	0.0132611	Capsule_9.k141_248919_7/1-328	Capsule_9.k141_248919_7	480.6
30168_3	k141_269458	1793	2845	+	1053	697	0.213877	Capsule_9.k141_269458_3/1-345	Capsule_9.k141_269458_3	472.9
42136_12	k141_9629	8766	9785	-	1020	21	0.00665242	Capsule_9.k141_9629_12/1-334	Capsule_9.k141_9629_12	463.6
4049_4	k141_1258	4057	5094	-	1038	3	0.000933866	Capsule_9.k141_1258_4/1-337	Capsule_9.k141_1258_4	444.2
45644_6	k141_47448	8900	9946	+	1047	29	0.00894977	Capsule_9.k141_47448_6/1-338	Capsule_9.k141_47448_6	442.9
44075_4	k141_47117	5960	6994	+	1035	1153	0.359956	Capsule_9.k141_47117_4/1-338	Capsule_9.k141_47117_4	429.4
36722_3	k141_178026	1561	2355	-	795	6	0.00243862	Capsule_9.k141_178026_3/4-264	Capsule_9.k141_178026_3	473.1
65904_3	k141_203286	1294	2082	+	789	35	0.0143335	Capsule_9.k141_203286_3/3-262	Capsule_9.k141_203286_3	434.4
18670_8	k141_248919	5308	6096	+	789	25	0.0102382	Capsule_9.k141_248919_8/3-262	Capsule_9.k141_248919_8	425.1
30168_4	k141_269458	2847	3641	+	795	585	0.237766	Capsule_9.k141_269458_4/5-264	Capsule_9.k141_269458_4	420.0
50210_4	k141_237737	2714	3505	-	792	18	0.00734358	Capsule_9.k141_237737_4/2-263	Capsule_9.k141_237737_4	417.2
42136_11	k141_9629	7961	8773	-	813	17	0.00675646	Capsule_9.k141_9629_11/3-270	Capsule_9.k141_9629_11	387.7
4049_3	k141_1258	3246	4037	-	792	5	0.00203988	Capsule_9.k141_1258_3/4-263	Capsule_9.k141_1258_3	348.7
45644_7	k141_47448	9949	10740	+	792	30	0.0122393	Capsule_9.k141_47448_7/4-263	Capsule_9.k141_47448_7	331.6
44075_5	k141_47117	7011	7802	+	792	788	0.321486	Capsule_9.k141_47117_5/4-263	Capsule_9.k141_47117_5	330.6
30168_5	k141_269458	3654	4616	+	963	664	0.222793	Capsule_9.k141_269458_5/2-315	Capsule_9.k141_269458_5	566.0
36722_2	k141_178026	576	1547	-	972	17	0.00565123	Capsule_9.k141_178026_2/2-315	Capsule_9.k141_178026_2	559.5
65904_4	k141_203286	2096	3061	+	966	45	0.0150521	Capsule_9.k141_203286_4/2-315	Capsule_9.k141_203286_4	526.5
18670_9	k141_248919	6110	7075	+	966	35	0.0117072	Capsule_9.k141_248919_9/2-315	Capsule_9.k141_248919_9	525.1
50210_3	k141_237737	1732	2700	-	969	32	0.0106705	Capsule_9.k141_237737_3/4-317	Capsule_9.k141_237737_3	524.8
42136_10	k141_9629	6897	7946	-	1050	37	0.011386	Capsule_9.k141_9629_10/2-315	Capsule_9.k141_9629_10	492.5
35407_1	k141_252922	3	722	+	720	0	0	Capsule_9.k141_252922_1/2-233	Capsule_9.k141_252922_1	400.7
44075_6	k141_47117	7821	8876	+	1056	1139	0.348514	Capsule_9.k141_47117_6/4-321	Capsule_9.k141_47117_6	374.5
4049_2	k141_1258	2137	3228	-	1092	4	0.00118358	Capsule_9.k141_1258_2/4-329	Capsule_9.k141_1258_2	371.5
45644_8	k141_47448	10758	11609	+	852	34	0.0128944	Capsule_9.k141_47448_8/4-273	Capsule_9.k141_47448_8	344.7
