# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_7_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_7/G17_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_7/G17_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_7/G17_2.bam	RPKG
1_1	k141_142892	1	1188	+	1188	10	0.00755083
2_1	k141_21984	3	233	+	231	3	0.0116499
2_2	k141_21984	677	1621	-	945	18	0.0170865
3_1	k141_98928	3	80	-	78	0	0
3_2	k141_98928	359	1729	+	1371	16	0.0104687
4_1	k141_1	171	278	-	108	424	3.52171
5_1	k141_131902	3	614	+	612	5	0.00732875
5_2	k141_131902	676	1320	+	645	1	0.00139076
5_3	k141_131902	1336	1473	+	138	0	0
6_1	k141_186857	3	803	-	801	10	0.011199
6_2	k141_186857	836	1489	-	654	10	0.0137162
7_1	k141_87937	2	313	+	312	5	0.0143756
7_2	k141_87937	346	1020	+	675	12	0.0159474
7_3	k141_87937	1108	1551	+	444	5	0.0101018
8_1	k141_76944	1	1884	+	1884	28	0.0133318
8_2	k141_76944	2200	2778	+	579	44	0.0681688
8_3	k141_76944	2797	3000	+	204	18	0.0791505
8_4	k141_76944	3055	3405	+	351	27	0.069003
8_5	k141_76944	3279	3545	-	267	16	0.0537552
8_6	k141_76944	3624	4322	+	699	86	0.110365
9_1	k141_164875	1	615	-	615	17	0.0247962
9_2	k141_164875	903	1880	+	978	28	0.0256821
10_1	k141_54962	1	468	+	468	5	0.00958375
10_2	k141_54962	545	1474	+	930	6	0.00578735
11_1	k141_142897	2	433	+	432	11	0.0228413
11_2	k141_142897	774	1028	-	255	3	0.0105534
12_1	k141_109924	1	81	-	81	0	0
12_2	k141_109924	541	1137	+	597	6	0.00901547
13_1	k141_175869	1	1944	-	1944	30	0.0138432
13_2	k141_175869	1941	2192	-	252	6	0.0213581
14_1	k141_10996	1	120	-	120	3	0.022426
14_2	k141_10996	131	286	-	156	1	0.00575025
14_3	k141_10996	307	519	-	213	1	0.00421145
14_4	k141_10996	516	701	-	186	2	0.00964558
14_5	k141_10996	711	899	-	189	1	0.00474624
14_6	k141_10996	910	1227	-	318	6	0.0169253
14_7	k141_10996	1251	1472	-	222	3	0.0121221
14_8	k141_10996	1448	1780	-	333	1	0.00269381
15_1	k141_153890	3	209	-	207	4	0.0173341
15_2	k141_153890	236	730	-	495	4	0.0072488
16_1	k141_164878	102	260	-	159	1	0.00564176
16_2	k141_164878	250	1650	-	1401	13	0.0083237
16_3	k141_164878	1658	1792	-	135	0	0
17_1	k141_208841	3	1268	+	1266	3	0.00212569
17_2	k141_208841	1296	2546	+	1251	14	0.0100388
18_1	k141_32978	2	880	+	879	28	0.0285746
18_2	k141_32978	1000	2877	+	1878	52	0.0248381
18_3	k141_32978	2958	4346	+	1389	6	0.0038749
19_1	k141_175870	2	1036	-	1035	21	0.0182008
20_1	k141_120917	1	879	+	879	9	0.0091847
20_2	k141_120917	888	1496	+	609	4	0.00589188
20_3	k141_120917	1504	2106	-	603	6	0.00892576
21_1	k141_43973	1	2013	-	2013	22	0.00980371
22_1	k141_131909	2	202	+	201	71	0.316865
22_2	k141_131909	500	1090	+	591	236	0.358208
22_3	k141_131909	1122	1457	+	336	144	0.384445
22_4	k141_131909	1510	1647	+	138	28	0.182008
23_1	k141_153892	1	327	-	327	18	0.0493783
23_2	k141_153892	378	638	-	261	20	0.0687386
23_3	k141_153892	672	1214	-	543	11	0.0181721
24_1	k141_142900	1	141	+	141	0	0
24_2	k141_142900	145	1002	+	858	2	0.002091
24_3	k141_142900	1098	1589	+	492	0	0
24_4	k141_142900	1582	2328	+	747	6	0.00720513
24_5	k141_142900	2459	2593	+	135	0	0
25_1	k141_21987	2	1693	+	1692	29	0.0153748
25_2	k141_21987	1666	2811	+	1146	19	0.0148724
25_3	k141_21987	3076	3831	-	756	22	0.0261043
26_1	k141_186859	420	671	-	252	57	0.202902
26_2	k141_186859	823	1167	+	345	38	0.0988043
26_3	k141_186859	1161	1517	+	357	31	0.0778941
26_4	k141_186859	1587	3185	+	1599	156	0.087516
27_1	k141_11001	1	1083	+	1083	21	0.0173941
28_1	k141_87946	3	1250	+	1248	16	0.0115005
29_1	k141_208842	1	297	-	297	5	0.0151017
29_2	k141_208842	525	1814	-	1290	22	0.0152983
29_3	k141_208842	1977	2309	-	333	3	0.00808143
30_1	k141_21988	3	170	-	168	2	0.010679
30_2	k141_21988	436	1038	-	603	6	0.00892576
31_1	k141_153894	1	516	-	516	7	0.0121691
32_1	k141_98932	50	1444	+	1395	43	0.0276507
32_2	k141_98932	1511	2041	-	531	14	0.0236507
32_3	k141_98932	2080	2730	-	651	13	0.0179132
32_4	k141_98932	2727	3143	-	417	10	0.0215117
32_5	k141_98932	3270	4808	+	1539	58	0.0338065
33_1	k141_142903	559	1086	-	528	4	0.00679575
34_1	k141_21989	1	264	+	264	0	0
34_2	k141_21989	267	1025	+	759	7	0.00827309
34_3	k141_21989	1043	1189	+	147	5	0.0305115
35_1	k141_153895	2	1159	+	1158	8	0.00619716
36_1	k141_197861	1	75	+	75	0	0
36_2	k141_197861	56	655	+	600	1	0.00149507
36_3	k141_197861	687	1211	+	525	2	0.00341729
36_4	k141_197861	1220	1321	-	102	0	0
37_1	k141_109936	1	525	+	525	2	0.00341729
37_2	k141_109936	518	1162	+	645	3	0.00417227
38_1	k141_43978	2	202	+	201	2	0.00892576
38_2	k141_43978	211	1230	+	1020	12	0.0105534
39_1	k141_164880	104	832	-	729	17	0.0209186
39_2	k141_164880	1088	2365	+	1278	24	0.0168458
39_3	k141_164880	2349	2579	+	231	1	0.00388329
39_4	k141_164880	2564	4201	+	1638	21	0.0115005
40_1	k141_208843	2	205	+	204	3	0.0131918
40_2	k141_208843	340	642	+	303	8	0.0236842
40_3	k141_208843	726	1286	+	561	4	0.006396
40_4	k141_208843	1283	1999	+	717	27	0.0337797
40_5	k141_208843	2089	2382	+	294	18	0.0549208
41_1	k141_54976	2	1906	+	1905	12	0.00565064
42_1	k141_142904	1	927	-	927	15	0.0145152
42_2	k141_142904	942	1634	-	693	2	0.00258886
42_3	k141_142904	1867	2112	-	246	2	0.007293
43_1	k141_120921	3	1016	-	1014	7	0.00619258
43_2	k141_120921	1115	2548	-	1434	16	0.0100088
43_3	k141_120921	2570	3262	-	693	8	0.0103554
43_4	k141_120921	3321	3425	-	105	1	0.00854323
44_1	k141_87949	128	688	-	561	14	0.022386
44_2	k141_87949	1225	2277	-	1053	18	0.015334
45_1	k141_186866	392	637	-	246	65	0.237023
45_2	k141_186866	1121	1267	-	147	44	0.268501
46_1	k141_21990	3	290	+	288	2	0.00622944
46_2	k141_21990	646	2019	+	1374	12	0.0078344
47_1	k141_109938	3	905	-	903	58	0.0576171
47_2	k141_109938	1141	1389	-	249	8	0.0288205
48_1	k141_11002	1	594	+	594	10	0.0151017
48_2	k141_11002	595	1221	+	627	18	0.0257523
48_3	k141_11002	1282	2010	+	729	12	0.0147661
48_4	k141_11002	2099	2545	+	447	6	0.0120408
48_5	k141_11002	2518	3192	+	675	17	0.0225921
48_6	k141_11002	3215	3994	+	780	12	0.0138006
49_1	k141_175871	2	868	+	867	198	0.20486
49_2	k141_175871	881	1405	-	525	155	0.26484
49_3	k141_175871	2041	2583	+	543	209	0.345269
49_4	k141_175871	2580	3311	+	732	404	0.495087
49_5	k141_175871	3324	4205	+	882	450	0.457673
49_6	k141_175871	4202	5296	+	1095	365	0.299013
50_1	k141_32981	1	264	+	264	4	0.0135915
50_2	k141_32981	251	760	+	510	3	0.0052767
50_3	k141_32981	1013	4498	+	3486	38	0.0097784
50_4	k141_32981	4499	4795	+	297	10	0.0302033
51_1	k141_98937	143	1336	+	1194	14	0.010518
51_2	k141_98937	1346	1726	+	381	3	0.0070633
51_3	k141_98937	1882	2007	+	126	2	0.0142387
52_1	k141_208848	374	1135	+	762	12	0.0141266
53_1	k141_109940	6	416	-	411	2	0.00436515
53_2	k141_109940	662	1207	+	546	6	0.00985757
54_1	k141_142908	2	727	+	726	3	0.00370677
54_2	k141_142908	803	1282	+	480	4	0.00747533
55_1	k141_153900	204	998	+	795	13	0.0146686
55_2	k141_153900	1069	1824	+	756	6	0.00711936
56_1	k141_54980	3	596	-	594	6	0.009061
56_2	k141_54980	846	1550	-	705	6	0.00763438
57_1	k141_76952	235	1503	-	1269	25	0.0176722
57_2	k141_76952	1736	2326	+	591	10	0.0151783
57_3	k141_76952	2435	3130	-	696	16	0.0206216
57_4	k141_76952	3212	4420	-	1209	16	0.0118715
57_5	k141_76952	4564	5949	-	1386	26	0.0168276
57_6	k141_76952	5972	6346	-	375	1	0.0023921
57_7	k141_76952	6574	8022	+	1449	35	0.0216676
57_8	k141_76952	8206	8595	-	390	6	0.0138006
58_1	k141_131919	3	1481	+	1479	11	0.00667169
58_2	k141_131919	1735	2760	-	1026	1	0.000874307
58_3	k141_131919	2804	4276	+	1473	16	0.00974381
59_1	k141_186871	1	675	+	675	14	0.0186053
59_2	k141_186871	923	1504	+	582	20	0.0308261
60_1	k141_208852	2	1021	+	1020	21	0.0184685
61_1	k141_54981	3	407	-	405	6	0.0132895
61_2	k141_54981	546	1292	-	747	2	0.00240171
62_1	k141_76953	77	1054	-	978	10	0.00917218
