# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_7_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_7/G19_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_7/G19_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_7/G19_2.bam	RPKG
1_1	k141_142892	1	1188	+	1188	15	0.00773712
2_1	k141_21984	3	233	+	231	1	0.00265273
2_2	k141_21984	677	1621	-	945	5	0.00324222
3_1	k141_98928	3	80	-	78	2	0.0157123
3_2	k141_98928	359	1729	+	1371	34	0.0151966
4_1	k141_1	171	278	-	108	337	1.9121
5_1	k141_131902	3	614	+	612	10	0.0100127
5_2	k141_131902	676	1320	+	645	7	0.00665032
5_3	k141_131902	1336	1473	+	138	0	0
6_1	k141_186857	3	803	-	801	5	0.00382509
6_2	k141_186857	836	1489	-	654	4	0.00374789
7_1	k141_87937	2	313	+	312	4	0.00785615
7_2	k141_87937	346	1020	+	675	13	0.0118017
7_3	k141_87937	1108	1551	+	444	8	0.0110411
8_1	k141_76944	1	1884	+	1884	63	0.020491
8_2	k141_76944	2200	2778	+	579	171	0.180976
8_3	k141_76944	2797	3000	+	204	81	0.24331
8_4	k141_76944	3055	3405	+	351	128	0.223464
8_5	k141_76944	3279	3545	-	267	74	0.169834
8_6	k141_76944	3624	4322	+	699	351	0.307705
9_1	k141_164875	1	615	-	615	49	0.0488231
9_2	k141_164875	903	1880	+	978	34	0.0213032
10_1	k141_54962	1	468	+	468	4	0.00523744
10_2	k141_54962	545	1474	+	930	11	0.00724793
11_1	k141_142897	2	433	+	432	11	0.0156032
11_2	k141_142897	774	1028	-	255	3	0.00720918
12_1	k141_109924	1	81	-	81	4	0.0302607
12_2	k141_109924	541	1137	+	597	10	0.0102643
13_1	k141_175869	1	1944	-	1944	49	0.0154456
13_2	k141_175869	1941	2192	-	252	0	0
14_1	k141_10996	1	120	-	120	0	0
14_2	k141_10996	131	286	-	156	0	0
14_3	k141_10996	307	519	-	213	1	0.0028769
14_4	k141_10996	516	701	-	186	4	0.0131781
14_5	k141_10996	711	899	-	189	1	0.00324222
14_6	k141_10996	910	1227	-	318	0	0
14_7	k141_10996	1251	1472	-	222	2	0.00552054
14_8	k141_10996	1448	1780	-	333	0	0
15_1	k141_153890	3	209	-	207	1	0.00296029
15_2	k141_153890	236	730	-	495	8	0.00990351
16_1	k141_164878	102	260	-	159	0	0
16_2	k141_164878	250	1650	-	1401	15	0.00656081
16_3	k141_164878	1658	1792	-	135	3	0.0136173
17_1	k141_208841	3	1268	+	1266	19	0.00919654
17_2	k141_208841	1296	2546	+	1251	15	0.00734748
18_1	k141_32978	2	880	+	879	37	0.0257939
18_2	k141_32978	1000	2877	+	1878	43	0.0140306
18_3	k141_32978	2958	4346	+	1389	26	0.0114703
19_1	k141_175870	2	1036	-	1035	10	0.00592058
20_1	k141_120917	1	879	+	879	19	0.0132455
20_2	k141_120917	888	1496	+	609	5	0.00503103
20_3	k141_120917	1504	2106	-	603	4	0.00406488
21_1	k141_43973	1	2013	-	2013	38	0.0115676
22_1	k141_131909	2	202	+	201	160	0.487785
22_2	k141_131909	500	1090	+	591	665	0.689507
22_3	k141_131909	1122	1457	+	336	431	0.786036
22_4	k141_131909	1510	1647	+	138	60	0.266426
23_1	k141_153892	1	327	-	327	54	0.101193
23_2	k141_153892	378	638	-	261	41	0.0962604
23_3	k141_153892	672	1214	-	543	30	0.0338552
24_1	k141_142900	1	141	+	141	1	0.00434596
24_2	k141_142900	145	1002	+	858	13	0.00928454
24_3	k141_142900	1098	1589	+	492	12	0.0149459
24_4	k141_142900	1582	2328	+	747	10	0.00820321
24_5	k141_142900	2459	2593	+	135	2	0.00907822
25_1	k141_21987	2	1693	+	1692	111	0.0402001
25_2	k141_21987	1666	2811	+	1146	47	0.0251315
25_3	k141_21987	3076	3831	-	756	48	0.0389067
26_1	k141_186859	420	671	-	252	173	0.420678
26_2	k141_186859	823	1167	+	345	110	0.195379
26_3	k141_186859	1161	1517	+	357	72	0.123586
26_4	k141_186859	1587	3185	+	1599	333	0.127615
27_1	k141_11001	1	1083	+	1083	12	0.00678981
28_1	k141_87946	3	1250	+	1248	13	0.00638312
29_1	k141_208842	1	297	-	297	7	0.0144426
29_2	k141_208842	525	1814	-	1290	38	0.0180509
29_3	k141_208842	1977	2309	-	333	4	0.00736072
30_1	k141_21988	3	170	-	168	3	0.0109425
30_2	k141_21988	436	1038	-	603	11	0.0111784
31_1	k141_153894	1	516	-	516	7	0.00831291
32_1	k141_98932	50	1444	+	1395	118	0.0518337
32_2	k141_98932	1511	2041	-	531	26	0.0300043
32_3	k141_98932	2080	2730	-	651	26	0.0244735
32_4	k141_98932	2727	3143	-	417	32	0.0470239
32_5	k141_98932	3270	4808	+	1539	118	0.0469838
33_1	k141_142903	559	1086	-	528	15	0.0174085
34_1	k141_21989	1	264	+	264	2	0.00464227
34_2	k141_21989	267	1025	+	759	16	0.0129176
34_3	k141_21989	1043	1189	+	147	0	0
35_1	k141_153895	2	1159	+	1158	21	0.0111126
36_1	k141_197861	1	75	+	75	0	0
36_2	k141_197861	56	655	+	600	11	0.0112343
36_3	k141_197861	687	1211	+	525	12	0.0140064
36_4	k141_197861	1220	1321	-	102	0	0
37_1	k141_109936	1	525	+	525	10	0.011672
37_2	k141_109936	518	1162	+	645	10	0.00950046
38_1	k141_43978	2	202	+	201	0	0
38_2	k141_43978	211	1230	+	1020	12	0.00720918
39_1	k141_164880	104	832	-	729	35	0.0294202
39_2	k141_164880	1088	2365	+	1278	32	0.0153435
39_3	k141_164880	2349	2579	+	231	1	0.00265273
39_4	k141_164880	2564	4201	+	1638	33	0.0123454
40_1	k141_208843	2	205	+	204	4	0.0120153
40_2	k141_208843	340	642	+	303	6	0.0121343
40_3	k141_208843	726	1286	+	561	6	0.0065538
40_4	k141_208843	1283	1999	+	717	45	0.038459
40_5	k141_208843	2089	2382	+	294	36	0.0750343
41_1	k141_54976	2	1906	+	1905	32	0.0102934
42_1	k141_142904	1	927	-	927	14	0.0092545
42_2	k141_142904	942	1634	-	693	36	0.0318327
42_3	k141_142904	1867	2112	-	246	3	0.00747293
43_1	k141_120921	3	1016	-	1014	16	0.00966911
43_2	k141_120921	1115	2548	-	1434	19	0.00811912
43_3	k141_120921	2570	3262	-	693	4	0.00353697
43_4	k141_120921	3321	3425	-	105	0	0
44_1	k141_87949	128	688	-	561	20	0.021846
44_2	k141_87949	1225	2277	-	1053	27	0.0157123
45_1	k141_186866	392	637	-	246	103	0.25657
45_2	k141_186866	1121	1267	-	147	41	0.170911
46_1	k141_21990	3	290	+	288	9	0.0191494
46_2	k141_21990	646	2019	+	1374	17	0.0075817
47_1	k141_109938	3	905	-	903	161	0.109255
47_2	k141_109938	1141	1389	-	249	39	0.0959776
48_1	k141_11002	1	594	+	594	12	0.0123794
48_2	k141_11002	595	1221	+	627	15	0.0146598
48_3	k141_11002	1282	2010	+	729	7	0.00588403
48_4	k141_11002	2099	2545	+	447	7	0.00959611
48_5	k141_11002	2518	3192	+	675	9	0.0081704
48_6	k141_11002	3215	3994	+	780	5	0.00392808
49_1	k141_175871	2	868	+	867	576	0.407106
49_2	k141_175871	881	1405	-	525	583	0.680477
49_3	k141_175871	2041	2583	+	543	621	0.700804
49_4	k141_175871	2580	3311	+	732	1043	0.873128
49_5	k141_175871	3324	4205	+	882	1089	0.756596
49_6	k141_175871	4202	5296	+	1095	1036	0.579763
50_1	k141_32981	1	264	+	264	1	0.00232114
50_2	k141_32981	251	760	+	510	11	0.0132168
50_3	k141_32981	1013	4498	+	3486	47	0.00826181
50_4	k141_32981	4499	4795	+	297	0	0
51_1	k141_98937	143	1336	+	1194	62	0.0318194
51_2	k141_98937	1346	1726	+	381	4	0.00643338
51_3	k141_98937	1882	2007	+	126	1	0.00486333
52_1	k141_208848	374	1135	+	762	38	0.0305586
53_1	k141_109940	6	416	-	411	1	0.00149095
53_2	k141_109940	662	1207	+	546	5	0.00561154
54_1	k141_142908	2	727	+	726	9	0.00759645
54_2	k141_142908	803	1282	+	480	14	0.0178727
55_1	k141_153900	204	998	+	795	12	0.00924951
55_2	k141_153900	1069	1824	+	756	11	0.00891611
56_1	k141_54980	3	596	-	594	9	0.00928454
56_2	k141_54980	846	1550	-	705	17	0.0147763
57_1	k141_76952	235	1503	-	1269	63	0.0304217
57_2	k141_76952	1736	2326	+	591	27	0.027995
57_3	k141_76952	2435	3130	-	696	27	0.0237716
57_4	k141_76952	3212	4420	-	1209	64	0.0324383
57_5	k141_76952	4564	5949	-	1386	51	0.0225482
57_6	k141_76952	5972	6346	-	375	27	0.0441202
57_7	k141_76952	6574	8022	+	1449	54	0.0228365
57_8	k141_76952	8206	8595	-	390	9	0.0141411
58_1	k141_131919	3	1481	+	1479	26	0.0107723
58_2	k141_131919	1735	2760	-	1026	19	0.0113478
58_3	k141_131919	2804	4276	+	1473	24	0.00998419
