Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_15/E17_2.bam	RPKG	geneLoc	geneNum	Score
18864_4	k141_63702	2180	3178	-	999	42	0.0363808	Stool_15.k141_63702_4/1-328	Stool_15.k141_63702_4	487.7
20245_12	k141_44398	11884	12918	+	1035	9	0.00752473	Stool_15.k141_44398_12/1-343	Stool_15.k141_44398_12	478.5
5925_11	k141_54146	9913	11040	+	1128	9	0.00690434	Stool_15.k141_54146_11/1-333	Stool_15.k141_54146_11	465.7
1167_6	k141_61003	6749	7783	+	1035	84	0.0702308	Stool_15.k141_61003_6/1-337	Stool_15.k141_61003_6	443.4
12298_6	k141_51021	3703	4743	+	1041	20	0.0166252	Stool_15.k141_51021_6/1-338	Stool_15.k141_51021_6	435.4
23258_29	k141_75077	29554	30591	-	1038	145	0.120881	Stool_15.k141_75077_29/1-338	Stool_15.k141_75077_29	430.2
9276_10	k141_20362	10953	11897	+	945	16	0.0146513	Stool_15.k141_20362_10/1-315	Stool_15.k141_20362_10	426.8
346_4	k141_26681	2754	3800	-	1047	2	0.001653	Stool_15.k141_26681_4/1-339	Stool_15.k141_26681_4	422.3
21173_1	k141_67659	2	976	+	975	18	0.0159756	Stool_15.k141_67659_1/1-318	Stool_15.k141_67659_1	412.8
12737_15	k141_28382	14685	15746	+	1062	47	0.0382967	Stool_15.k141_28382_15/7-343	Stool_15.k141_28382_15	382.0
15154_1	k141_74040	2	814	+	813	9	0.00957945	Stool_15.k141_74040_1/1-260	Stool_15.k141_74040_1	343.8
397_2	k141_3836	76	870	+	795	3	0.00326545	Stool_15.k141_3836_2/4-264	Stool_15.k141_3836_2	450.2
20245_13	k141_44398	12920	13714	+	795	16	0.0174157	Stool_15.k141_44398_13/4-264	Stool_15.k141_44398_13	436.2
18864_3	k141_63702	1390	2178	-	789	22	0.0241287	Stool_15.k141_63702_3/3-262	Stool_15.k141_63702_3	432.9
5925_12	k141_54146	11040	11834	+	795	7	0.00761938	Stool_15.k141_54146_12/5-264	Stool_15.k141_54146_12	421.9
13047_3	k141_24681	1535	2263	-	729	5	0.00593514	Stool_15.k141_24681_3/1-242	Stool_15.k141_24681_3	400.9
12737_16	k141_28382	15736	16536	+	801	24	0.0259279	Stool_15.k141_28382_16/8-266	Stool_15.k141_28382_16	334.2
1167_7	k141_61003	7802	8593	+	792	48	0.0524451	Stool_15.k141_61003_7/4-263	Stool_15.k141_61003_7	331.3
21173_2	k141_67659	993	1784	+	792	7	0.00764824	Stool_15.k141_67659_2/4-263	Stool_15.k141_67659_2	328.4
12298_7	k141_51021	4736	5530	+	795	11	0.0119733	Stool_15.k141_51021_7/7-264	Stool_15.k141_51021_7	327.8
15154_2	k141_74040	818	1609	+	792	8	0.00874084	Stool_15.k141_74040_2/4-263	Stool_15.k141_74040_2	327.8
18210_1	k141_25513	3	788	+	786	1	0.00110095	Stool_15.k141_25513_1/2-261	Stool_15.k141_25513_1	327.7
20050_10	k141_29517	10770	11561	-	792	7	0.00764824	Stool_15.k141_29517_10/4-263	Stool_15.k141_29517_10	327.5
346_3	k141_26681	1961	2761	-	801	0	0	Stool_15.k141_26681_3/4-266	Stool_15.k141_26681_3	321.7
13314_1	k141_36048	97	897	+	801	18	0.0194459	Stool_15.k141_36048_1/4-266	Stool_15.k141_36048_1	317.2
23258_28	k141_75077	28746	29537	-	792	148	0.161706	Stool_15.k141_75077_28/6-263	Stool_15.k141_75077_28	313.1
20245_14	k141_44398	13728	14690	+	963	10	0.00898591	Stool_15.k141_44398_14/2-315	Stool_15.k141_44398_14	568.7
5925_13	k141_54146	11845	12807	+	963	1	0.000898591	Stool_15.k141_54146_13/2-315	Stool_15.k141_54146_13	565.9
13047_2	k141_24681	562	1524	-	963	4	0.00359437	Stool_15.k141_24681_2/2-315	Stool_15.k141_24681_2	564.8
18864_2	k141_63702	411	1376	-	966	49	0.0438942	Stool_15.k141_63702_2/2-315	Stool_15.k141_63702_2	527.0
397_3	k141_3836	883	1689	+	807	2	0.00214459	Stool_15.k141_3836_3/2-269	Stool_15.k141_3836_3	473.4
20050_9	k141_29517	9714	10751	-	1038	11	0.00917031	Stool_15.k141_29517_9/4-321	Stool_15.k141_29517_9	386.6
15154_3	k141_74040	1627	2667	+	1041	21	0.0174565	Stool_15.k141_74040_3/4-321	Stool_15.k141_74040_3	383.2
15460_1	k141_6077	19	1065	+	1047	7	0.00578549	Stool_15.k141_6077_1/4-321	Stool_15.k141_6077_1	382.3
12298_8	k141_51021	5543	6580	+	1038	27	0.0225089	Stool_15.k141_51021_8/4-321	Stool_15.k141_51021_8	380.9
1167_8	k141_61003	8613	9677	+	1065	84	0.0682524	Stool_15.k141_61003_8/4-321	Stool_15.k141_61003_8	377.3
18210_2	k141_25513	807	1862	+	1056	9	0.00737509	Stool_15.k141_25513_2/4-321	Stool_15.k141_25513_2	374.2
12737_17	k141_28382	16550	17572	+	1023	64	0.0541368	Stool_15.k141_28382_17/3-319	Stool_15.k141_28382_17	363.9
23258_27	k141_75077	27660	28727	-	1068	145	0.117486	Stool_15.k141_75077_27/4-331	Stool_15.k141_75077_27	362.7
18150_1	k141_25493	1	1017	+	1017	3	0.00255264	Stool_15.k141_25493_1/2-308	Stool_15.k141_25493_1	361.2
346_2	k141_26681	941	1945	-	1005	8	0.00688831	Stool_15.k141_26681_2/4-319	Stool_15.k141_26681_2	353.8
13314_2	k141_36048	910	1794	+	885	8	0.00782231	Stool_15.k141_36048_2/4-295	Stool_15.k141_36048_2	333.2
