Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_15/E19_2.bam	RPKG	geneLoc	geneNum	Score
18864_4	k141_63702	2180	3178	-	999	65	0.0345012	Stool_15.k141_63702_4/1-328	Stool_15.k141_63702_4	487.7
20245_12	k141_44398	11884	12918	+	1035	8	0.0040986	Stool_15.k141_44398_12/1-343	Stool_15.k141_44398_12	478.5
5925_11	k141_54146	9913	11040	+	1128	24	0.0112821	Stool_15.k141_54146_11/1-333	Stool_15.k141_54146_11	465.7
1167_6	k141_61003	6749	7783	+	1035	50	0.0256163	Stool_15.k141_61003_6/1-337	Stool_15.k141_61003_6	443.4
12298_6	k141_51021	3703	4743	+	1041	11	0.0056031	Stool_15.k141_51021_6/1-338	Stool_15.k141_51021_6	435.4
23258_29	k141_75077	29554	30591	-	1038	176	0.0899086	Stool_15.k141_75077_29/1-338	Stool_15.k141_75077_29	430.2
9276_10	k141_20362	10953	11897	+	945	18	0.0101001	Stool_15.k141_20362_10/1-315	Stool_15.k141_20362_10	426.8
346_4	k141_26681	2754	3800	-	1047	11	0.00557099	Stool_15.k141_26681_4/1-339	Stool_15.k141_26681_4	422.3
21173_1	k141_67659	2	976	+	975	15	0.00815779	Stool_15.k141_67659_1/1-318	Stool_15.k141_67659_1	412.8
12737_15	k141_28382	14685	15746	+	1062	20	0.009986	Stool_15.k141_28382_15/7-343	Stool_15.k141_28382_15	382.0
15154_1	k141_74040	2	814	+	813	10	0.00652222	Stool_15.k141_74040_1/1-260	Stool_15.k141_74040_1	343.8
397_2	k141_3836	76	870	+	795	4	0.00266796	Stool_15.k141_3836_2/4-264	Stool_15.k141_3836_2	450.2
20245_13	k141_44398	12920	13714	+	795	6	0.00400194	Stool_15.k141_44398_13/4-264	Stool_15.k141_44398_13	436.2
18864_3	k141_63702	1390	2178	-	789	40	0.0268825	Stool_15.k141_63702_3/3-262	Stool_15.k141_63702_3	432.9
5925_12	k141_54146	11040	11834	+	795	12	0.00800387	Stool_15.k141_54146_12/5-264	Stool_15.k141_54146_12	421.9
13047_3	k141_24681	1535	2263	-	729	2	0.00145475	Stool_15.k141_24681_3/1-242	Stool_15.k141_24681_3	400.9
12737_16	k141_28382	15736	16536	+	801	20	0.0132399	Stool_15.k141_28382_16/8-266	Stool_15.k141_28382_16	334.2
1167_7	k141_61003	7802	8593	+	792	43	0.0287892	Stool_15.k141_61003_7/4-263	Stool_15.k141_61003_7	331.3
21173_2	k141_67659	993	1784	+	792	8	0.00535613	Stool_15.k141_67659_2/4-263	Stool_15.k141_67659_2	328.4
12298_7	k141_51021	4736	5530	+	795	11	0.00733688	Stool_15.k141_51021_7/7-264	Stool_15.k141_51021_7	327.8
15154_2	k141_74040	818	1609	+	792	10	0.00669516	Stool_15.k141_74040_2/4-263	Stool_15.k141_74040_2	327.8
18210_1	k141_25513	3	788	+	786	2	0.00134925	Stool_15.k141_25513_1/2-261	Stool_15.k141_25513_1	327.7
20050_10	k141_29517	10770	11561	-	792	11	0.00736467	Stool_15.k141_29517_10/4-263	Stool_15.k141_29517_10	327.5
346_3	k141_26681	1961	2761	-	801	16	0.0105919	Stool_15.k141_26681_3/4-266	Stool_15.k141_26681_3	321.7
13314_1	k141_36048	97	897	+	801	13	0.00860591	Stool_15.k141_36048_1/4-266	Stool_15.k141_36048_1	317.2
23258_28	k141_75077	28746	29537	-	792	160	0.107123	Stool_15.k141_75077_28/6-263	Stool_15.k141_75077_28	313.1
20245_14	k141_44398	13728	14690	+	963	17	0.00936071	Stool_15.k141_44398_14/2-315	Stool_15.k141_44398_14	568.7
5925_13	k141_54146	11845	12807	+	963	16	0.00881008	Stool_15.k141_54146_13/2-315	Stool_15.k141_54146_13	565.9
13047_2	k141_24681	562	1524	-	963	5	0.00275315	Stool_15.k141_24681_2/2-315	Stool_15.k141_24681_2	564.8
18864_2	k141_63702	411	1376	-	966	73	0.0400711	Stool_15.k141_63702_2/2-315	Stool_15.k141_63702_2	527.0
397_3	k141_3836	883	1689	+	807	13	0.00854193	Stool_15.k141_3836_3/2-269	Stool_15.k141_3836_3	473.4
20050_9	k141_29517	9714	10751	-	1038	21	0.0107277	Stool_15.k141_29517_9/4-321	Stool_15.k141_29517_9	386.6
15154_3	k141_74040	1627	2667	+	1041	13	0.00662184	Stool_15.k141_74040_3/4-321	Stool_15.k141_74040_3	383.2
15460_1	k141_6077	19	1065	+	1047	9	0.00455808	Stool_15.k141_6077_1/4-321	Stool_15.k141_6077_1	382.3
12298_8	k141_51021	5543	6580	+	1038	4	0.00204338	Stool_15.k141_51021_8/4-321	Stool_15.k141_51021_8	380.9
1167_8	k141_61003	8613	9677	+	1065	69	0.0343547	Stool_15.k141_61003_8/4-321	Stool_15.k141_61003_8	377.3
18210_2	k141_25513	807	1862	+	1056	12	0.00602564	Stool_15.k141_25513_2/4-321	Stool_15.k141_25513_2	374.2
12737_17	k141_28382	16550	17572	+	1023	21	0.010885	Stool_15.k141_28382_17/3-319	Stool_15.k141_28382_17	363.9
23258_27	k141_75077	27660	28727	-	1068	200	0.099299	Stool_15.k141_75077_27/4-331	Stool_15.k141_75077_27	362.7
18150_1	k141_25493	1	1017	+	1017	12	0.00625671	Stool_15.k141_25493_1/2-308	Stool_15.k141_25493_1	361.2
346_2	k141_26681	941	1945	-	1005	6	0.00316571	Stool_15.k141_26681_2/4-319	Stool_15.k141_26681_2	353.8
13314_2	k141_36048	910	1794	+	885	5	0.0029958	Stool_15.k141_36048_2/4-295	Stool_15.k141_36048_2	333.2
