# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_13_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_13/G11_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_13/G11_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_13/G11_2.bam	RPKG
1_1	k141_210480	54	1022	-	969	6	0.00304929
2_1	k141_42096	2	112	-	111	0	0
2_2	k141_42096	105	386	-	282	0	0
2_3	k141_42096	470	1174	-	705	0	0
3_1	k141_196448	59	505	+	447	0	0
3_2	k141_196448	679	1284	+	606	2	0.00162528
4_1	k141_0	146	394	+	249	59	0.116687
4_2	k141_0	444	1469	-	1026	390	0.187192
4_3	k141_0	1466	1555	-	90	2	0.0109436
5_1	k141_266606	2	151	-	150	1	0.00328307
5_2	k141_266606	212	808	+	597	8	0.00659913
6_1	k141_84192	2	1057	-	1056	10	0.00466345
6_2	k141_84192	1074	1790	-	717	5	0.00343417
7_1	k141_56128	1	135	-	135	0	0
7_2	k141_56128	554	760	+	207	2	0.00475807
7_3	k141_56128	892	2319	-	1428	1	0.00034486
8_1	k141_112257	3	482	-	480	0	0
8_2	k141_112257	617	877	-	261	0	0
8_3	k141_112257	889	1425	-	537	0	0
8_4	k141_112257	1428	1658	-	231	0	0
8_5	k141_112257	1770	2015	+	246	0	0
9_1	k141_140321	2	823	-	822	0	0
9_2	k141_140321	823	1764	-	942	1	0.000522782
9_3	k141_140321	1789	2220	-	432	1	0.00113995
10_1	k141_238543	1	435	+	435	6	0.00679256
10_2	k141_238543	452	1348	+	897	19	0.0104312
10_3	k141_238543	1360	1599	+	240	0	0
10_4	k141_238543	1604	2740	+	1137	10	0.00433122
11_1	k141_196450	58	198	-	141	0	0
11_2	k141_196450	369	869	-	501	6	0.00589773
11_3	k141_196450	940	1032	-	93	1	0.00529527
12_1	k141_182419	11	1801	-	1791	1	0.000274964
13_1	k141_266607	2	205	+	204	6	0.0144841
13_2	k141_266607	389	1297	+	909	42	0.0227539
13_3	k141_266607	1516	1581	+	66	0	0
14_1	k141_98230	3	722	+	720	0	0
14_2	k141_98230	748	1005	+	258	0	0
15_1	k141_112259	1	480	-	480	4	0.00410384
15_2	k141_112259	708	1397	+	690	9	0.00642339
16_1	k141_84195	121	948	-	828	0	0
16_2	k141_84195	1008	1295	-	288	0	0
16_3	k141_84195	1353	1499	-	147	0	0
17_1	k141_238545	1	258	-	258	0	0
17_2	k141_238545	274	1266	-	993	6	0.00297559
18_1	k141_126289	3	284	-	282	9	0.0157168
18_2	k141_126289	281	514	-	234	19	0.0399861
18_3	k141_126289	1012	1668	+	657	55	0.0412257
18_4	k141_126289	1742	3025	+	1284	77	0.0295323
18_5	k141_126289	3680	3844	-	165	11	0.0328307
19_1	k141_182422	2	745	+	744	0	0
19_2	k141_182422	735	1214	+	480	0	0
20_1	k141_70164	1	420	-	420	0	0
20_2	k141_70164	469	1761	-	1293	7	0.00266606
20_3	k141_70164	1767	2756	-	990	13	0.00646665
20_4	k141_70164	2949	3107	+	159	0	0
21_1	k141_42098	29	958	+	930	5	0.00264764
21_2	k141_42098	1132	1515	-	384	0	0
21_3	k141_42098	1515	1763	-	249	0	0
21_4	k141_42098	1962	2879	+	918	4	0.0021458
21_5	k141_42098	2893	3849	-	957	3	0.00154376
22_1	k141_154357	3	626	-	624	0	0
22_2	k141_154357	669	1127	-	459	0	0
22_3	k141_154357	1243	2295	+	1053	0	0
22_4	k141_154357	2342	3160	-	819	0	0
22_5	k141_154357	3287	3574	+	288	0	0
23_1	k141_28064	211	927	+	717	11	0.00755518
23_2	k141_28064	940	1986	+	1047	2	0.000940707
23_3	k141_28064	2027	5233	+	3207	15	0.00230337
23_4	k141_28064	5279	5674	-	396	0	0
24_1	k141_14035	1	114	-	114	9	0.0388784
24_2	k141_14035	404	1051	-	648	32	0.024319
24_3	k141_14035	1275	1979	+	705	33	0.0230513
24_4	k141_14035	2090	4096	-	2007	91	0.0223288
24_5	k141_14035	4098	5675	-	1578	68	0.0212214
25_1	k141_224512	3	470	-	468	2	0.00210453
25_2	k141_224512	556	1182	-	627	20	0.0157085
25_3	k141_224512	1176	2201	-	1026	31	0.0148794
25_4	k141_224512	2230	2736	-	507	5	0.00485661
25_5	k141_224512	2823	4871	-	2049	70	0.0168239
25_6	k141_224512	4966	5280	-	315	4	0.00625346
25_7	k141_224512	5273	5734	-	462	9	0.00959338
25_8	k141_224512	5739	5891	-	153	2	0.00643739
25_9	k141_224512	5914	6594	-	681	22	0.0159091
26_1	k141_112260	3	428	-	426	53	0.0612685
26_2	k141_112260	540	641	+	102	1	0.00482804
26_3	k141_112260	1239	1661	+	423	2	0.00232842
26_4	k141_112260	1731	2507	+	777	15	0.00950695
26_5	k141_112260	2628	2735	+	108	0	0
27_1	k141_140329	1	120	-	120	0	0
27_2	k141_140329	139	1449	-	1311	4	0.00150255
28_1	k141_182423	2	583	+	582	16	0.0135384
28_2	k141_182423	783	1535	-	753	32	0.0209279
28_3	k141_182423	1799	2017	+	219	10	0.0224868
29_1	k141_238550	315	2273	+	1959	33	0.00829566
30_1	k141_168386	2	6193	+	6192	75	0.00596488
31_1	k141_252574	2	556	+	555	5	0.00443658
31_2	k141_252574	632	1834	-	1203	6	0.00245616
31_3	k141_252574	1980	2180	+	201	1	0.00245005
31_4	k141_252574	2137	4452	+	2316	8	0.00170107
31_5	k141_252574	4463	5428	+	966	8	0.00407835
31_6	k141_252574	5437	6354	+	918	11	0.00590094
31_7	k141_252574	6457	7845	+	1389	13	0.00460906
32_1	k141_56137	1	1566	+	1566	87	0.0273589
32_2	k141_56137	1753	2025	-	273	10	0.0180388
33_1	k141_42105	153	1406	+	1254	9	0.0035344
34_1	k141_70172	1	543	+	543	3	0.00272077
34_2	k141_70172	577	1416	+	840	5	0.00293131
35_1	k141_112261	2	223	+	222	1	0.00221829
35_2	k141_112261	662	1063	-	402	0	0
35_3	k141_112261	1092	1280	-	189	0	0
35_4	k141_112261	1430	1501	+	72	0	0
36_1	k141_266617	1	171	+	171	0	0
36_2	k141_266617	176	517	+	342	2	0.00287988
36_3	k141_266617	510	1205	+	696	4	0.00283023
36_4	k141_266617	1242	1802	+	561	6	0.00526695
36_5	k141_266617	1845	1916	+	72	0	0
37_1	k141_154364	1	1500	-	1500	83	0.0272495
38_1	k141_168387	1	2010	-	2010	2	0.00049001
39_1	k141_14042	662	1189	+	528	12	0.0111923
39_2	k141_14042	1227	1718	+	492	9	0.00900842
39_3	k141_14042	1960	2307	+	348	6	0.00849069
40_1	k141_42107	3	176	-	174	3	0.00849069
40_2	k141_42107	151	594	-	444	7	0.00776401
40_3	k141_42107	785	1003	-	219	1	0.00224868
41_1	k141_28069	2	763	+	762	8	0.00517019
41_2	k141_28069	817	1356	+	540	3	0.00273589
42_1	k141_98239	27	1775	-	1749	203	0.0571581
42_2	k141_98239	1776	3560	-	1785	257	0.0709032
43_1	k141_17	2	433	+	432	10	0.0113995
43_2	k141_17	430	909	+	480	5	0.00512979
43_3	k141_17	957	1166	+	210	1	0.00234505
43_4	k141_17	1180	2376	+	1197	0	0
43_5	k141_17	2363	3097	+	735	9	0.00603013
43_6	k141_17	3115	3483	+	369	2	0.00266916
44_1	k141_182427	49	912	-	864	169	0.0963261
44_2	k141_182427	909	2006	-	1098	163	0.0731066
45_1	k141_112266	3	857	+	855	35	0.0201592
45_2	k141_112266	1016	1285	+	270	14	0.025535
46_1	k141_238559	1	78	-	78	0	0
46_2	k141_238559	181	1524	-	1344	2	0.000732828
47_1	k141_56144	1	285	+	285	1	0.00172793
47_2	k141_56144	314	1084	+	771	1	0.000638729
48_1	k141_126296	70	906	-	837	26	0.0152975
48_2	k141_126296	1066	2973	-	1908	44	0.0113565
48_3	k141_126296	3094	4656	+	1563	28	0.00882206
48_4	k141_126296	4656	4751	+	96	0	0
49_1	k141_28071	41	949	+	909	10	0.0054176
49_2	k141_28071	964	1173	+	210	0	0
50_1	k141_266618	3	2771	+	2769	121	0.0215196
51_1	k141_14047	3	287	+	285	0	0
51_2	k141_14047	299	1027	+	729	0	0
51_3	k141_14047	1058	1936	+	879	0	0
52_1	k141_252577	2	424	+	423	0	0
52_2	k141_252577	447	791	-	345	0	0
52_3	k141_252577	905	2281	+	1377	4	0.00143053
52_4	k141_252577	2755	3537	-	783	0	0
53_1	k141_28072	2	1090	-	1089	0	0
54_1	k141_42112	1	771	+	771	13	0.00830348
54_2	k141_42112	821	1240	-	420	4	0.0046901
55_1	k141_154372	2	592	-	591	2	0.00166653
55_2	k141_154372	585	1010	-	426	3	0.00346803
56_1	k141_210482	3	596	+	594	14	0.0116068
56_2	k141_210482	786	1382	+	597	20	0.0164978
56_3	k141_210482	1646	3670	+	2025	73	0.0177529
56_4	k141_210482	3681	4964	+	1284	23	0.00882133
56_5	k141_210482	5014	6273	+	1260	19	0.00742599
56_6	k141_210482	6297	6776	+	480	17	0.0174413
56_7	k141_210482	6862	8502	-	1641	52	0.0156051
56_8	k141_210482	8648	8821	+	174	4	0.0113209
56_9	k141_210482	8844	9257	+	414	11	0.0130847
56_10	k141_210482	9502	11403	+	1902	51	0.0132048
57_1	k141_238562	2	328	+	327	0	0
57_2	k141_238562	469	1422	+	954	0	0
58_1	k141_28073	348	1067	-	720	4	0.00273589
59_1	k141_224516	44	1309	+	1266	3	0.00116697
59_2	k141_224516	1444	2931	+	1488	2	0.000661909
59_3	k141_224516	2996	3736	-	741	0	0
59_4	k141_224516	3958	4974	+	1017	0	0
59_5	k141_224516	4993	6153	+	1161	0	0
60_1	k141_98243	3	269	+	267	0	0
60_2	k141_98243	262	1329	+	1068	0	0
60_3	k141_98243	1408	2406	+	999	0	0
60_4	k141_98243	2584	3297	+	714	4	0.00275888
61_1	k141_238564	1	1293	-	1293	6	0.0022852
62_1	k141_126301	323	1018	+	696	26	0.0183965
62_2	k141_126301	1035	1544	+	510	14	0.0135185
62_3	k141_126301	1556	2068	+	513	16	0.0153594
63_1	k141_266620	42	926	-	885	32	0.0178065
63_2	k141_266620	939	2483	-	1545	242	0.0771362
63_3	k141_266620	2455	2613	-	159	0	0
64_1	k141_210485	2	1333	-	1332	4	0.00147886
64_2	k141_210485	1487	1582	-	96	0	0
65_1	k141_112280	2	1093	-	1092	0	0
66_1	k141_20	3	209	+	207	4	0.00951614
66_2	k141_20	206	1075	+	870	50	0.0283023
66_3	k141_20	1248	3182	-	1935	91	0.0231596
66_4	k141_20	3680	4426	-	747	32	0.021096
66_5	k141_20	4634	5149	-	516	19	0.0181332
67_1	k141_42118	2	1441	-	1440	0	0
67_2	k141_42118	1461	2060	-	600	0	0
67_3	k141_42118	2076	2174	-	99	0	0
68_1	k141_238567	2	427	-	426	0	0
68_2	k141_238567	461	1270	-	810	0	0
69_1	k141_28074	3	710	+	708	0	0
69_2	k141_28074	697	1041	+	345	0	0
69_3	k141_28074	1070	1603	+	534	0	0
69_4	k141_28074	1606	1812	+	207	0	0
69_5	k141_28074	1849	3246	+	1398	0	0
69_6	k141_28074	3263	4300	-	1038	0	0
70_1	k141_98252	3	134	-	132	3	0.0111923
70_2	k141_98252	164	1300	+	1137	20	0.00866245
71_1	k141_126302	3	68	-	66	0	0
71_2	k141_126302	403	2094	-	1692	58	0.016881
71_3	k141_126302	2250	2696	+	447	16	0.0176272
71_4	k141_126302	2747	3373	+	627	2	0.00157085
72_1	k141_266623	368	658	+	291	1	0.0016923
72_2	k141_266623	718	984	+	267	0	0
72_3	k141_266623	1043	1534	+	492	0	0
72_4	k141_266623	1572	1811	+	240	0	0
72_5	k141_266623	2315	2560	+	246	0	0
72_6	k141_266623	2790	3191	-	402	0	0
73_1	k141_25	1	543	-	543	0	0
73_2	k141_25	540	1103	-	564	0	0
74_1	k141_112291	1	762	-	762	0	0
74_2	k141_112291	768	1367	-	600	0	0
75_1	k141_14066	3	1523	+	1521	6	0.00194264
75_2	k141_14066	1931	2248	+	318	6	0.0092917
76_1	k141_252590	169	1389	-	1221	40	0.016133
76_2	k141_252590	1612	2637	-	1026	10	0.00479981
76_3	k141_252590	3151	4224	-	1074	6	0.00275117
77_1	k141_112293	3	263	+	261	0	0
77_2	k141_112293	277	1086	+	810	0	0
78_1	k141_29	3	590	-	588	12	0.0100502
78_2	k141_29	594	959	-	366	0	0
78_3	k141_29	1102	1401	+	300	0	0
79_1	k141_238577	240	1481	-	1242	28	0.0111022
80_1	k141_252591	2	211	-	210	3	0.00703515
80_2	k141_252591	287	1117	+	831	0	0
81_1	k141_112294	3	149	+	147	18	0.0603013
81_2	k141_112294	239	562	+	324	77	0.117035
81_3	k141_112294	674	946	+	273	64	0.115449
81_4	k141_112294	943	1050	+	108	2	0.00911963
82_1	k141_84201	641	841	+	201	177	0.433659
82_2	k141_84201	900	1310	+	411	291	0.348676
82_3	k141_84201	1351	2244	-	894	461	0.253942
82_4	k141_84201	2508	2756	+	249	173	0.342151
82_5	k141_84201	2836	3534	-	699	342	0.240946
82_6	k141_84201	3882	4517	+	636	416	0.322112
82_7	k141_84201	4981	6411	-	1431	545	0.187555
82_8	k141_84201	6473	7957	-	1485	806	0.267288
82_9	k141_84201	8290	8775	-	486	243	0.24623
82_10	k141_84201	9128	11218	+	2091	956	0.225152
82_11	k141_84201	11543	12853	+	1311	709	0.266327
82_12	k141_84201	12924	13496	+	573	307	0.263849
82_13	k141_84201	13757	15103	-	1347	816	0.298328
82_14	k141_84201	15217	15675	-	459	314	0.33689
82_15	k141_84201	15834	16823	+	990	657	0.326815
83_1	k141_266634	1	474	+	474	0	0
83_2	k141_266634	477	920	+	444	0	0
84_1	k141_30	1	1314	-	1314	38	0.0142416
84_2	k141_30	1399	1560	-	162	1	0.00303988
85_1	k141_210488	3	1316	-	1314	80	0.0299824
85_2	k141_210488	1370	1729	-	360	32	0.0437742
85_3	k141_210488	2454	4262	-	1809	108	0.0294006
85_4	k141_210488	4524	5864	-	1341	106	0.0389268
85_5	k141_210488	5896	6738	-	843	71	0.0414765
85_6	k141_210488	6837	7841	+	1005	101	0.049491
86_1	k141_252592	3	659	-	657	240	0.179894
86_2	k141_252592	616	1071	-	456	151	0.163073
86_3	k141_252592	1086	1622	-	537	17	0.01559
86_4	k141_252592	1636	1893	-	258	72	0.137431
87_1	k141_56165	2	2023	-	2022	2	0.000487102
87_2	k141_56165	2092	3339	-	1248	0	0
87_3	k141_56165	3435	5165	-	1731	1	0.000284495
87_4	k141_56165	5191	5751	-	561	0	0
87_5	k141_56165	6036	6446	-	411	0	0
87_6	k141_56165	6459	6524	-	66	0	0
88_1	k141_266639	3	551	-	549	4	0.00358805
88_2	k141_266639	650	868	-	219	5	0.0112434
89_1	k141_34	2	118	+	117	0	0
89_2	k141_34	121	1431	+	1311	248	0.093158
90_1	k141_126303	1	1005	+	1005	3	0.00147003
90_2	k141_126303	980	2203	+	1224	4	0.00160935
90_3	k141_126303	2268	3239	+	972	6	0.00303988
90_4	k141_126303	3548	4435	-	888	5	0.00277286
90_5	k141_126303	4663	6321	+	1659	7	0.00207789
90_6	k141_126303	6355	7629	+	1275	4	0.00154497
90_7	k141_126303	7641	7748	+	108	0	0
91_1	k141_210489	316	942	-	627	25	0.0196356
91_2	k141_210489	982	2136	-	1155	64	0.0272878
91_3	k141_210489	2277	2456	-	180	3	0.00820767
92_1	k141_252595	1	294	+	294	11	0.0184254
92_2	k141_252595	320	967	+	648	5	0.00379985
92_3	k141_252595	1134	1730	+	597	10	0.00824892
93_1	k141_266640	2	379	-	378	19	0.0247533
93_2	k141_266640	423	1337	-	915	66	0.0355217
93_3	k141_266640	1371	1760	-	390	17	0.0214662
94_1	k141_56168	3	956	-	954	0	0
94_2	k141_56168	1145	1687	-	543	0	0
95_1	k141_126306	123	1478	+	1356	7	0.0025422
96_1	k141_56170	3	647	+	645	0	0
96_2	k141_56170	770	1054	+	285	0	0
97_1	k141_41	1	510	+	510	2	0.00193122
97_2	k141_41	768	1055	+	288	1	0.00170993
98_1	k141_84211	2	1042	+	1041	4	0.00189226
98_2	k141_84211	1054	2127	+	1074	2	0.000917058
98_3	k141_84211	2127	2753	+	627	6	0.00471254
99_1	k141_266641	1	693	-	693	0	0
99_2	k141_266641	949	1458	+	510	1	0.000965608
99_3	k141_266641	1770	1931	+	162	0	0
99_4	k141_266641	2055	2225	+	171	0	0
99_5	k141_266641	2222	2293	+	72	0	0
100_1	k141_43	108	1004	-	897	9	0.00494107
101_1	k141_196454	46	2133	-	2088	72	0.0169814
101_2	k141_196454	2379	3614	-	1236	47	0.0187262
101_3	k141_196454	3641	4300	-	660	21	0.0156692
101_4	k141_196454	4302	5477	-	1176	40	0.0167503
101_5	k141_196454	5511	6548	-	1038	49	0.0232472
101_6	k141_196454	6630	7457	-	828	34	0.0202218
101_7	k141_196454	7462	8493	-	1032	31	0.0147929
101_8	k141_196454	8494	9504	-	1011	44	0.0214325
101_9	k141_196454	10024	11466	-	1443	58	0.019794
101_10	k141_196454	11721	12260	-	540	17	0.0155034
101_11	k141_196454	12361	12753	-	393	22	0.0275677
101_12	k141_196454	12757	13191	-	435	46	0.0520763
101_13	k141_196454	13631	13915	-	285	15	0.025919
101_14	k141_196454	14057	15115	+	1059	75	0.0348768
101_15	k141_196454	15289	16146	+	858	34	0.0195147
101_16	k141_196454	16260	17540	-	1281	67	0.0257571
101_17	k141_196454	17789	19150	-	1362	47	0.0169939
101_18	k141_196454	19167	20405	-	1239	37	0.0147062
101_19	k141_196454	20560	21501	+	942	40	0.0209113
101_20	k141_196454	21494	21694	+	201	7	0.0171504
101_21	k141_196454	21796	22020	+	225	4	0.00875485
101_22	k141_196454	22450	23124	-	675	35	0.025535
101_23	k141_196454	23351	25465	-	2115	54	0.0125735
101_24	k141_196454	25686	27455	-	1770	68	0.0189194
102_1	k141_210496	1	789	-	789	252	0.157288
