# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_13_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_13/G7_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_13/G7_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_13/G7_2.bam	RPKG
1_1	k141_210480	54	1022	-	969	0	0
2_1	k141_42096	2	112	-	111	0	0
2_2	k141_42096	105	386	-	282	6	0.0169448
2_3	k141_42096	470	1174	-	705	0	0
3_1	k141_196448	59	505	+	447	5	0.00890834
3_2	k141_196448	679	1284	+	606	6	0.0078852
4_1	k141_0	146	394	+	249	67	0.214294
4_2	k141_0	444	1469	-	1026	310	0.240629
4_3	k141_0	1466	1555	-	90	1	0.00884895
5_1	k141_266606	2	151	-	150	0	0
5_2	k141_266606	212	808	+	597	9	0.0120061
6_1	k141_84192	2	1057	-	1056	10	0.00754172
6_2	k141_84192	1074	1790	-	717	0	0
7_1	k141_56128	1	135	-	135	0	0
7_2	k141_56128	554	760	+	207	0	0
7_3	k141_56128	892	2319	-	1428	0	0
8_1	k141_112257	3	482	-	480	1	0.00165918
8_2	k141_112257	617	877	-	261	1	0.00305136
8_3	k141_112257	889	1425	-	537	6	0.00889839
8_4	k141_112257	1428	1658	-	231	6	0.0206859
8_5	k141_112257	1770	2015	+	246	4	0.0129497
9_1	k141_140321	2	823	-	822	2	0.00193773
9_2	k141_140321	823	1764	-	942	0	0
9_3	k141_140321	1789	2220	-	432	0	0
10_1	k141_238543	1	435	+	435	0	0
10_2	k141_238543	452	1348	+	897	1	0.000887855
10_3	k141_238543	1360	1599	+	240	0	0
10_4	k141_238543	1604	2740	+	1137	1	0.000700445
11_1	k141_196450	58	198	-	141	0	0
11_2	k141_196450	369	869	-	501	0	0
11_3	k141_196450	940	1032	-	93	0	0
12_1	k141_182419	11	1801	-	1791	15	0.00667006
13_1	k141_266607	2	205	+	204	16	0.0624632
13_2	k141_266607	389	1297	+	909	44	0.0385499
13_3	k141_266607	1516	1581	+	66	1	0.0120668
14_1	k141_98230	3	722	+	720	0	0
14_2	k141_98230	748	1005	+	258	0	0
15_1	k141_112259	1	480	-	480	0	0
15_2	k141_112259	708	1397	+	690	4	0.00461684
16_1	k141_84195	121	948	-	828	8	0.00769474
16_2	k141_84195	1008	1295	-	288	3	0.00829589
16_3	k141_84195	1353	1499	-	147	0	0
17_1	k141_238545	1	258	-	258	2	0.00617369
17_2	k141_238545	274	1266	-	993	1	0.00080202
18_1	k141_126289	3	284	-	282	6	0.0169448
18_2	k141_126289	281	514	-	234	4	0.0136138
18_3	k141_126289	1012	1668	+	657	4	0.00484874
18_4	k141_126289	1742	3025	+	1284	13	0.0080633
18_5	k141_126289	3680	3844	-	165	2	0.0096534
19_1	k141_182422	2	745	+	744	0	0
19_2	k141_182422	735	1214	+	480	0	0
20_1	k141_70164	1	420	-	420	1	0.0018962
20_2	k141_70164	469	1761	-	1293	8	0.00492749
20_3	k141_70164	1767	2756	-	990	5	0.00402225
20_4	k141_70164	2949	3107	+	159	0	0
21_1	k141_42098	29	958	+	930	16	0.0137016
21_2	k141_42098	1132	1515	-	384	6	0.0124438
21_3	k141_42098	1515	1763	-	249	3	0.00959525
21_4	k141_42098	1962	2879	+	918	18	0.0156158
21_5	k141_42098	2893	3849	-	957	23	0.0191404
22_1	k141_154357	3	626	-	624	14	0.0178681
22_2	k141_154357	669	1127	-	459	10	0.0173509
22_3	k141_154357	1243	2295	+	1053	19	0.0143701
22_4	k141_154357	2342	3160	-	819	16	0.0155586
22_5	k141_154357	3287	3574	+	288	9	0.0248877
23_1	k141_28064	211	927	+	717	8	0.00888598
23_2	k141_28064	940	1986	+	1047	10	0.00760655
23_3	k141_28064	2027	5233	+	3207	31	0.00769834
23_4	k141_28064	5279	5674	-	396	0	0
24_1	k141_14035	1	114	-	114	5	0.0349301
24_2	k141_14035	404	1051	-	648	45	0.0553059
24_3	k141_14035	1275	1979	+	705	34	0.0384082
24_4	k141_14035	2090	4096	-	2007	130	0.0515858
24_5	k141_14035	4098	5675	-	1578	111	0.0560209
25_1	k141_224512	3	470	-	468	2	0.00340344
25_2	k141_224512	556	1182	-	627	15	0.0190528
25_3	k141_224512	1176	2201	-	1026	15	0.0116434
25_4	k141_224512	2230	2736	-	507	6	0.00942492
25_5	k141_224512	2823	4871	-	2049	21	0.00816228
25_6	k141_224512	4966	5280	-	315	2	0.00505654
25_7	k141_224512	5273	5734	-	462	3	0.00517146
25_8	k141_224512	5739	5891	-	153	0	0
25_9	k141_224512	5914	6594	-	681	17	0.0198809
26_1	k141_112260	3	428	-	426	28	0.0523459
