# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_13_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_13/G5_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_13/G5_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_13/G5_2.bam	RPKG
1_1	k141_210480	54	1022	-	969	5	0.00203634
2_1	k141_42096	2	112	-	111	0	0
2_2	k141_42096	105	386	-	282	10	0.0139944
2_3	k141_42096	470	1174	-	705	0	0
3_1	k141_196448	59	505	+	447	0	0
3_2	k141_196448	679	1284	+	606	3	0.00195368
4_1	k141_0	146	394	+	249	115	0.182265
4_2	k141_0	444	1469	-	1026	922	0.35464
4_3	k141_0	1466	1555	-	90	1	0.00438492
5_1	k141_266606	2	151	-	150	0	0
5_2	k141_266606	212	808	+	597	0	0
6_1	k141_84192	2	1057	-	1056	4	0.00149486
6_2	k141_84192	1074	1790	-	717	0	0
7_1	k141_56128	1	135	-	135	0	0
7_2	k141_56128	554	760	+	207	0	0
7_3	k141_56128	892	2319	-	1428	13	0.00359269
8_1	k141_112257	3	482	-	480	0	0
8_2	k141_112257	617	877	-	261	0	0
8_3	k141_112257	889	1425	-	537	3	0.00220471
8_4	k141_112257	1428	1658	-	231	0	0
8_5	k141_112257	1770	2015	+	246	2	0.00320848
9_1	k141_140321	2	823	-	822	0	0
9_2	k141_140321	823	1764	-	942	1	0.000418941
9_3	k141_140321	1789	2220	-	432	0	0
10_1	k141_238543	1	435	+	435	0	0
10_2	k141_238543	452	1348	+	897	4	0.00175983
10_3	k141_238543	1360	1599	+	240	0	0
10_4	k141_238543	1604	2740	+	1137	1	0.000347091
11_1	k141_196450	58	198	-	141	3	0.00839665
11_2	k141_196450	369	869	-	501	2	0.00157542
11_3	k141_196450	940	1032	-	93	0	0
12_1	k141_182419	11	1801	-	1791	12	0.00264417
13_1	k141_266607	2	205	+	204	8	0.0154762
13_2	k141_266607	389	1297	+	909	41	0.0178002
13_3	k141_266607	1516	1581	+	66	0	0
14_1	k141_98230	3	722	+	720	0	0
14_2	k141_98230	748	1005	+	258	0	0
15_1	k141_112259	1	480	-	480	5	0.00411086
15_2	k141_112259	708	1397	+	690	2	0.00114389
16_1	k141_84195	121	948	-	828	15	0.00714932
16_2	k141_84195	1008	1295	-	288	10	0.0137029
16_3	k141_84195	1353	1499	-	147	0	0
17_1	k141_238545	1	258	-	258	0	0
17_2	k141_238545	274	1266	-	993	2	0.000794849
18_1	k141_126289	3	284	-	282	19	0.0265894
18_2	k141_126289	281	514	-	234	25	0.0421627
18_3	k141_126289	1012	1668	+	657	64	0.0384431
18_4	k141_126289	1742	3025	+	1284	161	0.049484
18_5	k141_126289	3680	3844	-	165	25	0.0597943
19_1	k141_182422	2	745	+	744	11	0.00583477
19_2	k141_182422	735	1214	+	480	1	0.000822172
20_1	k141_70164	1	420	-	420	0	0
20_2	k141_70164	469	1761	-	1293	1	0.000305215
20_3	k141_70164	1767	2756	-	990	0	0
20_4	k141_70164	2949	3107	+	159	0	0
21_1	k141_42098	29	958	+	930	2	0.000848694
21_2	k141_42098	1132	1515	-	384	0	0
21_3	k141_42098	1515	1763	-	249	0	0
21_4	k141_42098	1962	2879	+	918	0	0
21_5	k141_42098	2893	3849	-	957	5	0.00206187
22_1	k141_154357	3	626	-	624	0	0
22_2	k141_154357	669	1127	-	459	0	0
22_3	k141_154357	1243	2295	+	1053	0	0
22_4	k141_154357	2342	3160	-	819	0	0
22_5	k141_154357	3287	3574	+	288	0	0
23_1	k141_28064	211	927	+	717	16	0.00880653
23_2	k141_28064	940	1986	+	1047	2	0.000753854
23_3	k141_28064	2027	5233	+	3207	34	0.00418393
23_4	k141_28064	5279	5674	-	396	1	0.000996572
24_1	k141_14035	1	114	-	114	12	0.0415413
24_2	k141_14035	404	1051	-	648	48	0.0292328
24_3	k141_14035	1275	1979	+	705	54	0.030228
24_4	k141_14035	2090	4096	-	2007	138	0.0271354
24_5	k141_14035	4098	5675	-	1578	82	0.0205074
25_1	k141_224512	3	470	-	468	1	0.000843254
25_2	k141_224512	556	1182	-	627	2	0.00125883
25_3	k141_224512	1176	2201	-	1026	4	0.00153857
25_4	k141_224512	2230	2736	-	507	3	0.00233516
25_5	k141_224512	2823	4871	-	2049	7	0.00134822
25_6	k141_224512	4966	5280	-	315	5	0.00626417
25_7	k141_224512	5273	5734	-	462	3	0.00256261
25_8	k141_224512	5739	5891	-	153	0	0
25_9	k141_224512	5914	6594	-	681	13	0.00753356
26_1	k141_112260	3	428	-	426	158	0.14637
26_2	k141_112260	540	641	+	102	47	0.181845
26_3	k141_112260	1239	1661	+	423	246	0.229509
26_4	k141_112260	1731	2507	+	777	261	0.132563
26_5	k141_112260	2628	2735	+	108	0	0
27_1	k141_140329	1	120	-	120	0	0
27_2	k141_140329	139	1449	-	1311	9	0.00270922
28_1	k141_182423	2	583	+	582	27	0.0183082
28_2	k141_182423	783	1535	-	753	4	0.00209638
28_3	k141_182423	1799	2017	+	219	0	0
29_1	k141_238550	315	2273	+	1959	67	0.0134972
30_1	k141_168386	2	6193	+	6192	7	0.00044614
31_1	k141_252574	2	556	+	555	7	0.00497748
31_2	k141_252574	632	1834	-	1203	9	0.00295244
31_3	k141_252574	1980	2180	+	201	2	0.00392679
31_4	k141_252574	2137	4452	+	2316	28	0.00477116
31_5	k141_252574	4463	5428	+	966	6	0.0024512
31_6	k141_252574	5437	6354	+	918	5	0.00214947
31_7	k141_252574	6457	7845	+	1389	10	0.0028412
32_1	k141_56137	1	1566	+	1566	113	0.0284768
32_2	k141_56137	1753	2025	-	273	24	0.0346939
33_1	k141_42105	153	1406	+	1254	14	0.0044059
34_1	k141_70172	1	543	+	543	1	0.000726782
34_2	k141_70172	577	1416	+	840	9	0.00422831
35_1	k141_112261	2	223	+	222	1	0.00177767
35_2	k141_112261	662	1063	-	402	0	0
35_3	k141_112261	1092	1280	-	189	2	0.00417611
35_4	k141_112261	1430	1501	+	72	1	0.00548115
