# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_2_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_2/C7_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_2/C7_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_2/C7_1.bam	RPKG
1_1	k141_194758	1	366	+	366	1	0.00389255
1_2	k141_194758	391	1011	-	621	3	0.00688248
2_1	k141_174257	3	1718	-	1716	4	0.00332091
3_1	k141_20503	1	435	+	435	3	0.00982533
3_2	k141_20503	509	1837	+	1329	7	0.00750392
4_1	k141_82010	2	1114	-	1113	8	0.0102402
5_1	k141_71759	2	1198	-	1197	0	0
6_1	k141_41007	113	1033	+	921	2	0.00309375
7_1	k141_112760	1	840	-	840	2	0.00339208
7_2	k141_112760	1030	1386	-	357	0	0
8_1	k141_123010	3	1241	-	1239	22	0.0252968
9_1	k141_102512	3	1019	+	1017	2	0.00280172
10_1	k141_92261	124	1287	+	1164	14	0.0171352
11_1	k141_61506	1	426	+	426	12	0.0401316
11_2	k141_61506	427	663	-	237	6	0.0360677
11_3	k141_61506	939	1601	-	663	13	0.0279348
11_4	k141_61506	1728	3599	-	1872	76	0.0578393
11_5	k141_61506	3624	3866	-	243	11	0.0644913
12_1	k141_20506	1	1332	-	1332	12	0.0128349
13_1	k141_112761	2	1087	+	1086	12	0.0157422
14_1	k141_30757	1	852	+	852	14	0.0234101
14_2	k141_30757	849	1667	-	819	13	0.0226138
15_1	k141_82011	3	1610	+	1608	10	0.0088599
16_1	k141_71761	2	325	+	324	2	0.00879427
16_2	k141_71761	329	1447	+	1119	3	0.0038195
17_1	k141_123013	2	535	+	534	5	0.0133396
17_2	k141_123013	656	1921	+	1266	8	0.00900267
