Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_9/A11_2.bam	RPKG	geneLoc	geneNum	Score
116414_2	k141_140389	1112	2110	+	999	43	0.0152188	Stool_9.k141_140389_2/1-328	Stool_9.k141_140389_2	489.7
107325_4	k141_112706	2679	3698	-	1020	6	0.00207983	Stool_9.k141_112706_4/1-334	Stool_9.k141_112706_4	463.6
114732_3	k141_262224	2031	3068	-	1038	2	0.000681255	Stool_9.k141_262224_3/1-337	Stool_9.k141_262224_3	444.2
106256_1	k141_319616	1	870	-	870	4	0.00162562	Stool_9.k141_319616_1/1-290	Stool_9.k141_319616_1	407.2
4135_3	k141_499026	981	2750	+	1770	5	0.00099879	Stool_9.k141_499026_3/242-580	Stool_9.k141_499026_3	395.6
97313_4	k141_51852	2300	3958	-	1659	16	0.00340997	Stool_9.k141_51852_4/212-547	Stool_9.k141_51852_4	389.5
94601_2	k141_51129	621	1673	-	1053	7	0.00235043	Stool_9.k141_51129_2/1-344	Stool_9.k141_51129_2	374.9
20156_3	k141_150705	682	1560	+	879	2	0.000804486	Stool_9.k141_150705_3/2-286	Stool_9.k141_150705_3	353.3
24410_1	k141_298192	53	835	-	783	5	0.0022578	Stool_9.k141_298192_1/3-244	Stool_9.k141_298192_1	346.6
116414_3	k141_140389	2112	2900	+	789	25	0.0112032	Stool_9.k141_140389_3/3-262	Stool_9.k141_140389_3	433.7
71046_2	k141_485383	272	1060	+	789	4	0.0017925	Stool_9.k141_485383_2/3-262	Stool_9.k141_485383_2	427.3
107325_3	k141_112706	1874	2686	-	813	7	0.00304428	Stool_9.k141_112706_3/3-270	Stool_9.k141_112706_3	387.7
114732_2	k141_262224	1220	2011	-	792	8	0.00357143	Stool_9.k141_262224_2/4-263	Stool_9.k141_262224_2	348.7
97313_3	k141_51852	1515	2303	-	789	5	0.00224063	Stool_9.k141_51852_3/3-262	Stool_9.k141_51852_3	334.1
20156_4	k141_150705	1575	2366	+	792	1	0.000446429	Stool_9.k141_150705_4/7-263	Stool_9.k141_150705_4	297.0
116414_4	k141_140389	2914	3879	+	966	31	0.0113465	Stool_9.k141_140389_4/2-315	Stool_9.k141_140389_4	525.0
71046_3	k141_485383	1074	2039	+	966	18	0.00658829	Stool_9.k141_485383_3/2-315	Stool_9.k141_485383_3	525.0
107325_2	k141_112706	810	1859	-	1050	10	0.00336735	Stool_9.k141_112706_2/2-315	Stool_9.k141_112706_2	492.5
33970_2	k141_388853	366	1355	-	990	4	0.00142857	Stool_9.k141_388853_2/5-317	Stool_9.k141_388853_2	480.8
114732_1	k141_262224	111	1202	-	1092	1	0.000323783	Stool_9.k141_262224_1/4-329	Stool_9.k141_262224_1	371.5
20156_5	k141_150705	2383	3450	+	1068	1	0.000331059	Stool_9.k141_150705_5/4-331	Stool_9.k141_150705_5	363.2
