# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_13_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_13/F15_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_13/F15_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_13/F15_2.bam	RPKG
1_1	k141_130778	1	780	+	780	0	0
1_2	k141_130778	793	1074	+	282	0	0
2_1	k141_217958	1	933	-	933	2	0.00188756
3_1	k141_174369	2	1201	+	1200	0	0
4_1	k141_276078	3	1424	-	1422	4	0.00247693
5_1	k141_14532	217	2214	+	1998	98	0.04319
5_2	k141_14532	2273	2443	-	171	3	0.0154482
6_1	k141_203429	176	2518	+	2343	3	0.00112746
7_1	k141_101721	3	200	-	198	0	0
7_2	k141_101721	219	1004	-	786	0	0
8_1	k141_247021	1	759	+	759	0	0
8_2	k141_247021	892	1107	+	216	0	0
9_1	k141_58127	2	877	-	876	17	0.0170883
9_2	k141_58127	1025	1591	-	567	111	0.172382
10_1	k141_174370	2	133	-	132	0	0
10_2	k141_174370	423	1526	+	1104	2	0.0015952
10_3	k141_174370	1636	1779	-	144	0	0
11_1	k141_261551	1	171	-	171	0	0
11_2	k141_261551	255	1802	-	1548	0	0
12_1	k141_159843	2	199	-	198	0	0
12_2	k141_159843	244	738	-	495	0	0
12_3	k141_159843	735	1193	-	459	0	0
13_1	k141_72657	79	1719	-	1641	35	0.0187807
13_2	k141_72657	2089	2184	-	96	3	0.0275171
14_1	k141_43594	1	1857	+	1857	0	0
15_1	k141_87186	63	824	+	762	0	0
15_2	k141_87186	827	1729	+	903	0	0
15_3	k141_87186	1723	2316	+	594	0	0
15_4	k141_87186	2316	2945	+	630	0	0
15_5	k141_87186	3003	3608	+	606	0	0
15_6	k141_87186	3601	4641	+	1041	0	0
16_1	k141_188905	1	792	-	792	2	0.00222361
16_2	k141_188905	865	1218	+	354	1	0.00248742
17_1	k141_145311	3	1259	-	1257	0	0
18_1	k141_159846	3	1115	+	1113	0	0
19_1	k141_217967	2	1282	+	1281	0	0
19_2	k141_217967	1439	1690	-	252	0	0
20_1	k141_43602	3	605	+	603	0	0
20_2	k141_43602	748	1191	+	444	0	0
21_1	k141_116263	1	1011	-	1011	0	0
22_1	k141_261556	2	841	-	840	0	0
22_2	k141_261556	897	2252	-	1356	0	0
22_3	k141_261556	2267	2524	-	258	0	0
23_1	k141_58129	3	272	-	270	0	0
23_2	k141_58129	269	838	-	570	0	0
23_3	k141_58129	1029	1511	+	483	0	0
23_4	k141_58129	1626	1931	-	306	0	0
23_5	k141_58129	1996	2160	-	165	0	0
23_6	k141_58129	2195	3187	-	993	4	0.00354702
24_1	k141_29073	2	514	+	513	0	0
24_2	k141_29073	668	931	+	264	0	0
24_3	k141_29073	1026	1271	+	246	0	0
24_4	k141_29073	1337	2305	+	969	0	0
25_1	k141_174376	1229	2134	+	906	0	0
25_2	k141_174376	2300	2698	-	399	1	0.00220689
26_1	k141_159850	69	1286	-	1218	0	0
26_2	k141_159850	1306	1548	-	243	0	0
27_1	k141_58130	3	716	+	714	0	0
27_2	k141_58130	985	1143	+	159	0	0
28_1	k141_101736	1	489	-	489	0	0
28_2	k141_101736	535	732	-	198	0	0
28_3	k141_101736	822	1025	-	204	0	0
29_1	k141_174380	3	1034	-	1032	45	0.038396
30_1	k141_116266	3	230	+	228	0	0
30_2	k141_116266	223	2025	+	1803	0	0
31_1	k141_247024	2	2065	-	2064	0	0
31_2	k141_247024	2210	2518	-	309	0	0
31_3	k141_247024	2575	3093	-	519	0	0
31_4	k141_247024	3105	4292	-	1188	0	0
31_5	k141_247024	4417	4839	-	423	0	0
31_6	k141_247024	4841	5848	-	1008	0	0
32_1	k141_145326	2	619	-	618	0	0
32_2	k141_145326	623	1369	-	747	0	0
32_3	k141_145326	1379	1558	-	180	0	0
32_4	k141_145326	1889	2572	-	684	0	0
33_1	k141_159857	3	836	+	834	0	0
33_2	k141_159857	1223	1420	+	198	0	0
34_1	k141_174385	185	1111	-	927	0	0
34_2	k141_174385	1139	1330	-	192	0	0
35_1	k141_29082	3	101	-	99	0	0
35_2	k141_29082	129	1001	-	873	0	0
35_3	k141_29082	1004	1303	-	300	0	0
36_1	k141_87206	2	229	+	228	0	0
36_2	k141_87206	270	599	+	330	0	0
36_3	k141_87206	659	1228	+	570	0	0
37_1	k141_217984	80	994	-	915	2	0.00192469
37_2	k141_217984	1101	1712	+	612	4	0.00575522
37_3	k141_217984	1750	1896	-	147	0	0
38_1	k141_145329	2	247	-	246	0	0
38_2	k141_145329	265	822	-	558	5	0.00789021
