# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_5/J19_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_5/J19_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_5/J19_1.bam	RPKG
1_1	k141_64408	2	490	-	489	3	0.0272055
1_2	k141_64408	759	1163	-	405	0	0
2_1	k141_152959	89	1000	+	912	8	0.0388991
2_2	k141_152959	1043	1366	-	324	1	0.0136867
3_1	k141_80508	3	905	-	903	0	0
3_2	k141_80508	1142	1657	-	516	0	0
4_1	k141_88558	1	1131	+	1131	20	0.0784173
4_2	k141_88558	1270	1518	-	249	2	0.0356185
5_1	k141_48306	2	715	+	714	0	0
5_2	k141_48306	825	1787	+	963	0	0
6_1	k141_96608	3	524	-	522	13	0.110438
6_2	k141_96608	584	1225	-	642	7	0.0483513
6_3	k141_96608	1230	1892	-	663	33	0.220722
6_4	k141_96608	1894	2778	-	885	30	0.150322
6_5	k141_96608	2980	3567	-	588	20	0.150833
7_1	k141_48307	3	1337	-	1335	0	0
8_1	k141_56358	2	529	-	528	2	0.0167974
8_2	k141_56358	526	1155	-	630	5	0.0351944
8_3	k141_56358	1171	1875	-	705	3	0.0188702
8_4	k141_56358	1910	2830	-	921	8	0.038519
9_1	k141_120763	1	1047	+	1047	6	0.0254126
10_1	k141_24158	1	582	-	582	0	0
10_2	k141_24158	615	1010	-	396	0	0
11_1	k141_112711	2	214	+	213	0	0
11_2	k141_112711	178	654	-	477	0	0
11_3	k141_112711	670	1449	-	780	0	0
12_1	k141_64409	332	1369	+	1038	21	0.0897153
12_2	k141_64409	1597	2205	-	609	0	0
12_3	k141_64409	2218	2529	-	312	0	0
13_1	k141_144913	2	199	-	198	0	0
13_2	k141_144913	243	587	-	345	1	0.0128536
13_3	k141_144913	686	1495	-	810	1	0.00547469
14_1	k141_128809	1	624	-	624	0	0
14_2	k141_128809	644	1024	-	381	1	0.0116391
14_3	k141_128809	1044	2042	-	999	8	0.0355115
14_4	k141_128809	2039	2704	-	666	0	0
14_5	k141_128809	2838	3320	-	483	5	0.0459058
14_6	k141_128809	3383	4525	-	1143	4	0.0155188
15_1	k141_152962	2	1135	+	1134	0	0
15_2	k141_152962	1113	2342	-	1230	4	0.0144211
16_1	k141_72462	2	169	-	168	2	0.0527917
16_2	k141_72462	245	589	+	345	18	0.231365
16_3	k141_72462	712	1833	+	1122	24	0.0948556
16_4	k141_72462	1856	1996	+	141	4	0.125801
16_5	k141_72462	2004	2447	-	444	1	0.00998761
17_1	k141_104664	2	1300	-	1299	2	0.00682756
18_1	k141_144914	1	93	+	93	0	0
18_2	k141_144914	220	921	+	702	11	0.0694865
19_1	k141_56361	2	955	+	954	0	0
19_2	k141_56361	1033	1719	-	687	0	0
20_1	k141_24162	2	442	+	441	6	0.0603333
20_2	k141_24162	442	1110	+	669	0	0
20_3	k141_24162	1112	1903	+	792	3	0.0167974
21_1	k141_152963	3	374	+	372	0	0
21_2	k141_152963	362	817	+	456	6	0.0583487
21_3	k141_152963	814	963	+	150	0	0
21_4	k141_152963	984	1340	+	357	0	0
22_1	k141_48312	162	704	+	543	0	0
22_2	k141_48312	706	1644	+	939	1	0.00472258
23_1	k141_96611	3	668	-	666	0	0
23_2	k141_96611	770	1804	-	1035	1	0.00428454
23_3	k141_96611	1832	2353	-	522	0	0
24_1	k141_32215	1	471	+	471	0	0
24_2	k141_32215	541	1197	+	657	0	0
24_3	k141_32215	1201	1893	+	693	0	0
25_1	k141_56364	137	604	-	468	0	0
25_2	k141_56364	836	1045	+	210	0	0
26_1	k141_16114	3	503	+	501	0	0
26_2	k141_16114	527	1261	+	735	0	0
26_3	k141_16114	1420	2403	+	984	0	0
27_1	k141_8051	74	1291	+	1218	0	0
27_2	k141_8051	1589	2710	-	1122	0	0
27_3	k141_8051	2784	3074	-	291	0	0
27_4	k141_8051	3089	3322	+	234	0	0
27_5	k141_8051	3208	4041	-	834	0	0
27_6	k141_8051	4060	5886	-	1827	0	0
27_7	k141_8051	5921	6649	-	729	0	0
27_8	k141_8051	6653	7681	-	1029	1	0.00430952
27_9	k141_8051	7726	8277	-	552	0	0
28_1	k141_152967	2	166	+	165	0	0
28_2	k141_152967	234	1133	+	900	0	0
29_1	k141_24164	1	240	+	240	0	0
29_2	k141_24164	1223	1918	+	696	1	0.00637141
30_1	k141_120777	51	641	+	591	0	0
30_2	k141_120777	645	1172	-	528	5	0.0419934
31_1	k141_104672	1	129	-	129	0	0
31_2	k141_104672	142	1221	-	1080	0	0
32_1	k141_8052	1	423	+	423	0	0
32_2	k141_8052	431	712	+	282	0	0
32_3	k141_8052	730	1197	+	468	0	0
32_4	k141_8052	1218	1652	+	435	0	0
33_1	k141_112717	2	1249	+	1248	0	0
33_2	k141_112717	1290	1880	+	591	0	0
34_1	k141_32219	245	1048	+	804	0	0
35_1	k141_48316	1	624	-	624	4	0.0284263
35_2	k141_48316	645	1688	-	1044	1	0.00424761
36_1	k141_24165	1	258	+	258	0	0
36_2	k141_24165	273	1085	+	813	17	0.0927263
36_3	k141_24165	1132	1305	-	174	1	0.0254856
37_1	k141_120779	3	803	-	801	1	0.00553621
37_2	k141_120779	946	1050	-	105	1	0.0422333
38_1	k141_128811	1	588	-	588	0	0
38_2	k141_128811	655	2091	-	1437	0	0
38_3	k141_128811	2260	3435	-	1176	0	0
38_4	k141_128811	3843	5543	+	1701	0	0
39_1	k141_64417	2	121	-	120	6	0.221725
39_2	k141_64417	387	752	-	366	5	0.0605806
39_3	k141_64417	995	2323	-	1329	88	0.293631
39_4	k141_64417	2354	2815	-	462	34	0.326349
39_5	k141_64417	2895	3332	-	438	13	0.131618
39_6	k141_64417	3388	4098	-	711	14	0.0873179
40_1	k141_24167	1	1008	+	1008	0	0
41_1	k141_8054	3	2300	-	2298	0	0
42_1	k141_16122	432	977	-	546	2	0.0162436
43_1	k141_96613	2	139	-	138	0	0
43_2	k141_96613	292	1164	-	873	4	0.0203184
43_3	k141_96613	1334	2629	-	1296	10	0.0342168
43_4	k141_96613	2799	3323	-	525	7	0.0591267
43_5	k141_96613	3333	4316	-	984	1	0.00450661
43_6	k141_96613	4316	5083	-	768	2	0.0115482
44_1	k141_64418	1	909	+	909	0	0
44_2	k141_64418	896	1690	+	795	0	0
45_1	k141_72477	2	724	-	723	0	0
45_2	k141_72477	877	1923	-	1047	0	0
45_3	k141_72477	2027	2311	-	285	3	0.046679
46_1	k141_32224	1	636	-	636	0	0
46_2	k141_32224	688	1212	-	525	0	0
47_1	k141_16123	2	1186	-	1185	0	0
48_1	k141_120785	19	1530	+	1512	0	0
49_1	k141_112718	1	141	+	141	0	0
49_2	k141_112718	189	2438	-	2250	34	0.0670102
49_3	k141_112718	2627	3730	+	1104	3	0.0120503
49_4	k141_112718	3747	4109	+	363	2	0.0244325
49_5	k141_112718	4151	4864	+	714	2	0.0124216
50_1	k141_48326	1	1104	+	1104	1	0.00401676
50_2	k141_48326	1120	1602	+	483	3	0.0275435
51_1	k141_96617	2	1180	-	1179	10	0.0376124
51_2	k141_96617	1266	1352	-	87	0	0
52_1	k141_56373	1	1140	+	1140	0	0
52_2	k141_56373	1154	2074	+	921	0	0
52_3	k141_56373	2102	3127	+	1026	0	0
52_4	k141_56373	3346	3663	+	318	0	0
52_5	k141_56373	3650	4882	+	1233	0	0
53_1	k141_120787	3	1067	+	1065	3	0.0124916
53_2	k141_120787	1118	1471	-	354	0	0
54_1	k141_8059	2	427	-	426	0	0
54_2	k141_8059	420	1379	-	960	0	0
54_3	k141_8059	1395	2066	-	672	0	0
54_4	k141_8059	2066	2380	-	315	0	0
55_1	k141_24169	47	2380	+	2334	0	0
55_2	k141_24169	2393	3034	+	642	0	0
55_3	k141_24169	3036	3524	+	489	0	0
56_1	k141_88562	144	1472	+	1329	14	0.0467141
56_2	k141_88562	1825	2268	+	444	5	0.0499381
56_3	k141_88562	2341	4089	+	1749	20	0.050709
56_4	k141_88562	4092	5984	+	1893	8	0.0187406
56_5	k141_88562	5997	7400	-	1404	14	0.0442187
56_6	k141_88562	7705	8919	+	1215	14	0.0510971
56_7	k141_88562	9011	9643	+	633	4	0.0280221
56_8	k141_88562	9686	10204	+	519	4	0.0341773
56_9	k141_88562	10409	11338	+	930	6	0.0286097
56_10	k141_88562	11532	12503	-	972	13	0.0593092
56_11	k141_88562	12764	13000	+	237	1	0.018711
57_1	k141_72479	2	199	+	198	0	0
57_2	k141_72479	196	459	+	264	0	0
57_3	k141_72479	476	691	+	216	0	0
57_4	k141_72479	706	1131	+	426	0	0
57_5	k141_72479	1701	1862	-	162	0	0
57_6	k141_72479	2269	2499	+	231	0	0
57_7	k141_72479	2572	2847	-	276	0	0
57_8	k141_72479	2915	3235	-	321	4	0.0552586
57_9	k141_72479	3238	3318	-	81	0	0
58_1	k141_56377	83	682	+	600	0	0
58_2	k141_56377	710	1027	+	318	0	0
59_1	k141_136865	295	459	+	165	1	0.0268758
59_2	k141_136865	481	732	+	252	0	0
59_3	k141_136865	729	836	+	108	0	0
59_4	k141_136865	833	1876	+	1044	9	0.0382285
59_5	k141_136865	2058	2843	+	786	22	0.124121
59_6	k141_136865	2928	3872	+	945	52	0.244015
59_7	k141_136865	3865	4767	+	903	47	0.23081
59_8	k141_136865	4792	5739	+	948	39	0.182432
59_9	k141_136865	6052	7092	+	1041	20	0.0851969
59_10	k141_136865	7285	7620	-	336	10	0.131979
59_11	k141_136865	8086	8997	+	912	24	0.116697
59_12	k141_136865	9010	10068	+	1059	30	0.125623
59_13	k141_136865	10084	11088	+	1005	59	0.260334
59_14	k141_136865	11081	12073	+	993	24	0.107178
59_15	k141_136865	12165	13862	+	1698	42	0.109687
60_1	k141_88564	1	99	+	99	0	0
60_2	k141_88564	118	1278	+	1161	0	0
61_1	k141_120789	3	482	+	480	0	0
61_2	k141_120789	477	905	-	429	0	0
61_3	k141_120789	1062	1865	+	804	0	0
61_4	k141_120789	1896	2459	-	564	0	0
62_1	k141_32232	3	1331	-	1329	3	0.0100102
62_2	k141_32232	1328	2029	-	702	0	0
62_3	k141_32232	2048	3001	-	954	1	0.00464832
63_1	k141_16136	59	472	-	414	0	0
63_2	k141_16136	531	1268	-	738	0	0
64_1	k141_104693	1	231	+	231	0	0
64_2	k141_104693	339	920	-	582	0	0
64_3	k141_104693	983	1246	-	264	0	0
64_4	k141_104693	1308	1661	-	354	0	0
65_1	k141_136867	3	266	-	264	1	0.0167974
65_2	k141_136867	223	1056	-	834	13	0.0691229
66_1	k141_152974	1	438	-	438	0	0
66_2	k141_152974	435	1427	-	993	0	0
66_3	k141_152974	1442	2068	-	627	0	0
67_1	k141_64426	4	765	-	762	0	0
67_2	k141_64426	829	1101	-	273	0	0
67_3	k141_64426	1157	2527	-	1371	2	0.006469
67_4	k141_64426	2588	3055	-	468	0	0
67_5	k141_64426	3093	3380	-	288	0	0
68_1	k141_36	276	686	+	411	11	0.118685
68_2	k141_36	705	1961	+	1257	26	0.091724
68_3	k141_36	2133	2447	-	315	0	0
69_1	k141_56382	2	1015	-	1014	0	0
70_1	k141_32235	3	1031	-	1029	8	0.0344762
71_1	k141_88573	2	1012	+	1011	4	0.017545
72_1	k141_16138	3	995	+	993	0	0
72_2	k141_16138	1089	1943	+	855	0	0
72_3	k141_16138	2005	2100	+	96	0	0
73_1	k141_64428	1	1068	-	1068	3	0.0124565
74_1	k141_136871	1	678	-	678	0	0
74_2	k141_136871	689	1288	-	600	6	0.044345
74_3	k141_136871	1318	1410	-	93	0	0
75_1	k141_56384	2	736	+	735	0	0
75_2	k141_56384	739	945	+	207	0	0
75_3	k141_56384	942	1094	+	153	0	0
76_1	k141_16139	1	777	+	777	0	0
76_2	k141_16139	895	1338	+	444	0	0
77_1	k141_104697	73	291	-	219	0	0
77_2	k141_104697	315	1295	-	981	26	0.11753
78_1	k141_88575	76	1464	-	1389	0	0
79_1	k141_8074	1	795	-	795	5	0.0278899
79_2	k141_8074	788	1291	-	504	0	0
80_1	k141_16140	1	792	+	792	0	0
80_2	k141_16140	855	1010	-	156	0	0
81_1	k141_56387	2	271	-	270	7	0.114969
81_2	k141_56387	668	1099	-	432	2	0.0205301
82_1	k141_64430	3	413	-	411	0	0
82_2	k141_64430	515	997	+	483	0	0
82_3	k141_64430	1355	2989	+	1635	0	0
83_1	k141_24179	190	1389	+	1200	0	0
84_1	k141_32238	2	946	+	945	0	0
84_2	k141_32238	986	2521	+	1536	0	0
84_3	k141_32238	2606	3562	+	957	0	0
84_4	k141_32238	3654	3875	+	222	0	0
85_1	k141_88581	17	1096	+	1080	0	0
85_2	k141_88581	1150	1542	+	393	0	0
86_1	k141_64433	2	445	-	444	0	0
86_2	k141_64433	442	1101	-	660	0	0
87_1	k141_56389	1	1440	+	1440	20	0.0615903
87_2	k141_56389	1640	1867	-	228	3	0.0583487
88_1	k141_112720	1	1605	-	1605	12	0.0331551
88_2	k141_112720	2215	2949	+	735	21	0.1267
88_3	k141_112720	2942	3406	+	465	6	0.0572194
88_4	k141_112720	3408	3599	-	192	1	0.0230964
88_5	k141_112720	3644	4276	+	633	24	0.168133
88_6	k141_112720	4314	4718	+	405	14	0.153291
88_7	k141_112720	4994	5428	+	435	13	0.132525
88_8	k141_112720	5550	6797	-	1248	12	0.0426394
88_9	k141_112720	6899	11314	-	4416	66	0.0662765
89_1	k141_152975	2	103	-	102	0	0
89_2	k141_152975	326	1261	+	936	2	0.00947543
89_3	k141_152975	1560	2369	+	810	3	0.0164241
89_4	k141_152975	2366	3301	+	936	0	0
89_5	k141_152975	3363	3908	+	546	0	0
89_6	k141_152975	4224	5051	-	828	3	0.016067
89_7	k141_152975	5234	5938	+	705	0	0
89_8	k141_152975	6058	7752	+	1695	13	0.0340109
90_1	k141_120795	1	123	+	123	1	0.0360529
90_2	k141_120795	163	1953	+	1791	6	0.0148559
90_3	k141_120795	1953	2204	+	252	2	0.0351944
90_4	k141_120795	2281	3231	+	951	5	0.0233149
90_5	k141_120795	3244	3789	+	546	3	0.0243654
90_6	k141_120795	3815	5983	+	2169	17	0.0347563
90_7	k141_120795	6045	6527	+	483	0	0
90_8	k141_120795	6540	6761	+	222	9	0.179777
90_9	k141_120795	6758	6988	+	231	0	0
91_1	k141_24184	2	103	+	102	0	0
91_2	k141_24184	100	873	+	774	1	0.00572933
